Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Jon Weeks,#46,LS,19.0,176.0,0.0,0.0,0.0,94.0,0.0,82.0,63.6,-,-,-,0 (0),0.0,1.0,1.0,houston-texans
Ka'imi Fairbairn,#15,K,14.0,130.0,0.0,69.0,0.0,0.0,0.0,61.0,60.9,69.6,-,77.1,0 (0),2.0,1.0,0.0,houston-texans
Cameron Johnston,#11,P,15.0,140.0,0.0,1.0,0.0,79.0,0.0,60.0,63.3,60.0,62.9,-,1 (0),0.0,0.0,0.0,houston-texans
Matt Ammendola,#16,K,5.0,42.0,0.0,22.0,0.0,0.0,0.0,20.0,60.4,63.1,-,48.7,0 (0),0.0,0.0,0.0,houston-texans
