Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Dieter Eiselen,#60,C,3.0,10,0.0,2.0,0.0,8.0,96.3,-,71.1,-,93.7,0 (0)
Nico Collins,#12,WR,17.0,744,497.0,0.0,2.0,245.0,91.4,91.2,-,59.5,74.5,0 (0)
Tank Dell,#03,WR,11.0,494,338.0,0.0,11.0,145.0,83.4,83.3,-,71.2,50.1,1 (0)
C.J. Stroud,#07,QB,17.0,"1,058",654.0,1.0,20.0,383.0,83.2,80.4,61.3,73.4,60.2,4 (0)
Laremy Tunsil,#78,T,16.0,965,1.0,615.0,0.0,349.0,75.5,57.7,84.9,-,66.7,12 (0)
Devin Singletary,#26,HB,19.0,697,352.0,69.0,244.0,32.0,75.1,61.2,34.3,78.1,79.0,0 (0)
Noah Brown,#85,WR,11.0,468,327.0,1.0,0.0,140.0,73.0,73.6,66.9,-,53.5,2 (1)
Dalton Schultz,#86,TE,17.0,817,502.0,49.0,0.0,266.0,71.5,72.6,61.1,-,59.7,1 (0)
Brevin Jordan,#09,TE,15.0,325,163.0,27.0,0.0,135.0,69.9,74.8,61.9,-,58.2,2 (0)
Dameon Pierce,#31,HB,14.0,304,116.0,24.0,149.0,15.0,65.9,63.3,87.8,64.0,55.7,0 (0)
Shaq Mason,#69,G,19.0,"1,221",0.0,767.0,0.0,454.0,65.6,-,64.7,-,65.8,8 (0)
Austin Deculus,#64,T,2.0,39,0.0,22.0,0.0,17.0,62.7,-,53.6,-,64.6,0 (0)
George Fant,#77,T,17.0,"1,004",0.0,619.0,0.0,385.0,61.8,-,68.7,-,51.9,4 (0)
Robert Woods,#02,WR,16.0,714,477.0,2.0,1.0,234.0,60.7,61.0,39.3,63.1,52.0,3 (1)
Jarrett Patterson,#68,C,7.0,464,0.0,277.0,0.0,187.0,60.4,-,53.7,-,62.9,1 (0)
Teagan Quitoriano,#84,TE,7.0,158,28.0,27.0,0.0,103.0,60.1,62.9,59.4,-,56.5,0 (0)
Jimmy Morrissey,#79,G,1.0,3,0.0,2.0,0.0,1.0,60.1,-,73.8,-,60.0,0 (0)
Henry To'oTo'o,#39,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Ka'dar Hollman,#20,CB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Jake Hansen,#35,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
D'Angelo Ross,#37,CB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Cameron Johnston,#11,P,1.0,1,0.0,0.0,1.0,0.0,60.0,-,-,60.0,-,0 (0)
DeAndre Houston-Carson,#30,S,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Neville Hewitt,#43,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Jon Weeks,#46,LS,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Kendrick Green,#50,G,3.0,208,0.0,121.0,0.0,87.0,58.9,-,69.9,-,56.3,2 (1)
John Metchie III,#08,WR,18.0,381,225.0,1.0,3.0,152.0,57.8,58.6,65.3,55.1,55.5,2 (1)
Nick Broeker,#64,G,1.0,3,0.0,0.0,0.0,3.0,57.5,-,-,-,57.6,0 (0)
Dalton Keene,#40,TE,1.0,8,2.0,1.0,0.0,5.0,56.8,56.1,66.2,-,58.0,0 (0)
Michael Deiter,#63,C,14.0,781,0.0,506.0,0.0,275.0,56.3,-,59.4,-,55.2,5 (0)
Johnny Johnson III,#88,WR,1.0,4,3.0,0.0,0.0,1.0,54.9,56.2,-,-,60.0,0 (0)
Steven Sims,#82,WR,4.0,14,9.0,0.0,1.0,4.0,54.3,68.3,-,49.5,59.6,0 (0)
Eric Saubert,#81,TE,8.0,118,29.0,12.0,0.0,77.0,52.2,45.5,34.2,-,63.6,1 (0)
Andrew Beck,#47,FB,17.0,345,119.0,29.0,5.0,192.0,50.7,48.8,63.6,60.6,54.2,1 (0)
Josh Jones,#74,T,6.0,233,0.0,152.0,0.0,81.0,49.6,-,55.8,-,52.2,5 (0)
Davis Mills,#10,QB,7.0,59,45.0,0.0,4.0,10.0,48.3,46.3,-,68.2,60.0,0 (0)
Juice Scruggs,#70,G,9.0,534,0.0,343.0,0.0,191.0,47.5,-,48.9,-,50.8,4 (0)
Charlie Heck,#67,T,5.0,253,0.0,158.0,0.0,95.0,47.4,-,39.3,-,56.3,1 (0)
Xavier Hutchinson,#19,WR,16.0,319,201.0,0.0,5.0,113.0,47.3,47.2,-,62.8,57.8,3 (0)
Tytus Howard,#71,G,7.0,408,0.0,243.0,0.0,165.0,46.8,-,38.9,-,49.6,0 (0)
Dare Ogunbowale,#33,HB,10.0,132,89.0,28.0,10.0,5.0,46.6,49.8,29.0,56.3,31.7,0 (0)
Geron Christian,#64,T,1.0,33,0.0,13.0,0.0,20.0,45.7,-,55.3,-,38.3,1 (0)
Case Keenum,#18,QB,2.0,113,68.0,0.0,2.0,43.0,44.8,45.6,-,54.0,60.0,1 (0)
Mike Boone,#22,HB,9.0,102,79.0,13.0,5.0,5.0,41.5,51.3,14.5,40.2,41.8,0 (0)
