Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Derek Barnett,#95,ED,8.0,316,158.0,158.0,0.0,87.7,75.9,50.1,79.9,60.0,22.0,4.0,10.0,8.0,0.0,13.0,7.0,3.0,13.0,15.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),316.0,0.0,0.0,0.0,0,0.0,0.0,5.0,311.0
Derek Stingley Jr.,#24,CB,13.0,812,324.0,0.0,488.0,82.1,59.5,55.9,-,85.3,0.0,0.0,0.0,0.0,0.0,38.0,6.0,7.0,13.7,12.0,0.0,48.0,26.0,54.2,395.0,15.2,61.0,48.0,5.0,5.0,6.0,76.6,1 (0),1.0,73.0,1.0,2.0,735,0.0,0.0,0.0,1.0
Blake Cashman,#53,LB,15.0,746,286.0,47.0,413.0,82.1,82.3,74.5,71.5,75.3,9.0,3.0,3.0,3.0,0.0,78.0,37.0,12.0,9.4,48.0,0.0,60.0,44.0,73.3,347.0,7.9,252.0,25.0,2.0,1.0,3.0,91.5,0 (0),28.0,630.0,3.0,81.0,4,0.0,0.0,0.0,28.0
Will Anderson Jr.,#51,ED,17.0,695,238.0,454.0,3.0,81.6,77.4,66.8,76.6,70.0,68.0,8.0,15.0,45.0,1.0,36.0,7.0,6.0,12.2,33.0,0.0,2.0,2.0,100.0,13.0,6.5,9.0,8.0,0.0,0.0,0.0,93.8,5 (0),694.0,1.0,0.0,0.0,0,0.0,6.0,28.0,660.0
Jonathan Greenard,#52,ED,17.0,697,247.0,440.0,10.0,76.7,69.7,31.6,72.9,69.1,53.0,14.0,11.0,28.0,2.0,29.0,9.0,13.0,25.5,37.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,4 (1),694.0,3.0,0.0,0.0,0,0.0,8.0,9.0,677.0
Desmond King II,#25,CB,9.0,399,151.0,18.0,230.0,74.9,83.1,79.6,57.4,80.7,5.0,2.0,1.0,2.0,0.0,42.0,20.0,4.0,6.1,24.0,0.0,39.0,34.0,87.2,232.0,6.8,147.0,28.0,0.0,0.0,2.0,91.5,6 (1),12.0,51.0,1.0,332.0,3,0.0,0.0,0.0,12.0
Steven Nelson,#21,CB,19.0,"1,192",454.0,1.0,737.0,73.1,61.6,70.4,60.0,74.0,0.0,0.0,0.0,0.0,0.0,62.0,11.0,7.0,8.8,14.0,0.0,74.0,45.0,60.8,711.0,15.8,152.0,51.0,1.0,5.0,8.0,69.1,3 (0),7.0,87.0,0.0,6.0,"1,092",0.0,0.0,0.0,7.0
Tavierre Thomas,#04,CB,7.0,352,113.0,13.0,226.0,72.2,83.2,60.8,44.3,69.5,0.0,0.0,0.0,0.0,0.0,38.0,9.0,7.0,13.0,20.0,2.0,39.0,32.0,82.1,331.0,10.3,167.0,57.0,1.0,0.0,2.0,110.6,3 (0),3.0,44.0,1.0,303.0,1,0.0,0.0,0.0,3.0
Grayland Arnold,#25,CB,5.0,143,51.0,3.0,89.0,71.4,40.0,60.1,73.8,77.0,1.0,0.0,0.0,1.0,0.0,11.0,4.0,2.0,11.8,4.0,1.0,12.0,10.0,83.3,89.0,8.9,41.0,23.0,0.0,0.0,0.0,97.6,0 (0),2.0,13.0,14.0,113.0,1,0.0,0.0,0.0,2.0
Jake Hansen,#35,LB,8.0,54,25.0,3.0,26.0,70.1,64.3,38.4,54.6,71.4,1.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,20.0,4.0,0.0,4.0,4.0,100.0,22.0,5.5,10.0,11.0,0.0,0.0,0.0,89.6,0 (0),7.0,39.0,0.0,8.0,0,0.0,0.0,0.0,7.0
Jimmie Ward,#01,S,10.0,506,187.0,5.0,314.0,68.4,73.9,83.9,50.7,67.8,0.0,0.0,0.0,0.0,0.0,38.0,14.0,3.0,5.5,11.0,1.0,31.0,24.0,77.4,297.0,12.4,127.0,53.0,0.0,1.0,2.0,93.1,3 (0),9.0,124.0,199.0,171.0,3,0.0,0.0,0.0,9.0
Kerry Hyder Jr.,#56,ED,2.0,40,19.0,21.0,0.0,67.8,69.3,73.6,58.0,60.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),40.0,0.0,0.0,0.0,0,0.0,2.0,0.0,38.0
Jerry Hughes,#55,ED,17.0,474,189.0,276.0,9.0,67.7,58.5,36.5,67.2,64.8,30.0,3.0,1.0,26.0,0.0,23.0,3.0,6.0,18.8,22.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),472.0,2.0,0.0,0.0,0,0.0,5.0,3.0,464.0
Shaquill Griffin,#00,CB,8.0,382,126.0,0.0,256.0,66.3,57.7,65.9,-,66.7,0.0,0.0,0.0,0.0,0.0,29.0,2.0,3.0,8.8,7.0,0.0,41.0,27.0,65.9,260.0,9.6,60.0,29.0,1.0,1.0,3.0,81.4,5 (0),0.0,25.0,0.0,3.0,354,0.0,0.0,0.0,0.0
Neville Hewitt,#43,LB,1.0,3,3.0,0.0,0.0,65.7,62.7,71.7,-,-,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Adrian Amos,#00,S,6.0,131,48.0,1.0,82.0,65.4,75.8,86.5,60.0,59.9,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0 (0),2.0,23.0,92.0,14.0,0,0.0,0.0,0.0,2.0
Christian Harris,#48,LB,18.0,869,342.0,44.0,483.0,65.0,49.0,47.1,78.2,72.2,13.0,3.0,2.0,8.0,2.0,84.0,25.0,19.0,14.8,48.0,1.0,70.0,54.0,77.1,456.0,8.4,382.0,42.0,1.0,1.0,4.0,92.3,2 (0),42.0,735.0,2.0,88.0,2,0.0,0.0,0.0,42.0
Khalil Davis,#94,DI,17.0,481,212.0,269.0,0.0,64.4,60.7,53.5,63.7,67.0,23.0,2.0,4.0,17.0,0.0,24.0,15.0,4.0,9.3,19.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (0),481.0,0.0,0.0,0.0,0,5.0,342.0,133.0,1.0
Sheldon Rankins,#98,DI,17.0,673,241.0,431.0,1.0,62.7,39.1,26.8,74.7,69.1,42.0,6.0,4.0,32.0,0.0,29.0,6.0,11.0,23.9,28.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (1),672.0,1.0,0.0,0.0,0,31.0,242.0,396.0,3.0
Alex Austin,#27,CB,2.0,5,4.0,0.0,1.0,62.3,60.0,-,-,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0
Ka'dar Hollman,#20,CB,10.0,131,69.0,0.0,62.0,62.1,70.5,78.8,-,58.5,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,33.0,16.5,1.0,22.0,0.0,0.0,0.0,62.9,1 (0),1.0,16.0,0.0,3.0,111,0.0,0.0,0.0,1.0
Myjai Sanders,#41,ED,9.0,189,72.0,117.0,0.0,61.8,64.3,76.0,56.4,-,12.0,0.0,2.0,10.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),189.0,0.0,0.0,0.0,0,0.0,2.0,4.0,183.0
Jalen Pitre,#05,S,17.0,"1,032",402.0,38.0,592.0,61.8,62.4,54.0,64.5,61.6,7.0,0.0,3.0,4.0,1.0,67.0,27.0,17.0,15.3,27.0,2.0,33.0,20.0,60.6,242.0,12.1,76.0,45.0,1.0,0.0,5.0,93.2,4 (2),41.0,245.0,620.0,118.0,8,0.0,0.0,0.0,41.0
Eric Murray,#23,S,6.0,176,64.0,2.0,110.0,60.9,50.2,29.2,56.2,63.6,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,26.7,2.0,1.0,3.0,1.0,33.3,22.0,22.0,10.0,22.0,0.0,0.0,0.0,60.4,0 (0),2.0,37.0,117.0,19.0,1,0.0,0.0,0.0,2.0
Maliek Collins,#96,DI,18.0,780,270.0,507.0,3.0,60.9,44.5,44.0,68.4,67.5,48.0,7.0,13.0,28.0,1.0,25.0,11.0,6.0,14.3,24.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3 (0),780.0,0.0,0.0,0.0,0,5.0,414.0,356.0,5.0
M.J. Stewart,#29,S,6.0,166,59.0,4.0,103.0,60.4,74.1,58.4,63.5,54.9,1.0,0.0,0.0,1.0,0.0,15.0,3.0,3.0,14.3,6.0,1.0,14.0,10.0,71.4,92.0,9.2,34.0,20.0,0.0,0.0,0.0,89.0,1 (1),4.0,35.0,101.0,26.0,0,0.0,0.0,0.0,4.0
Brandon Hill,#36,S,1.0,1,0.0,0.0,1.0,60.0,-,-,-,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Denzel Perryman,#06,LB,14.0,633,280.0,25.0,328.0,56.4,77.9,49.9,68.6,38.4,8.0,1.0,1.0,6.0,0.0,55.0,32.0,15.0,14.7,34.0,0.0,43.0,33.0,76.7,439.0,13.3,218.0,64.0,2.0,0.0,3.0,124.1,4 (1),5.0,602.0,1.0,24.0,1,0.0,0.0,0.0,5.0
DeAndre Houston-Carson,#30,S,13.0,581,224.0,1.0,356.0,56.3,54.5,67.2,57.9,56.3,0.0,0.0,0.0,0.0,0.0,40.0,10.0,7.0,12.3,13.0,0.0,26.0,18.0,69.2,257.0,14.3,68.0,64.0,2.0,2.0,3.0,94.6,1 (0),12.0,94.0,394.0,81.0,0,0.0,0.0,0.0,12.0
Kareem Jackson,#22,S,3.0,50,27.0,0.0,23.0,56.1,51.7,28.2,-,59.6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,40.0,0.0,0.0,1.0,1.0,100.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,87.5,0 (0),0.0,6.0,41.0,3.0,0,0.0,0.0,0.0,0.0
Dylan Horton,#92,ED,10.0,175,76.0,96.0,3.0,55.9,51.8,30.3,50.7,69.4,5.0,0.0,1.0,4.0,0.0,9.0,3.0,3.0,20.0,7.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),175.0,0.0,0.0,0.0,0,0.0,0.0,2.0,173.0
Kris Boyd,#17,CB,2.0,14,7.0,0.0,7.0,53.9,60.3,72.5,-,52.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,108.3,0 (0),0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0
