Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Devin Singletary,#26,HB,19.0,276.0,238.0,986.0,4.1,5.0,1.0,75.1,78.1,85.0,79.0,686.0,2.88,36.0,29.0,26.0,120.0,111.0,0.0,0.0,986.0,13.0,253.0,25.7,44.0,0 (0),61.2,34.3,45.0,38.0,245,329.0,0.74,1.0,41.8
C.J. Stroud,#07,QB,17.0,403.0,42.0,177.0,4.2,3.0,9.0,83.2,73.4,52.1,60.2,48.0,1.14,3.0,16.0,8.0,1.0,0.0,25.0,157.0,10.0,0.0,0.0,0.0,18.0,4 (0),58.9,61.3,1.0,1.0,0,1.0,0.0,0.0,0.0
Tank Dell,#03,WR,11.0,156.0,12.0,51.0,4.3,0.0,0.0,83.4,71.2,85.5,50.1,29.0,2.42,2.0,13.0,3.0,5.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,3.0,1 (0),83.3,-,74.0,47.0,709,320.0,2.22,4.0,20.5
Davis Mills,#10,QB,7.0,14.0,5.0,5.0,1.0,0.0,0.0,48.3,68.2,80.5,60.0,18.0,3.6,0.0,9.0,0.0,1.0,0.0,1.0,9.0,-4.0,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
Dameon Pierce,#31,HB,14.0,164.0,148.0,416.0,2.8,2.0,0.0,65.9,64.0,75.5,55.7,333.0,2.25,27.0,22.0,9.0,90.0,55.0,0.0,0.0,416.0,3.0,53.0,12.7,14.0,0 (0),63.3,87.8,17.0,13.0,101,111.0,0.91,1.0,39.1
Robert Woods,#02,WR,16.0,235.0,1.0,7.0,7.0,0.0,0.0,60.7,63.1,83.7,52.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3 (1),61.0,39.3,76.0,42.0,443,448.0,0.99,4.0,4.7
Xavier Hutchinson,#19,WR,16.0,118.0,5.0,49.0,9.8,0.0,0.0,47.3,62.8,74.7,57.8,18.0,3.6,2.0,17.0,3.0,1.0,1.0,0.0,0.0,49.0,1.0,17.0,34.7,3.0,3 (0),47.2,-,22.0,12.0,99,190.0,0.52,1.0,105.9
Andrew Beck,#47,FB,17.0,197.0,5.0,3.0,0.6,1.0,1.0,50.7,60.6,24.5,54.2,3.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1 (0),48.8,63.6,13.0,11.0,55,109.0,0.5,0.0,3.8
Cameron Johnston,#11,P,1.0,1.0,1.0,-23.0,-23.0,0.0,0.0,60.0,60.0,61.9,-,9.0,9.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
Nico Collins,#12,WR,17.0,247.0,2.0,11.0,5.5,0.0,1.0,91.4,59.5,83.3,74.5,17.0,8.5,3.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0 (0),91.2,-,126.0,91.0,"1,461",470.0,3.11,4.0,228.5
