Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
Ka'imi Fairbairn,#15,K,14.0,69.6,69.0,66.6,26.1,2.0,27.5,19.0,445.0,23.4,46.0,3.0,66.0,4.09
Matt Ammendola,#16,K,5.0,63.1,22.0,67.5,23.9,0.0,27.3,6.0,112.0,18.7,16.0,0.0,20.0,3.98
Dare Ogunbowale,#33,HB,1.0,60.0,6.0,57.7,24.7,0.0,50.0,3.0,54.0,18.0,3.0,0.0,5.0,3.38
Cameron Johnston,#11,P,1.0,60.0,1.0,67.0,42.0,0.0,100.0,1.0,14.0,14.0,0.0,0.0,1.0,4.38
,,,,,,,,,,,,,,,,
