Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Tony Pollard,#20,HB,18.0,315.0,267.0,"1,061",4.0,7.0,3.0,77.5,84.7,66.9,62.8,764.0,2.86,47.0,31.0,22.0,133.0,122.0,0.0,0.0,"1,061",11.0,229.0,21.6,60.0,0 (0),51.4,70.6,76.0,62.0,340,439.0,0.77,3.0,45.2
Dak Prescott,#04,QB,18.0,426.0,62.0,287,4.6,2.0,4.0,90.0,78.6,84.3,60.2,126.0,2.03,6.0,22.0,11.0,3.0,3.0,34.0,233.0,54,1.0,18.0,6.3,25.0,5 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
CeeDee Lamb,#88,WR,18.0,336.0,15.0,118,7.9,2.0,3.0,90.9,77.8,50.6,54.3,69.0,4.6,6.0,24.0,4.0,4.0,1.0,0.0,0.0,118,1.0,24.0,20.3,6.0,6 (0),91.2,-,197.0,144.0,"1,859",692.0,2.69,6.0,75.2
Rico Dowdle,#23,HB,17.0,117.0,91.0,372,4.1,2.0,0.0,66.6,69.4,88.5,60.1,269.0,2.96,15.0,21.0,7.0,51.0,32.0,0.0,0.0,372,3.0,58.0,15.6,17.0,0 (0),59.6,34.1,24.0,19.0,158,122.0,1.3,2.0,59.1
Hunter Luepke,#40,FB,18.0,101.0,6.0,19,3.2,1.0,0.0,56.7,68.1,73.7,55.6,11.0,1.83,3.0,9.0,0.0,2.0,0.0,0.0,0.0,19,0.0,0.0,0.0,5.0,0 (0),56.0,20.2,3.0,3.0,18,39.0,0.46,0.0,81.5
Cooper Rush,#10,QB,7.0,41.0,12.0,-5,-0.4,0.0,0.0,58.0,66.2,79.6,60.0,4.0,0.33,0.0,6.0,0.0,0.0,0.0,1.0,6.0,-11,0.0,0.0,0.0,1.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
KaVontae Turpin,#09,WR,17.0,53.0,11.0,110,10.0,1.0,1.0,67.7,60.0,62.1,54.6,29.0,2.64,3.0,46.0,3.0,2.0,5.0,0.0,0.0,110,2.0,68.0,61.8,4.0,1 (0),69.8,66.2,18.0,12.0,127,96.0,1.32,3.0,68.8
Peyton Hendershot,#89,TE,9.0,87.0,1.0,0,0.0,0.0,0.0,44.2,57.6,68.3,56.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,2 (0),41.4,85.1,6.0,4.0,38,65.0,0.58,2.0,20.0
Brandin Cooks,#03,WR,17.0,262.0,5.0,38,7.6,0.0,1.0,68.8,55.3,57.6,43.6,7.0,1.4,1.0,14.0,1.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,1.0,1 (1),69.9,-,90.0,61.0,707,594.0,1.19,1.0,10.6
Deuce Vaughn,#42,HB,6.0,31.0,23.0,40,1.7,0.0,0.0,46.4,40.9,80.8,60.0,35.0,1.52,0.0,13.0,1.0,12.0,11.0,0.0,0.0,40,0.0,0.0,0.0,1.0,0 (0),76.0,35.7,7.0,7.0,40,20.0,2.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
