Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Alex Highsmith,#56,ED,18.0,617.0,86.0,13.9,86.3,3 (1),11.0,6.0,54.5,77.0,12.8,51.0,4.9,25.0,1.0,9.0,1.0,2.0,0.0,0.0,37.1,7.4,13.5,5.0,1.0,1.0,14.3,10.0
Elijah Riley,#37,S,5.0,36.0,34.0,94.4,84.5,0 (0),2.0,1.0,50.0,36.0,36.0,10.0,23.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,15.5,31.0,3.0,3.0,2.0,25.0,3.0
Kwon Alexander,#54,LB,9.0,217.0,187.0,86.2,74.4,0 (0),30.0,19.0,63.3,188.0,9.9,77.0,5.7,24.0,0.0,0.0,0.0,1.0,0.0,0.0,67.1,6.0,9.5,23.0,2.0,3.0,10.7,9.0
T.J. Watt,#90,ED,17.0,607.0,56.0,9.2,70.6,4 (0),10.0,9.0,90.0,107.0,11.9,80.0,3.7,28.0,0.0,0.0,0.0,1.0,0.0,0.0,71.7,5.5,6.1,8.0,1.0,0.0,0.0,25.0
Elandon Roberts,#50,LB,17.0,335.0,297.0,88.7,69.0,1 (0),49.0,43.0,87.8,365.0,8.5,230.0,3.9,34.0,3.0,6.0,3.0,0.0,0.0,1.0,104.5,5.8,6.6,36.0,7.0,8.0,15.7,19.0
Minkah Fitzpatrick,#39,S,11.0,356.0,337.0,94.7,67.9,3 (0),30.0,20.0,66.7,242.0,12.1,115.0,8.7,42.0,3.0,10.0,2.0,0.0,2.0,2.0,113.5,10.4,15.6,31.0,8.0,4.0,9.3,11.0
Larry Ogunjobi,#99,DI,18.0,496.0,4.0,0.8,67.3,1 (0),0.0,0.0,,0.0,,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,2.0,50.0,3.0
Joey Porter Jr.,#24,CB,18.0,565.0,565.0,100.0,66.6,12 (4),57.0,27.0,47.4,404.0,15.0,137.0,11.7,56.0,10.0,18.0,6.0,1.0,1.0,1.0,69.6,9.3,19.7,29.0,3.0,4.0,11.1,6.0
Blake Martinez,#40,LB,1.0,7.0,7.0,100.0,66.5,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
Markus Golden,#44,ED,17.0,138.0,21.0,15.2,66.0,0 (0),1.0,1.0,100.0,11.0,11.0,18.0,-7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,20.0,20.0,2.0,1.0,1.0,25.0,6.0
Chandon Sullivan,#34,CB,18.0,292.0,255.0,87.3,65.9,3 (0),35.0,24.0,68.6,217.0,9.0,81.0,5.5,30.0,3.0,9.0,3.0,1.0,0.0,1.0,82.7,6.9,10.0,15.0,2.0,4.0,19.0,6.0
Trenton Thompson,#17,S,6.0,131.0,128.0,97.7,63.8,0 (0),12.0,7.0,58.3,44.0,6.3,33.0,7.3,11.0,2.0,17.0,1.0,1.0,1.0,0.0,31.3,10.1,17.3,9.0,0.0,0.0,0.0,1.0
Damontae Kazee,#23,S,15.0,511.0,506.0,99.0,62.3,2 (1),29.0,23.0,79.3,400.0,17.4,142.0,11.6,46.0,1.0,3.0,1.0,2.0,2.0,2.0,113.0,16.2,20.5,33.0,6.0,8.0,17.0,4.0
Eric Rowe,#25,S,4.0,148.0,144.0,97.3,61.8,0 (0),32.0,22.0,68.8,195.0,8.9,92.0,6.0,29.0,2.0,6.0,2.0,1.0,1.0,0.0,71.7,4.4,6.4,20.0,2.0,3.0,12.0,3.0
Montravius Adams,#57,DI,14.0,254.0,1.0,0.4,61.5,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,50.0,0.0
Miles Killebrew,#28,S,9.0,94.0,91.0,96.8,61.1,0 (0),13.0,9.0,69.2,97.0,10.8,27.0,6.8,29.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,6.8,9.8,8.0,2.0,1.0,9.1,3.0
Levi Wallace,#29,CB,17.0,502.0,502.0,100.0,60.4,1 (0),72.0,40.0,55.6,548.0,13.7,156.0,13.5,36.0,10.0,14.0,6.0,2.0,2.0,7.0,100.9,6.6,11.9,27.0,3.0,2.0,6.3,4.0
Patrick Peterson,#20,CB,18.0,724.0,716.0,98.9,59.8,5 (1),62.0,33.0,53.2,431.0,13.1,208.0,10.5,52.0,8.0,13.0,6.0,2.0,0.0,5.0,88.8,10.9,20.4,27.0,3.0,8.0,21.1,9.0
Cole Holcomb,#55,LB,8.0,265.0,232.0,87.5,57.2,1 (0),22.0,16.0,72.7,216.0,13.5,103.0,6.1,29.0,2.0,9.0,2.0,0.0,0.0,0.0,103.6,9.7,13.3,14.0,6.0,2.0,9.1,5.0
Keanu Neal,#31,S,9.0,276.0,266.0,96.4,56.4,1 (0),37.0,24.0,64.9,250.0,10.4,131.0,5.8,34.0,1.0,3.0,1.0,1.0,0.0,0.0,73.0,6.7,10.3,19.0,5.0,4.0,14.3,5.0
Darius Rush,#21,CB,2.0,38.0,38.0,100.0,54.1,0 (0),4.0,3.0,75.0,37.0,12.3,14.0,11.0,23.0,1.0,25.0,1.0,0.0,1.0,0.0,103.1,8.8,11.7,2.0,1.0,0.0,0.0,0.0
Mykal Walker,#38,LB,9.0,187.0,167.0,89.3,53.9,1 (0),26.0,18.0,69.2,220.0,12.2,148.0,5.0,80.0,2.0,8.0,1.0,1.0,0.0,5.0,118.6,6.2,8.9,14.0,3.0,0.0,0.0,5.0
Myles Jack,#16,LB,4.0,118.0,107.0,90.7,47.8,2 (0),12.0,11.0,91.7,134.0,12.2,81.0,4.7,22.0,0.0,0.0,0.0,0.0,1.0,0.0,113.2,8.6,9.4,10.0,1.0,2.0,15.4,6.0
Nick Herbig,#51,ED,18.0,104.0,23.0,22.1,44.3,0 (0),4.0,4.0,100.0,41.0,10.3,36.0,1.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,109.4,5.8,5.8,2.0,1.0,2.0,40.0,4.0
James Pierre,#42,CB,6.0,24.0,24.0,100.0,37.9,2 (0),2.0,2.0,100.0,18.0,9.0,6.0,10.5,12.0,0.0,0.0,0.0,0.0,0.0,1.0,143.8,10.5,10.5,1.0,0.0,0.0,0.0,1.0
Mark Robinson,#93,LB,9.0,71.0,64.0,90.1,33.8,1 (0),7.0,7.0,100.0,88.0,12.6,32.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,158.3,8.7,8.7,7.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
