SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
1.0,Miles Killebrew,#28,S,18.0,335.0,82.0,80.0,72.0,94.0,7.0,0.0,90.0,-,-,-,4 (1),11.0,3.0,2.0
2.0,Darnell Washington,#80,TE,18.0,150.0,86.0,0.0,1.0,0.0,0.0,63.0,82.7,-,-,-,0 (0),0.0,0.0,0.0
3.0,Godwin Igwebuike,#48,HB,11.0,133.0,49.0,38.0,42.0,4.0,0.0,0.0,80.2,63.3,-,-,0 (0),2.0,0.0,0.0
4.0,Nick Herbig,#51,ED,18.0,371.0,82.0,79.0,76.0,94.0,40.0,0.0,78.6,-,-,-,0 (0),3.0,2.0,3.0
5.0,Montravius Adams,#57,DI,13.0,62.0,0.0,0.0,0.0,0.0,31.0,31.0,74.6,-,-,-,0 (0),0.0,0.0,0.0
6.0,Connor Heyward,#83,TE,18.0,259.0,73.0,22.0,71.0,93.0,0.0,0.0,71.0,61.2,-,-,2 (0),1.0,1.0,1.0
7.0,Qadree Ollison,#41,HB,2.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,70.9,-,-,-,0 (0),0.0,0.0,0.0
8.0,Patrick Peterson,#20,CB,18.0,84.0,4.0,0.0,9.0,0.0,71.0,0.0,68.9,-,-,-,2 (0),0.0,0.0,0.0
9.0,Miles Boykin,#13,WR,18.0,332.0,86.0,80.0,72.0,94.0,0.0,0.0,68.6,-,-,-,0 (0),3.0,2.0,4.0
10.0,Kyron Johnson,#53,ED,7.0,116.0,32.0,29.0,26.0,29.0,0.0,0.0,68.3,-,-,-,0 (0),0.0,0.0,1.0
10.0,Elijah Riley,#37,S,13.0,216.0,47.0,55.0,47.0,67.0,0.0,0.0,68.3,-,-,-,0 (0),0.0,2.0,2.0
12.0,Rodney Williams,#87,TE,14.0,205.0,59.0,58.0,19.0,49.0,0.0,20.0,67.9,-,-,-,0 (0),6.0,0.0,1.0
13.0,Trenton Thompson,#17,S,6.0,58.0,0.0,10.0,9.0,23.0,16.0,0.0,67.4,-,-,-,0 (0),1.0,1.0,0.0
14.0,Darius Rush,#21,CB,2.0,20.0,0.0,7.0,7.0,6.0,0.0,0.0,65.9,-,-,-,0 (0),0.0,0.0,0.0
15.0,Nate Herbig,#71,G,18.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,64.5,-,-,-,0 (0),0.0,0.0,0.0
16.0,Levi Wallace,#29,CB,12.0,45.0,0.0,1.0,4.0,0.0,40.0,0.0,63.4,-,-,-,0 (0),0.0,0.0,0.0
17.0,Pressley Harvin III,#06,P,16.0,141.0,0.0,0.0,0.0,83.0,0.0,58.0,63.3,-,50.3,-,0 (0),0.0,0.0,0.0
18.0,Spencer Anderson,#74,G,9.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,62.1,-,-,-,0 (0),0.0,0.0,0.0
19.0,Joey Porter Jr.,#24,CB,18.0,127.0,0.0,76.0,9.0,0.0,42.0,0.0,61.7,-,-,-,0 (0),1.0,0.0,0.0
19.0,Mark Robinson,#93,LB,18.0,320.0,82.0,52.0,62.0,94.0,30.0,0.0,61.7,-,-,-,2 (1),2.0,2.0,3.0
19.0,Eric Rowe,#25,S,4.0,20.0,0.0,5.0,1.0,0.0,14.0,0.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
22.0,Pat Freiermuth,#88,TE,13.0,46.0,4.0,0.0,0.0,0.0,0.0,42.0,61.6,-,-,-,0 (0),0.0,0.0,0.0
23.0,Calvin Austin III,#19,WR,18.0,83.0,7.0,0.0,76.0,0.0,0.0,0.0,61.5,57.8,66.5,-,0 (0),0.0,0.0,0.0
23.0,Dez Fitzpatrick,#82,WR,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,61.5,-,-,-,0 (0),0.0,0.0,0.0
25.0,Cameron Heyward,#97,DI,12.0,66.0,0.0,0.0,7.0,0.0,24.0,35.0,61.3,-,-,-,0 (0),0.0,0.0,0.0
26.0,Mykal Walker,#38,LB,3.0,11.0,0.0,0.0,2.0,0.0,9.0,0.0,61.1,-,-,-,0 (0),0.0,0.0,0.0
27.0,Blake Martinez,#40,LB,1.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,61.0,-,-,-,0 (0),0.0,0.0,0.0
28.0,Chris Boswell,#09,K,18.0,143.0,0.0,80.0,0.0,0.0,0.0,63.0,60.9,65.4,-,85.9,0 (0),0.0,0.0,0.0
28.0,Brad Wing,#03,P,2.0,16.0,0.0,0.0,0.0,11.0,0.0,5.0,60.9,-,58.9,-,0 (0),0.0,0.0,0.0
30.0,Desmond King II,#25,CB,3.0,15.0,12.0,3.0,0.0,0.0,0.0,0.0,60.8,60.2,-,-,0 (0),0.0,0.0,0.0
31.0,Gunner Olszewski,#89,WR,2.0,8.0,3.0,0.0,5.0,0.0,0.0,0.0,60.6,58.1,37.2,-,0 (0),0.0,0.0,0.0
32.0,Keeanu Benton,#95,DI,17.0,54.0,0.0,0.0,8.0,0.0,41.0,5.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
32.0,Isaiahh Loudermilk,#92,DI,16.0,87.0,0.0,0.0,4.0,0.0,28.0,55.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
34.0,Myles Jack,#16,LB,4.0,11.0,0.0,0.0,2.0,0.0,9.0,0.0,60.3,-,-,-,0 (0),0.0,0.0,0.0
