Player,JerseyNumber,Position,GamesPlayed,FieldGoalGrade,ExtraPointAttempts,ExtraPointMakes,ExtraPointPercentage,FieldGoalAttempts,FieldGoalMakes,FieldGoalPercentage,FieldGoalAttempts0To19Yards,FieldGoalMakes0To19Yards,FieldGoalPercentage0To19Yards,FieldGoalAttempts20To29Yards,FieldGoalMakes20To29Yards,FieldGoalPercentage20To29Yards,FieldGoalAttempts30To39Yards,FieldGoalMakes30To39Yards,FieldGoalPercentage30To39Yards,FieldGoalAttempts40To49Yards,FieldGoalMakes40To49Yards,FieldGoalPercentage40To49Yards,FieldGoalAttempts50PlusYards,FieldGoalMakes50PlusYards,FieldGoalPercentage50PlusYards
Chris Boswell,#09,K,18.0,85.9,29.0,30.0,96.7,30.0,32.0,93.8,0.0,0.0,,9.0,9.0,100.0,7.0,7.0,100.0,8.0,9.0,88.9,6.0,7.0,85.7
,,,,,,,,,,,,,,,,,,,,,,,,,
