SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1,,San Francisco 49ers,09/10,1:00pm,L,7.0,30.0,63.7,54.2,53.4,31.0,62.2,60.0,54.2,70.6,59.1,52.1,90.0,61.7,79.2,Game Reports
2,,Cleveland Browns,09/18,8:15pm,W,26.0,22.0,57.0,39.3,36.3,22.6,53.9,61.5,38.2,73.6,61.8,49.0,72.1,73.5,56.1,Game Reports
3,@,Las Vegas Raiders,09/24,8:20pm,W,23.0,18.0,76.0,70.6,72.0,49.8,70.6,64.7,64.1,72.6,67.8,80.2,69.5,69.5,56.3,Game Reports
4,@,Houston Texans,10/01,1:00pm,L,6.0,30.0,46.4,49.4,44.8,48.1,52.1,58.5,57.0,48.5,59.6,30.6,55.3,37.9,49.6,Game Reports
5,,Baltimore Ravens,10/08,1:00pm,W,17.0,10.0,73.9,70.6,66.6,48.4,69.9,71.7,63.7,69.4,67.8,62.6,71.7,60.9,84.7,Game Reports
7,@,Los Angeles Rams,10/22,4:05pm,W,24.0,17.0,73.3,79.6,78.3,65.8,77.1,62.5,78.4,59.1,57.6,69.3,70.1,55.6,66.8,Game Reports
8,,Jacksonville Jaguars,10/29,1:00pm,L,10.0,20.0,61.8,55.4,56.2,63.0,56.4,60.0,44.0,68.2,65.4,68.5,63.4,68.5,64.1,Game Reports
9,,Tennessee Titans,11/02,8:15pm,W,20.0,16.0,72.5,71.3,77.0,69.5,62.5,77.4,59.8,69.4,62.3,46.0,69.5,71.0,56.2,Game Reports
10,,Green Bay Packers,11/12,1:00pm,W,23.0,19.0,68.4,63.9,54.5,57.9,57.5,74.2,62.6,66.3,60.9,66.6,67.3,63.0,75.7,Game Reports
11,@,Cleveland Browns,11/19,1:00pm,L,10.0,13.0,73.7,64.0,51.4,49.5,57.2,90.5,63.8,77.1,71.3,68.5,65.3,79.7,66.0,Game Reports
12,@,Cincinnati Bengals,11/26,1:00pm,W,16.0,10.0,85.2,80.0,91.8,55.2,75.7,65.8,62.7,82.1,82.5,65.1,75.4,74.2,46.7,Game Reports
13,,Arizona Cardinals,12/03,1:00pm,L,10.0,24.0,62.9,70.9,75.5,67.3,64.4,55.9,74.8,53.7,62.8,33.8,63.5,40.4,61.8,Game Reports
14,,New England Patriots,12/07,8:20pm,L,18.0,21.0,71.1,59.4,39.5,70.0,60.6,65.6,65.3,76.7,73.3,62.0,77.5,65.8,83.7,Game Reports
15,@,Indianapolis Colts,12/16,4:30pm,L,13.0,30.0,52.3,50.9,50.4,15.6,68.7,63.2,44.3,55.7,53.9,69.4,69.6,50.8,76.0,Game Reports
16,,Cincinnati Bengals,12/23,4:30pm,W,34.0,11.0,79.4,72.6,63.0,58.4,70.5,62.5,74.2,79.7,66.6,49.3,89.0,69.7,53.2,Game Reports
17,@,Seattle Seahawks,12/31,4:05pm,W,30.0,23.0,80.0,79.4,86.9,62.8,76.1,89.6,52.8,70.2,42.1,64.8,91.2,59.2,64.2,Game Reports
18,@,Baltimore Ravens,01/06,4:30pm,W,17.0,10.0,74.9,65.5,46.2,48.0,65.2,69.9,68.8,80.2,82.7,68.6,80.6,65.0,60.9,Game Reports
WC,@,Buffalo Bills,01/15,4:30pm,L,17.0,31.0,60.8,57.5,61.2,30.2,58.6,60.3,69.0,63.5,65.9,59.7,65.2,55.2,68.7,Game Reports
,,,,,,,,,,,,,,,,,,,,,
