player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Joey Porter Jr.,2023,4,9.618348,2.404587,8.99987,0.011,10.927607,2.731902,10.224941,00-0039167,2023,PIT,DB,CB,24.0,2000-07-26,PIT,32.0,23.0
James Pierre,2023,1,1.3,1.3,0.0,0.006,1.476957,1.476957,0.0,00-0035795,2023,PIT,DB,CB,42.0,1996-09-16,,,27.0
Darius Rush,2023,4,4.19766,1.049415,0.35766,0.005,4.76905,1.192262,0.406345,00-0038388,2023,PIT,DB,CB,21.0,2000-02-22,IND,138.0,24.0
Nate Meadors,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0035108,2023,PIT,DB,CB,30.0,1997-02-13,,,27.0
Luq Barcoo,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036101,2023,PIT,DB,CB,35.0,1998-07-27,,,25.0
Cory Trice,2023,4,3.924436,0.981109,0.084436,0.004,4.458634,1.114659,0.09593,00-0038639,2023,PIT,DB,CB,27.0,2000-05-30,PIT,241.0,23.0
Madre Harper,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036084,2023,PIT,DB,CB,38.0,1997-10-13,,,26.0
Lavert Hill,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0035885,2023,PIT,DB,DB,25.0,1998-10-03,,,25.0
Nevelle Clarke,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0035977,2023,PIT,DB,DB,33.0,1996-11-16,,,27.0
Minkah Fitzpatrick,2022,4,72.988,18.247,36.0,0.088,89.534751,22.383688,44.161383,00-0034789,2023,PIT,DB,FS,39.0,1996-11-17,MIA,11.0,27.0
Eric Rowe,2023,1,1.3175,1.3175,0.8525,0.006,1.496839,1.496839,0.968543,00-0031555,2023,PIT,DB,SS,25.0,1992-10-03,PHI,47.0,31.0
Damontae Kazee,2023,2,6.0,3.0,1.75,0.013,6.816726,3.408363,1.988212,00-0033512,2023,PIT,DB,SS,23.0,1993-06-05,ATL,149.0,30.0
Kenny Robinson,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036283,2023,PIT,DB,FS,41.0,1999-01-08,CAR,152.0,25.0
Elijah Riley,2022,2,1.905,0.9525,0.0,0.005,2.336873,1.168437,0.0,00-0036002,2023,PIT,DB,FS,37.0,1998-06-12,,,25.0
Tariq Carpenter,2023,1,0.324999,0.324999,0.0,0.001,0.369238,0.369238,0.0,00-0037090,2023,PIT,DB,SS,49.0,1998-12-28,GB,228.0,25.0
Trenton Thompson,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0037377,2023,PIT,DB,SS,17.0,1997-12-18,,,26.0
Jalen Elliott,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0036010,2023,PIT,DB,SS,16.0,1998-07-07,,,25.0
Chris Boswell,2022,4,20.0,5.0,12.5,0.024,24.534102,6.133525,15.333814,00-0031136,2023,PIT,K,K,9.0,1991-03-16,,,33.0
B.T. Potter,2023,3,2.7,0.9,0.005,0.004,3.067527,1.022509,0.005681,00-0038748,2023,PIT,K,K,3.0,,,,
Pressley Harvin,2021,4,3.560732,0.890183,0.080732,0.005,4.983074,1.245768,0.112981,00-0036847,2023,PIT,P,P,6.0,1998-09-17,PIT,254.0,25.0
Brad Wing,2023,1,0.3293,0.3293,0.0,0.001,0.374125,0.374125,0.0,00-0030142,2023,PIT,P,P,3.0,1991-01-27,,,33.0
Christian Kuntz,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0034051,2023,PIT,LS,LS,46.0,1994-04-13,,,30.0
Rex Sunahara,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036443,2023,PIT,LS,LS,49.0,,,,
Alfonzo Graham,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,,2023,PIT,RB,RB,29.0,2000-03-20,,,24.0
Monte Pottebaum,2023,3,2.705,0.901667,0.01,0.004,3.073207,1.024403,0.011361,,2023,PIT,LB,LB,40.0,,,,
Aron Cruickshank,2023,3,2.703,0.901,0.008,0.004,3.070935,1.023645,0.009089,,2023,PIT,WR,WR,84.0,,,,
