Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Antoine Winfield Jr.,#31,S,19.0,788.0,724.0,91.9,84.0,0 (0),44.0,31.0,70.5,399.0,12.9,167.0,10.5,55.0,9.0,21.0,8.0,3.0,2.0,2.0,85.3,15.7,22.2,52.0,9.0,5.0,7.6,14.0
SirVocea Dennis,#08,LB,7.0,62.0,59.0,95.2,72.6,0 (0),6.0,5.0,83.3,49.0,9.8,38.0,2.2,17.0,1.0,17.0,1.0,0.0,0.0,0.0,100.7,9.5,11.4,3.0,1.0,1.0,20.0,1.0
Jamel Dean,#35,CB,15.0,549.0,539.0,98.2,72.5,4 (1),77.0,52.0,67.5,665.0,12.8,221.0,10.4,76.0,9.0,12.0,7.0,0.0,3.0,5.0,116.0,6.7,9.9,49.0,6.0,2.0,3.5,18.0
Lavonte David,#54,LB,17.0,720.0,629.0,87.4,68.6,4 (2),96.0,73.0,76.0,578.0,7.9,329.0,4.9,33.0,5.0,5.0,4.0,0.0,1.0,1.0,94.0,6.2,8.2,65.0,10.0,5.0,6.3,34.0
Dee Delaney,#30,S,13.0,344.0,344.0,100.0,67.9,0 (0),27.0,14.0,51.9,160.0,11.4,79.0,11.0,26.0,3.0,11.0,1.0,2.0,0.0,1.0,51.5,11.9,23.0,14.0,1.0,5.0,25.0,3.0
J.J. Russell,#51,LB,1.0,37.0,24.0,64.9,67.8,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0
Christian Izien,#29,CB,19.0,575.0,499.0,86.8,67.2,6 (0),70.0,56.0,80.0,521.0,9.3,324.0,4.6,29.0,1.0,1.0,0.0,2.0,0.0,4.0,104.8,6.7,8.4,42.0,9.0,7.0,12.1,14.0
Kaevon Merriweather,#26,S,9.0,88.0,83.0,94.3,67.1,0 (0),4.0,2.0,50.0,6.0,3.0,8.0,11.3,5.0,1.0,25.0,1.0,0.0,0.0,0.0,56.3,18.5,37.0,4.0,1.0,0.0,0.0,0.0
Mike Greene,#91,DI,10.0,98.0,1.0,1.0,67.1,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,33.3,1.0
Vita Vea,#50,DI,17.0,455.0,7.0,1.5,65.8,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,7.0
K.J. Britt,#52,LB,11.0,150.0,123.0,82.0,64.4,0 (0),11.0,10.0,90.9,87.0,8.7,64.0,2.5,20.0,1.0,9.0,1.0,0.0,1.0,0.0,99.6,10.5,11.5,6.0,2.0,2.0,20.0,4.0
Calijah Kancey,#94,DI,16.0,448.0,5.0,1.1,64.0,2 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,8.0
Anthony Nelson,#98,ED,18.0,274.0,65.0,23.7,63.7,1 (0),11.0,10.0,90.9,74.0,7.4,55.0,2.1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,5.4,5.9,11.0,1.0,2.0,14.3,8.0
Carlton Davis III,#24,CB,14.0,545.0,542.0,99.4,63.3,6 (2),90.0,57.0,63.3,828.0,14.5,276.0,10.7,46.0,13.0,14.0,8.0,2.0,0.0,5.0,102.5,5.7,9.0,45.0,3.0,8.0,14.3,16.0
Logan Hall,#90,DI,18.0,367.0,1.0,0.3,61.4,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,3.0,2.0,1.0,16.7,1.0
Joe Tryon-Shoyinka,#09,ED,19.0,401.0,98.0,24.4,61.0,6 (0),7.0,7.0,100.0,60.0,8.6,45.0,2.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,102.4,13.3,13.3,8.0,2.0,2.0,16.7,10.0
Yaya Diaby,#00,ED,19.0,376.0,34.0,9.0,60.6,2 (0),7.0,6.0,85.7,45.0,7.5,28.0,1.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,4.3,5.0,11.0,2.0,4.0,23.5,14.0
Greg Gaines,#96,DI,19.0,311.0,4.0,1.3,58.8,2 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,2.0
Devin White,#45,LB,16.0,620.0,473.0,76.3,58.5,1 (0),45.0,32.0,71.1,354.0,11.1,184.0,5.8,46.0,3.0,7.0,2.0,2.0,1.0,1.0,83.0,10.0,14.0,20.0,20.0,6.0,13.0,13.0
Markees Watts,#58,ED,6.0,38.0,11.0,28.9,55.9,1 (0),2.0,1.0,50.0,7.0,7.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,5.5,11.0,2.0,1.0,1.0,25.0,2.0
Cam Gill,#49,ED,11.0,54.0,15.0,27.8,54.4,0 (0),3.0,3.0,100.0,48.0,16.0,38.0,3.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,4.3,4.3,0.0,2.0,1.0,33.3,1.0
Josh Hayes,#32,CB,2.0,13.0,13.0,100.0,53.7,0 (0),2.0,1.0,50.0,6.0,6.0,1.0,8.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,6.0,12.0,2.0,0.0,0.0,0.0,1.0
Zyon McCollum,#27,CB,17.0,575.0,574.0,99.8,46.3,4 (1),93.0,56.0,60.2,635.0,11.3,258.0,12.1,39.0,9.0,10.0,8.0,0.0,2.0,3.0,91.5,5.8,9.6,49.0,5.0,7.0,11.5,13.0
Shaquil Barrett,#07,ED,18.0,504.0,99.0,19.6,42.9,5 (0),17.0,16.0,94.1,127.0,7.9,105.0,1.9,15.0,0.0,0.0,0.0,1.0,0.0,0.0,73.3,5.6,5.9,12.0,4.0,3.0,15.8,9.0
Ryan Neal,#23,S,16.0,370.0,349.0,94.3,39.1,1 (0),30.0,26.0,86.7,431.0,16.6,191.0,9.4,75.0,0.0,0.0,0.0,0.0,0.0,4.0,158.3,11.1,12.8,29.0,7.0,4.0,10.0,4.0
Derrek Pitts,#38,CB,1.0,7.0,7.0,100.0,36.7,0 (0),2.0,1.0,50.0,25.0,25.0,16.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,3.5,7.0,0.0,0.0,1.0,100.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
