SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
32.0,Jake Brendel,#64,C,5.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,61.5,-,-,-,0 (0),0.0,0.0,0.0
33.0,Corey Luciano,#61,C,2.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,61.2,-,-,-,0 (0),0.0,0.0,0.0
33.0,Drake Jackson,#95,ED,8.0,33.0,0.0,0.0,3.0,0.0,30.0,0.0,61.2,-,-,-,0 (0),0.0,0.0,0.0
33.0,Jesse Davis,#66,T,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,61.2,-,-,-,0 (0),0.0,0.0,0.0
36.0,Jake Moody,#04,K,20.0,212.0,0.0,108.0,0.0,0.0,0.0,104.0,61.1,52.6,-,72.3,1 (0),0.0,0.0,1.0
37.0,Oren Burks,#48,LB,18.0,188.0,25.0,63.0,23.0,58.0,19.0,0.0,60.5,-,-,-,0 (0),2.0,1.0,0.0
37.0,Tashaun Gipson Sr.,#31,S,13.0,43.0,1.0,6.0,0.0,0.0,36.0,0.0,60.5,-,-,-,0 (0),0.0,0.0,0.0
39.0,Tay Martin,#86,WR,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
39.0,Willie Snead IV,#83,WR,3.0,23.0,18.0,0.0,5.0,0.0,0.0,0.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
41.0,Kerry Hyder Jr.,#92,ED,3.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,60.3,-,-,-,0 (0),0.0,0.0,0.0
42.0,Kendall Sheffield,#35,CB,3.0,45.0,7.0,17.0,9.0,8.0,4.0,0.0,60.2,-,-,-,0 (0),1.0,0.0,0.0
42.0,T.Y. McGill,#96,DI,2.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,60.2,-,-,-,0 (0),0.0,0.0,0.0
44.0,Anthony Brown,#22,CB,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,60.1,-,-,-,0 (0),0.0,0.0,0.0
45.0,Brandon Aiyuk,#11,WR,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,61.2,-,-,0 (0),0.0,0.0,0.0
45.0,Spencer Burford,#74,G,17.0,88.0,0.0,0.0,0.0,0.0,0.0,88.0,60.0,-,-,-,1 (0),0.0,0.0,0.0
45.0,Kalia Davis,#93,DI,3.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
45.0,Austin Bryant,#56,ED,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
45.0,Christian McCaffrey,#23,HB,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,61.2,-,-,0 (0),0.0,0.0,0.0
50.0,Deebo Samuel,#19,WR,6.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,59.8,60.4,-,-,0 (0),0.0,0.0,0.0
51.0,Clelin Ferrell,#94,ED,16.0,59.0,0.0,0.0,2.0,0.0,56.0,1.0,59.7,-,-,-,0 (0),0.0,0.0,0.0
52.0,Sebastian Joseph-Day,#69,DI,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,59.6,-,-,-,0 (0),0.0,0.0,0.0
53.0,Shemar Jean-Charles,#38,CB,5.0,68.0,14.0,22.0,18.0,14.0,0.0,0.0,59.4,-,-,-,2 (0),2.0,1.0,2.0
54.0,George Kittle,#85,TE,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,59.3,60.0,-,-,0 (0),0.0,0.0,0.0
55.0,Erik Harris,#35,S,3.0,47.0,11.0,18.0,11.0,7.0,0.0,0.0,58.7,-,-,-,0 (0),0.0,0.0,0.0
