Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Nick Bosa,#97,ED,20.0,698.0,694.0,99.4,92.3,7 (1),122.0,16.0,31.0,75.0,10.5,21.8,3.0,341.0,340.0,99.7,91.9,87.0,10.0,19.0,58.0,15.0,29.0,1.0
Javon Hargrave,#98,DI,19.0,549.0,545.0,99.3,86.5,4 (0),64.0,8.0,8.0,48.0,7.0,13.6,1.0,282.0,282.0,100.0,90.4,50.0,7.0,8.0,35.0,10.7,19.5,1.0
Arik Armstead,#91,DI,15.0,462.0,461.0,99.8,86.5,3 (0),58.0,8.0,7.0,43.0,7.5,15.2,0.0,244.0,244.0,100.0,88.6,43.0,6.0,5.0,32.0,10.5,19.2,0.0
Fred Warner,#54,LB,20.0,820.0,60.0,7.3,80.6,3 (1),17.0,3.0,3.0,11.0,17.9,8.9,3.0,401.0,38.0,9.5,73.9,11.0,2.0,1.0,8.0,18.1,11.1,1.0
Talanoa Hufanga,#29,S,10.0,399.0,15.0,3.8,76.3,2 (0),3.0,0.0,2.0,1.0,11.5,15.4,0.0,193.0,5.0,2.6,62.8,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Javon Kinlaw,#99,DI,20.0,363.0,361.0,99.4,71.9,3 (1),35.0,4.0,3.0,28.0,5.8,11.3,2.0,171.0,171.0,100.0,81.1,29.0,2.0,1.0,26.0,9.6,18.6,2.0
Austin Bryant,#56,ED,2.0,23.0,23.0,100.0,66.3,0 (0),3.0,0.0,0.0,3.0,6.8,18.2,0.0,17.0,17.0,100.0,64.3,3.0,0.0,0.0,3.0,9.4,18.8,0.0
Deommodore Lenoir,#02,CB,20.0,820.0,19.0,2.3,66.2,7 (1),3.0,0.0,0.0,3.0,8.3,16.7,0.0,399.0,7.0,1.8,73.5,1.0,0.0,0.0,1.0,8.3,16.7,0.0
Chase Young,#92,ED,12.0,336.0,326.0,97.0,66.0,1 (1),36.0,5.0,4.0,27.0,6.8,11.9,0.0,180.0,174.0,96.7,60.7,23.0,4.0,0.0,19.0,8.2,15.2,0.0
Kevin Givens,#90,DI,20.0,295.0,292.0,99.0,65.1,2 (0),15.0,2.0,2.0,11.0,3.1,8.7,1.0,134.0,134.0,100.0,69.7,13.0,2.0,2.0,9.0,5.8,12.4,1.0
Kalia Davis,#93,DI,3.0,34.0,33.0,97.1,64.4,0 (0),2.0,1.0,0.0,1.0,5.2,3.4,0.0,16.0,16.0,100.0,74.2,2.0,1.0,0.0,1.0,10.7,7.1,0.0
Drake Jackson,#95,ED,8.0,157.0,155.0,98.7,64.1,0 (0),14.0,3.0,0.0,11.0,5.8,11.0,1.0,89.0,89.0,100.0,67.0,13.0,3.0,0.0,10.0,9.4,14.1,0.0
Kerry Hyder Jr.,#92,ED,4.0,46.0,46.0,100.0,63.6,0 (0),4.0,1.0,0.0,3.0,5.6,13.3,0.0,31.0,31.0,100.0,65.5,3.0,1.0,0.0,2.0,6.7,16.7,0.0
Clelin Ferrell,#94,ED,17.0,295.0,294.0,99.7,60.4,0 (0),30.0,4.0,9.0,17.0,6.1,9.6,0.0,137.0,137.0,100.0,68.8,22.0,2.0,5.0,15.0,9.2,16.8,0.0
Samuel Womack III,#00,CB,5.0,43.0,1.0,2.3,60.0,0 (0),0.0,0.0,0.0,0.0,,,0.0,26.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Dee Winters,#53,LB,9.0,45.0,1.0,2.2,59.1,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Isaiah Oliver,#26,CB,16.0,356.0,17.0,4.8,58.0,4 (2),3.0,0.0,2.0,1.0,8.8,0.0,0.0,196.0,9.0,4.6,66.5,2.0,0.0,2.0,0.0,11.1,0.0,0.0
Dre Greenlaw,#57,LB,18.0,691.0,56.0,8.1,57.0,5 (1),8.0,2.0,2.0,4.0,9.3,5.6,0.0,334.0,28.0,8.4,63.6,5.0,2.0,1.0,2.0,13.0,11.1,0.0
Ji'Ayir Brown,#27,S,12.0,379.0,8.0,2.1,56.9,0 (0),3.0,0.0,0.0,3.0,18.8,25.0,0.0,205.0,3.0,1.5,66.1,2.0,0.0,0.0,2.0,33.3,33.3,0.0
T.Y. McGill,#96,DI,2.0,26.0,26.0,100.0,56.4,0 (0),3.0,0.0,1.0,2.0,6.5,13.0,0.0,14.0,14.0,100.0,60.7,3.0,0.0,1.0,2.0,12.5,25.0,0.0
Randy Gregory,#05,ED,15.0,230.0,224.0,97.4,56.0,2 (1),18.0,3.0,5.0,10.0,5.0,9.6,0.0,107.0,102.0,95.3,58.8,10.0,3.0,1.0,6.0,6.7,13.4,0.0
Logan Ryan,#33,S,6.0,179.0,4.0,2.2,55.4,1 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Demetrius Flannigan-Fowles,#45,LB,9.0,99.0,3.0,3.0,54.2,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,4.2,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tashaun Gipson Sr.,#31,S,19.0,820.0,18.0,2.2,52.4,5 (1),8.0,1.0,0.0,7.0,26.5,11.8,0.0,407.0,9.0,2.2,46.8,6.0,0.0,0.0,6.0,33.3,11.1,0.0
Robert Beal Jr.,#51,ED,6.0,36.0,36.0,100.0,51.5,0 (0),3.0,1.0,0.0,2.0,5.9,0.0,0.0,19.0,19.0,100.0,48.0,1.0,0.0,0.0,1.0,2.8,0.0,0.0
Sebastian Joseph-Day,#69,DI,5.0,29.0,29.0,100.0,51.3,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oren Burks,#48,LB,18.0,252.0,19.0,7.5,50.9,0 (0),8.0,1.0,1.0,6.0,25.0,5.6,0.0,99.0,9.0,9.1,63.3,7.0,1.0,1.0,5.0,44.4,11.1,0.0
Tayler Hawkins,#41,S,1.0,35.0,3.0,8.6,40.5,1 (0),1.0,0.0,0.0,1.0,16.7,0.0,0.0,11.0,1.0,9.1,39.9,1.0,0.0,0.0,1.0,50.0,0.0,0.0
Charvarius Ward,#07,CB,20.0,785.0,1.0,0.1,39.4,12 (6),1.0,0.0,0.0,1.0,50.0,0.0,0.0,381.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
