SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1,@,Pittsburgh Steelers,09/10,1:00pm,W,30.0,7.0,83.8,69.1,70.6,42.6,72.2,73.5,57.1,88.2,80.1,69.9,82.1,80.9,64.6,Game Reports
2,@,Los Angeles Rams,09/17,4:05pm,W,30.0,23.0,77.0,72.3,61.1,56.6,76.8,68.4,62.7,73.6,51.7,67.1,85.2,69.0,58.2,Game Reports
3,,New York Giants,09/21,8:15pm,W,30.0,12.0,87.9,74.4,58.8,53.1,80.6,70.6,66.9,90.7,83.4,79.7,91.3,77.4,66.5,Game Reports
4,,Arizona Cardinals,10/01,4:25pm,W,35.0,16.0,82.8,90.8,76.9,72.9,90.8,67.7,77.7,64.7,59.5,73.2,70.5,63.2,62.8,Game Reports
5,,Dallas Cowboys,10/08,8:20pm,W,42.0,10.0,92.5,84.3,85.3,37.2,77.3,75.8,82.4,90.3,81.7,82.4,82.3,83.5,60.6,Game Reports
6,@,Cleveland Browns,10/15,1:00pm,L,17.0,19.0,58.2,55.9,41.4,46.6,60.2,80.0,55.9,65.2,49.7,59.9,66.3,74.7,56.2,Game Reports
7,@,Minnesota Vikings,10/23,8:15pm,L,17.0,22.0,70.3,71.8,61.9,55.8,79.7,63.3,62.2,65.1,66.1,51.6,65.3,62.0,63.5,Game Reports
8,,Cincinnati Bengals,10/29,4:25pm,L,17.0,31.0,68.0,72.7,66.1,54.7,73.4,79.8,53.4,60.9,62.2,45.7,72.5,55.5,51.8,Game Reports
10,@,Jacksonville Jaguars,11/12,1:00pm,W,34.0,3.0,92.0,86.5,89.9,70.1,80.4,79.3,63.3,84.3,73.8,57.5,82.0,77.6,70.7,Game Reports
11,,Tampa Bay Buccaneers,11/19,4:25pm,W,27.0,14.0,86.6,80.9,77.9,49.4,84.4,72.0,67.6,81.5,64.0,79.1,87.1,76.3,65.7,Game Reports
12,@,Seattle Seahawks,11/23,8:20pm,W,31.0,13.0,87.6,78.1,75.2,61.0,73.6,83.3,62.7,88.8,74.9,68.0,81.0,82.1,64.1,Game Reports
13,@,Philadelphia Eagles,12/03,4:25pm,W,42.0,19.0,89.5,89.7,78.3,65.5,82.5,88.5,77.2,77.8,90.3,58.8,65.1,72.6,53.0,Game Reports
14,,Seattle Seahawks,12/10,4:05pm,W,28.0,16.0,84.9,88.0,77.1,58.5,79.1,85.8,82.6,69.5,59.9,34.1,74.6,68.2,62.8,Game Reports
15,@,Arizona Cardinals,12/17,4:05pm,W,45.0,29.0,77.9,88.5,83.8,61.1,74.4,66.2,90.5,57.5,28.5,33.8,59.4,78.0,67.0,Game Reports
16,,Baltimore Ravens,12/25,8:15pm,L,19.0,33.0,54.6,61.3,60.8,44.9,61.5,66.1,69.1,50.6,72.8,69.0,58.0,39.2,47.5,Game Reports
17,@,Washington Commanders,12/31,1:00pm,W,27.0,10.0,90.8,89.1,82.0,79.3,71.3,77.5,87.5,76.2,57.0,75.3,56.5,88.1,70.5,Game Reports
18,,Los Angeles Rams,01/07,4:25pm,L,20.0,21.0,67.2,74.2,74.8,67.8,65.1,69.6,70.0,58.0,65.5,60.6,60.1,52.4,75.2,Game Reports
DP,,Green Bay Packers,01/20,8:15pm,W,24.0,21.0,73.6,70.3,55.0,63.9,71.9,70.9,66.2,69.7,53.5,58.3,76.4,72.3,63.6,Game Reports
CC,,Detroit Lions,01/28,6:30pm,W,34.0,31.0,73.3,83.2,63.7,69.7,83.7,74.3,73.3,54.5,44.8,62.7,69.7,54.3,70.3,Game Reports
SB,@,Kansas City Chiefs,02/11,6:30pm,L,22.0,25.0,76.8,75.3,71.9,64.3,75.8,62.7,71.5,67.8,73.7,77.7,68.1,58.0,70.9,Game Reports
,,,,,,,,,,,,,,,,,,,,,
