Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Taybor Pepper,#46,LS,20.0,166.0,0.0,0.0,0.0,62.0,0.0,104.0,66.2,-,-,-,0 (0),0.0,0.0,0.0,san-francisco-49ers
Mitch Wishnowsky,#18,P,20.0,173.0,0.0,7.0,0.0,62.0,0.0,104.0,57.4,61.4,71.2,-,1 (0),0.0,0.0,1.0,san-francisco-49ers
Jake Moody,#04,K,20.0,212.0,0.0,108.0,0.0,0.0,0.0,104.0,61.1,52.6,-,72.3,1 (0),0.0,0.0,1.0,san-francisco-49ers
