year,player_game_count,snap_counts_ce,snap_counts_rt,snap_counts_te,snap_counts_rg,snap_counts_pass_block,snap_counts_pass_play,snap_counts_block,grades_run_block,player,team_name,grades_offense,player_id,grades_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_offense,position
2006,16,0,0,0,0,623,623,1036,74.3,Leonard Davis,ARZ,75.1,774,79.0,413,1036,0,1036,T
2006,16,0,640,0,0,623,623,1036,51.5,Reggie Wells,ARZ,52.4,1482,59.1,413,0,396,1036,T
2006,13,0,0,0,313,479,479,793,59.0,Milford Brown,ARZ,59.0,1222,59.1,314,0,480,793,G
2006,11,712,0,0,0,426,426,712,70.0,Nick Leckey,ARZ,75.0,1885,87.4,286,0,0,712,C
2006,10,0,0,0,584,353,353,584,53.8,Deuce Lutui,ARZ,57.8,2986,70.4,231,0,0,584,G
2006,16,0,0,1,0,0,618,377,68.0,Anquan Boldin,ARZ,82.6,1369,,377,0,0,998,WR
2006,6,0,72,0,139,224,224,371,53.0,Chris Liwienski,ARZ,54.4,414,60.2,147,0,160,371,G
2006,9,0,324,8,0,190,190,332,60.2,Oliver Ross,ARZ,65.8,396,66.8,142,0,0,332,T
2006,5,324,0,0,0,197,197,324,54.6,Alex Stepanovich,ARZ,59.1,1821,78.8,127,0,0,324,C
2006,13,0,0,5,0,0,459,296,78.6,Larry Fitzgerald,ARZ,84.2,1724,,296,0,0,755,WR
2006,16,0,0,448,0,47,224,280,65.8,Leonard Pope,ARZ,58.3,3017,46.4,233,0,0,457,TE
2006,12,0,0,0,0,0,429,261,60.0,Matt Leinart,ARZ,58.0,2955,,261,0,0,699,QB
2006,16,0,0,265,0,51,73,243,64.0,Fred Wakefield,ARZ,68.1,999,56.9,192,0,0,266,TE
2006,16,0,0,4,0,0,520,222,58.2,Bryant Johnson,ARZ,65.1,1333,,222,0,0,743,WR
2006,14,0,0,333,0,40,265,191,54.4,Adam Bergen,ARZ,41.3,2494,40.9,151,0,0,416,TE
2006,14,0,0,3,0,50,142,138,56.1,Obafemi Ayanbadejo,ARZ,55.7,297,57.2,88,0,0,239,FB
2006,6,0,0,0,0,1,194,134,60.0,Kurt Warner,ARZ,42.4,112,60.9,133,0,0,337,QB
2006,16,0,0,0,0,94,418,109,57.8,Edgerrin James,ARZ,49.6,439,81.1,15,0,0,782,HB
2006,15,0,0,0,0,0,233,56,67.7,Troy Walters,ARZ,59.6,682,,56,0,0,289,WR
2006,12,0,0,0,0,11,58,23,57.6,Marcel Shipp,ARZ,48.2,987,23.2,12,0,0,87,HB
2006,5,0,0,2,0,2,4,16,62.3,A.J. Schable,ARZ,63.5,3498,74.6,14,0,0,18,FB
2006,12,0,0,0,0,10,50,11,60.0,J.J. Arrington,ARZ,49.9,2261,51.3,1,0,0,65,HB
2006,1,0,0,0,0,0,10,2,60.0,Micheal Spurlock,ARZ,77.1,3517,,2,0,0,12,WR
2006,1,0,0,1,0,0,1,1,60.0,John Bronson,ARZ,96.0,2506,,1,0,0,2,FB
2007,16,0,41,0,0,652,652,1052,61.7,Reggie Wells,ARZ,64.5,1482,77.7,400,0,1011,1052,G
2007,16,0,0,3,0,634,634,1024,62.2,Mike Gandy,ARZ,72.8,834,79.4,390,1021,0,1024,T
2007,15,0,0,0,912,564,564,912,60.9,Deuce Lutui,ARZ,62.2,2986,63.1,348,0,0,912,G
2007,14,885,0,0,0,546,546,885,60.4,Al Johnson,ARZ,69.3,1354,82.0,339,0,0,885,C
2007,13,0,704,1,0,457,457,734,67.8,Levi Brown,ARZ,63.0,3621,65.5,277,29,0,734,T
2007,7,0,304,0,67,235,235,371,74.0,Elton Brown,ARZ,66.7,2328,67.9,136,0,0,371,G
2007,13,0,0,467,0,72,249,331,61.1,Leonard Pope,ARZ,58.9,3017,71.4,259,1,0,508,TE
2007,15,0,0,1,0,0,609,330,71.9,Larry Fitzgerald,ARZ,90.8,1724,,330,0,0,939,WR
2007,16,0,0,6,0,36,127,286,76.7,Terrelle Smith,ARZ,74.2,651,86.8,250,0,0,378,FB
2007,12,0,0,30,0,2,456,263,66.7,Anquan Boldin,ARZ,77.9,1369,80.9,261,0,0,718,WR
2007,14,0,0,0,0,0,494,258,60.0,Kurt Warner,ARZ,84.3,112,,258,0,0,766,QB
2007,10,167,0,9,0,132,132,216,67.4,Lyle Sendlein,ARZ,66.0,4062,56.1,84,0,40,216,C
2007,16,0,0,7,0,2,502,191,64.5,Bryant Johnson,ARZ,67.6,1333,74.9,189,0,0,691,WR
2007,8,0,0,173,0,26,105,133,77.2,Ben Patrick,ARZ,75.2,3831,76.8,107,0,0,212,TE
2007,16,0,0,0,0,103,344,126,65.5,Edgerrin James,ARZ,60.7,439,71.1,23,0,0,700,HB
2007,16,0,0,175,0,29,147,123,61.6,Troy Bienemann,ARZ,51.7,4195,60.3,94,0,0,241,TE
2007,5,0,0,0,0,0,127,94,60.0,Matt Leinart,ARZ,50.5,2955,,94,0,0,227,QB
2007,2,0,0,0,73,44,44,75,68.9,Keydrick Vincent,ARZ,76.9,998,88.1,31,1,1,75,G
2007,16,0,0,0,0,62,255,67,59.3,J.J. Arrington,ARZ,57.7,2261,73.7,5,0,0,286,HB
2007,15,0,0,0,0,30,87,37,44.3,Marcel Shipp,ARZ,60.4,987,90.4,7,0,0,109,HB
2007,10,0,3,33,0,5,6,36,56.5,Tim Euhus,ARZ,48.7,1830,74.8,31,0,0,37,TE
2007,10,0,0,0,0,1,212,34,33.2,Jerheme Urban,ARZ,58.8,1709,65.4,33,0,0,245,WR
2007,4,0,0,0,0,0,31,25,60.0,Tim Rattay,ARZ,66.1,701,,25,0,0,57,QB
2007,7,0,0,1,0,0,59,14,53.7,Steve Breaston,ARZ,61.2,3758,,14,0,0,75,WR
2007,8,0,0,1,0,0,95,14,57.6,Sean Morey,ARZ,54.1,538,,14,0,0,109,WR
2008,20,0,0,0,0,836,836,1296,68.2,Reggie Wells,ARZ,69.4,1482,69.1,460,0,1296,1296,G
2008,20,1296,0,0,0,836,836,1296,59.2,Lyle Sendlein,ARZ,62.8,4062,69.8,460,0,0,1296,C
2008,20,0,1288,0,0,835,835,1293,90.8,Levi Brown,ARZ,76.0,3621,62.6,458,5,0,1293,T
