year,thirty_attempts,fifty_attempts,player_id,player_game_count,total_attempts,one_attempts,twenty_attempts,position,forty_attempts,player,team_name,pat_attempts,grades_fgep_kicker
2013,8,5,955,16,36,0,11,K,12,Jay Feely,ARZ,37,62.6
2014,14,3,9140,17,33,0,5,K,11,Chandler Catanzaro,ARZ,29,64.6
2015,10,2,9140,18,33,1,13,K,7,Chandler Catanzaro,ARZ,61,61.1
2016,7,6,9140,16,28,1,6,K,8,Chandler Catanzaro,ARZ,47,55.6
2017,14,5,422,16,40,1,7,K,13,Phil Dawson,ARZ,26,62.7
2018,2,1,422,8,8,0,2,K,3,Phil Dawson,ARZ,15,48.2
2018,4,5,11979,7,14,0,1,K,4,Zane Gonzalez,ARZ,11,31.6
2019,13,2,11979,16,35,0,12,K,8,Zane Gonzalez,ARZ,35,69.6
2020,5,0,2264,4,8,0,1,K,2,Mike Nugent,ARZ,7,71.1
2020,2,3,11979,12,22,0,4,K,13,Zane Gonzalez,ARZ,39,59.3
2021,11,11,3471,18,38,0,11,K,5,Matt Prater,ARZ,49,70.7
2022,10,6,3471,13,25,0,1,K,8,Matt Prater,ARZ,18,74.0
2022,0,1,34038,2,5,0,2,K,2,Rodrigo Blankenship,ARZ,5,42.6
2022,2,0,34039,4,7,1,3,K,1,Matt Ammendola,ARZ,7,28.4
2023,8,12,3471,16,33,0,6,K,7,Matt Prater,ARZ,23,85.6
2024,1,1,3471,4,6,0,1,K,3,Matt Prater,ARZ,10,80.9
2024,6,2,77083,6,12,0,1,K,3,Chad Ryland,ARZ,13,90.9
2013,8,5,1223,16,27,0,9,K,5,Matt Bryant,ATL,39,66.0
2014,4,10,1223,16,32,0,10,K,8,Matt Bryant,ATL,40,83.6
2015,4,3,730,5,13,0,2,K,4,Shayne Graham,ATL,8,73.2
2015,4,0,1223,10,18,1,4,K,9,Matt Bryant,ATL,26,59.4
2016,10,8,1223,19,40,0,13,K,9,Matt Bryant,ATL,70,86.6
2017,14,11,1223,18,44,1,8,K,10,Matt Bryant,ATL,38,90.0
2018,5,5,1223,13,21,0,4,K,7,Matt Bryant,ATL,35,83.0
2018,0,2,7278,3,5,0,1,K,2,Giorgio Tavecchio,ATL,8,79.0
2019,4,6,1223,7,14,0,1,,3,Matt Bryant,ATL,15,36.8
2019,10,1,12042,8,26,0,6,,9,Younghoe Koo,ATL,16,62.5
2020,12,8,12042,15,39,0,10,K,9,Younghoe Koo,ATL,36,67.6
2020,0,0,21473,1,1,0,1,K,0,Elliott Fry,ATL,2,35.6
2021,9,5,12042,17,29,0,8,K,7,Younghoe Koo,ATL,30,87.0
2022,7,11,12042,17,37,0,9,K,10,Younghoe Koo,ATL,35,81.6
2023,10,6,12042,17,37,0,10,K,11,Younghoe Koo,ATL,28,68.8
2024,6,8,12042,10,24,0,4,K,6,Younghoe Koo,ATL,23,73.2
2013,13,7,7604,16,41,0,10,K,11,Justin Tucker,BLT,26,90.3
2014,11,10,7604,18,38,0,12,K,5,Justin Tucker,BLT,48,69.8
2015,9,10,7604,16,40,0,10,K,11,Justin Tucker,BLT,29,74.7
2016,11,10,7604,16,39,0,4,K,14,Justin Tucker,BLT,27,92.9
2017,11,7,7604,16,37,0,7,K,12,Justin Tucker,BLT,39,90.8
2018,10,8,7604,17,41,0,12,K,11,Justin Tucker,BLT,39,82.4
2019,9,1,7604,17,31,0,9,K,12,Justin Tucker,BLT,59,85.1
2020,9,7,7604,18,35,0,8,K,11,Justin Tucker,BLT,55,81.4
2021,9,6,7604,17,37,0,7,K,15,Justin Tucker,BLT,32,93.3
2022,11,14,7604,18,44,0,14,K,5,Justin Tucker,BLT,34,90.4
2023,10,6,7604,19,40,0,10,K,14,Justin Tucker,BLT,57,82.5
2024,6,5,7604,10,19,0,3,K,5,Justin Tucker,BLT,38,64.3
2013,6,6,4697,16,36,0,13,K,11,Dan Carpenter,BUF,32,71.0
2014,13,8,4697,16,38,0,9,K,8,Dan Carpenter,BUF,32,70.5
2015,9,5,4697,16,27,0,5,K,8,Dan Carpenter,BUF,40,40.7
2016,5,2,4697,16,25,1,8,K,9,Dan Carpenter,BUF,45,36.2
2017,10,9,4655,17,34,0,6,K,9,Stephen Hauschka,BUF,29,85.0
2018,8,7,4655,15,28,0,3,K,10,Stephen Hauschka,BUF,26,64.1
2019,9,5,4655,17,32,0,5,K,13,Stephen Hauschka,BUF,33,63.4
2020,9,9,33010,19,43,1,12,K,12,Tyler Bass,BUF,65,67.1
2021,8,4,33010,19,32,0,15,K,5,Tyler Bass,BUF,62,74.9
