year,thirty_attempts,fifty_attempts,player_id,player_game_count,total_attempts,one_attempts,twenty_attempts,position,forty_attempts,player,team_name,pat_attempts,grades_fgep_kicker
2022,15,3,33010,18,34,0,5,K,11,Tyler Bass,BUF,55,71.6
2023,13,6,33010,19,34,0,6,K,9,Tyler Bass,BUF,57,64.5
2024,5,2,33010,10,21,0,6,K,8,Tyler Bass,BUF,33,73.2
2013,5,6,5443,17,28,0,10,K,7,Graham Gano,CAR,43,69.3
2014,15,3,5443,18,39,0,7,K,14,Graham Gano,CAR,39,59.4
2015,6,5,5443,19,41,1,11,K,18,Graham Gano,CAR,69,79.4
2016,11,6,5443,16,38,0,4,K,17,Graham Gano,CAR,34,54.2
2017,12,2,5443,17,35,0,11,K,10,Graham Gano,CAR,39,73.4
2018,5,4,5443,12,16,0,3,K,4,Graham Gano,CAR,33,65.1
2018,10,3,9140,13,20,0,4,K,3,Chandler Catanzaro,CAR,35,38.0
2019,5,11,39235,16,32,0,5,K,11,Joey Slye,CAR,35,58.9
2020,10,6,39235,16,36,0,12,K,8,Joey Slye,CAR,36,56.7
2021,1,5,11979,12,22,0,6,K,10,Zane Gonzalez,CAR,23,81.3
2021,2,0,113161,4,5,0,2,K,1,Lirim Hajrullahu,CAR,8,60.4
2022,17,2,44140,17,35,0,2,K,14,Eddy Pineiro,CAR,32,75.0
2023,0,1,39675,1,1,0,0,K,0,Matthew Wright,CAR,0,56.0
2023,7,7,44140,15,29,0,6,K,9,Eddy Pineiro,CAR,20,58.8
2024,3,1,44140,10,13,0,3,K,6,Eddy Pineiro,CAR,17,81.1
2013,7,4,2607,16,29,0,11,K,7,Robbie Gould,CHI,46,79.3
2014,1,0,955,4,4,0,1,K,2,Jay Feely,CHI,6,55.5
2014,3,1,2607,12,12,0,4,K,4,Robbie Gould,CHI,29,56.8
2015,12,9,2607,15,39,1,8,K,9,Robbie Gould,CHI,29,59.7
2016,8,3,4777,16,23,0,8,K,4,Connor Barth,CHI,32,63.0
2017,4,1,2264,8,13,0,3,K,5,Mike Nugent,CHI,17,60.9
2017,0,2,4777,10,16,1,4,K,9,Connor Barth,CHI,17,56.5
2017,4,1,8932,5,5,0,0,K,0,Cairo Santos,CHI,14,59.0
2018,12,2,9030,17,34,0,7,K,13,Cody Parkey,CHI,45,39.9
2019,10,2,44140,16,28,1,8,K,7,Eddy Pineiro,CHI,29,51.7
2020,11,3,8932,17,33,0,9,K,10,Cairo Santos,CHI,37,85.2
2021,5,2,8932,17,30,0,10,K,13,Cairo Santos,CHI,28,73.0
2022,7,5,8932,16,23,0,4,K,7,Cairo Santos,CHI,32,48.5
2023,11,8,8932,17,38,0,9,K,10,Cairo Santos,CHI,33,83.3
2024,2,7,8932,9,14,0,2,K,3,Cairo Santos,CHI,16,72.7
2013,7,4,2264,17,23,0,2,K,10,Mike Nugent,CIN,54,72.2
2014,12,4,2264,16,34,0,6,K,12,Mike Nugent,CIN,40,56.3
2015,7,3,2264,17,29,0,6,K,13,Mike Nugent,CIN,50,82.6
2016,10,3,2264,13,29,0,9,K,7,Mike Nugent,CIN,29,30.0
2016,2,0,7154,5,9,0,4,K,3,Randy Bullock,CIN,10,50.4
2017,8,1,7154,14,20,0,6,K,5,Randy Bullock,CIN,33,69.2
2017,0,0,11209,1,0,0,0,K,0,Marshall Koehn,CIN,1,60.4
2018,8,5,7154,16,23,0,4,K,6,Randy Bullock,CIN,41,65.5
2019,6,3,7154,16,31,0,10,K,12,Randy Bullock,CIN,25,67.1
2020,10,5,7154,12,26,0,3,K,8,Randy Bullock,CIN,25,48.7
2020,5,1,13701,5,9,0,0,K,3,Austin Seibert,CIN,9,42.5
2021,4,0,21473,2,5,0,0,K,1,Elliott Fry,CIN,5,45.3
2021,15,14,82583,20,47,0,7,K,11,Evan McPherson,CIN,54,89.3
2022,6,5,82583,19,34,1,9,K,13,Evan McPherson,CIN,51,54.9
2023,6,12,82583,17,31,0,5,K,8,Evan McPherson,CIN,40,84.4
2024,3,6,82583,10,17,0,4,K,4,Evan McPherson,CIN,30,62.8
2013,6,4,1230,16,26,0,7,K,9,Billy Cundiff,CLV,32,56.9
2013,0,0,6566,1,0,0,0,P,0,Spencer Lanning,CLV,1,60.1
2014,13,3,1230,13,29,0,6,K,7,Billy Cundiff,CLV,28,55.6
2014,2,0,4900,2,3,0,0,K,1,Garrett Hartley,CLV,2,65.6
2015,10,2,9268,16,32,0,11,K,9,Travis Coons,CLV,24,72.4
2016,6,1,9030,14,25,0,6,K,12,Cody Parkey,CLV,21,52.1
2016,1,1,9389,2,2,0,0,K,0,Patrick Murray,CLV,4,53.5
2017,6,3,11979,16,20,0,5,K,6,Zane Gonzalez,CLV,26,57.3
2018,7,2,22842,14,20,0,4,K,7,Greg Joseph,CLV,29,42.0
2019,9,2,13701,16,29,0,6,K,12,Austin Seibert,CLV,35,48.3
2020,7,0,9030,17,25,0,6,K,12,Cody Parkey,CLV,56,61.7
2020,0,1,63303,1,1,0,0,P,0,Jamie Gillan,CLV,0,58.8
2021,4,4,33285,16,21,0,3,K,10,Chase McLaughlin,CLV,37,64.5
2021,1,0,57626,1,1,0,0,K,0,Chris Naggar,CLV,2,36.5
2022,12,7,98975,17,32,0,5,K,8,Cade York,CLV,37,59.6
2023,7,8,7958,15,36,0,8,K,13,Dustin Hopkins,CLV,26,84.4
2023,11,2,57556,15,18,0,3,K,2,Riley Patterson,CLV,46,59.5
2024,5,7,7958,9,18,0,1,K,5,Dustin Hopkins,CLV,12,48.6
2013,9,7,6796,16,30,2,2,K,10,Dan Bailey,DAL,47,80.0
2014,7,9,6796,18,32,0,6,K,10,Dan Bailey,DAL,62,70.7
2015,10,6,6796,16,32,0,9,K,7,Dan Bailey,DAL,25,80.4
2016,9,8,6796,17,35,0,9,K,9,Dan Bailey,DAL,48,77.6
2017,5,5,6796,11,20,1,4,K,5,Dan Bailey,DAL,28,44.6
2017,0,0,8396,1,0,0,0,S,0,Jeff Heath,DAL,3,45.4
2018,9,8,8585,18,38,0,10,K,11,Brett Maher,DAL,38,75.1
2019,1,1,6860,4,11,0,2,K,7,Kai Forbath,DAL,12,73.7
2019,8,8,8585,13,30,0,9,K,5,Brett Maher,DAL,36,60.9
2020,13,9,7163,16,41,1,5,K,13,Greg Zuerlein,DAL,36,76.1
2021,16,6,7163,16,36,0,5,K,9,Greg Zuerlein,DAL,50,58.1
2022,5,11,8585,19,34,0,10,K,8,Brett Maher,DAL,59,71.5
2023,16,10,156112,18,39,0,9,K,4,Brandon Aubrey,DAL,54,90.2
2024,5,10,156112,9,24,0,2,K,7,Brandon Aubrey,DAL,13,95.0
2013,6,8,3471,18,32,3,5,K,10,Matt Prater,DEN,80,86.8
2014,5,1,4777,6,18,2,4,K,6,Connor Barth,DEN,16,69.4
2014,3,2,8437,11,13,0,5,K,3,Brandon McManus,DEN,41,50.5
2015,12,9,8437,19,45,0,13,K,11,Brandon McManus,DEN,39,77.1
2016,10,6,8437,16,34,0,9,K,9,Brandon McManus,DEN,33,68.8
2017,12,6,8437,15,32,0,8,K,6,Brandon McManus,DEN,27,52.9
2018,6,7,8437,16,25,0,5,K,7,Brandon McManus,DEN,35,71.3
2019,9,7,8437,16,34,0,6,K,12,Brandon McManus,DEN,26,67.7
2020,5,15,8437,15,34,0,6,K,8,Brandon McManus,DEN,27,70.1
2020,0,1,101280,1,1,0,0,K,0,Taylor Russolino,DEN,3,27.6
2021,6,9,8437,17,31,0,8,K,8,Brandon McManus,DEN,34,78.1
2022,6,13,8437,17,36,0,7,K,10,Brandon McManus,DEN,27,64.7
2023,13,5,11096,16,35,0,11,K,6,Wil Lutz,DEN,31,62.3
2024,9,4,11096,10,21,0,1,K,7,Wil Lutz,DEN,19,71.3
2013,7,3,295,16,24,1,6,K,7,David Akers,DET,43,52.1
2014,7,5,3471,12,28,0,8,K,8,Matt Prater,DET,23,65.0
2014,0,3,6272,2,5,0,0,K,2,Alex Henery,DET,5,28.6
2014,1,0,8863,3,7,0,2,K,4,Nate Freese,DET,6,29.7
2015,9,6,3471,16,24,0,3,K,6,Matt Prater,DET,39,70.0
2016,5,9,3471,17,38,0,10,K,14,Matt Prater,DET,33,86.7
2017,10,11,3471,16,35,2,4,K,8,Matt Prater,DET,41,87.7
2018,12,5,3471,16,32,0,8,K,7,Matt Prater,DET,30,67.9
2019,3,8,3471,16,31,0,11,K,9,Matt Prater,DET,36,74.7
2020,7,10,3471,16,28,0,4,K,7,Matt Prater,DET,41,64.2
2021,1,2,11331,5,5,0,0,K,2,Aldrick Rosas,DET,14,51.7
2021,4,2,13701,6,12,0,0,K,6,Austin Seibert,DET,5,64.1
2021,1,0,26245,4,5,0,3,P,1,Ryan Santoso,DET,8,37.6
2021,6,1,57556,7,14,0,3,K,4,Riley Patterson,DET,16,70.9
2022,1,1,13701,3,5,0,0,K,3,Austin Seibert,DET,12,58.2
2022,0,0,33789,1,1,0,0,K,1,Dominik Eberle,DET,4,36.2
2022,7,3,39417,13,28,0,7,K,11,Michael Badgley,DET,33,64.7
2023,3,1,39417,7,7,0,2,K,1,Michael Badgley,DET,26,69.5
2024,5,3,121959,9,14,0,3,K,3,Jake Bates,DET,33,80.9
2013,8,7,3809,17,39,1,15,K,8,Mason Crosby,GB,44,76.2
2014,13,7,3809,18,40,2,7,K,11,Mason Crosby,GB,58,66.9
2015,5,5,3809,17,32,1,9,K,12,Mason Crosby,GB,41,75.5
2016,16,4,3809,19,34,1,6,K,7,Mason Crosby,GB,57,70.1
2017,4,3,3809,14,19,0,8,K,4,Mason Crosby,GB,35,55.2
2018,11,7,3809,15,37,0,4,K,15,Mason Crosby,GB,36,53.7
2019,11,2,3809,17,24,1,2,K,8,Mason Crosby,GB,47,73.0
2020,6,4,3809,18,20,1,4,K,5,Mason Crosby,GB,67,75.4
2021,15,4,3809,18,36,0,9,K,8,Mason Crosby,GB,52,49.2
2022,8,4,3809,17,29,0,10,K,7,Mason Crosby,GB,39,72.4
2023,14,5,57509,19,36,0,8,K,9,Anders Carlson,GB,47,42.4
2024,4,0,8437,3,7,0,1,K,2,Brandon McManus,GB,6,66.7
2024,4,0,77073,6,17,0,4,K,9,Brayden Narveson,GB,16,43.8
2013,5,5,7154,16,35,1,7,K,17,Randy Bullock,HST,26,45.9
2014,16,5,7154,16,35,0,7,K,7,Randy Bullock,HST,40,66.1
2015,6,5,2726,13,21,0,6,K,4,Nick Novak,HST,31,60.3
2016,13,7,2726,17,46,1,13,K,12,Nick Novak,HST,29,61.4
2017,10,4,11161,15,25,0,4,K,7,Ka'imi Fairbairn,HST,35,46.7
2018,11,6,11161,17,42,1,9,K,15,Ka'imi Fairbairn,HST,42,68.4
2019,9,7,11161,18,29,0,6,K,7,Ka'imi Fairbairn,HST,49,42.2
2020,9,6,11161,16,31,0,8,K,8,Ka'imi Fairbairn,HST,40,62.3
2021,5,6,11161,11,19,0,4,K,4,Ka'imi Fairbairn,HST,16,42.8
2021,0,2,33789,1,3,0,1,K,0,Dominik Eberle,HST,5,60.1
2022,8,6,11161,17,31,0,7,K,10,Ka'imi Fairbairn,HST,24,84.3
2023,10,7,11161,14,31,0,11,K,3,Ka'imi Fairbairn,HST,29,77.1
2023,0,0,12329,1,1,0,1,HB,0,Dare Ogunbowale,HST,0,60.3
2023,3,2,34039,5,9,0,2,K,2,Matt Ammendola,HST,11,48.7
2024,7,14,11161,10,29,0,4,K,4,Ka'imi Fairbairn,HST,20,90.0
2013,13,6,226,17,43,0,7,K,17,Adam Vinatieri,IND,42,69.5
2014,12,5,226,19,38,0,12,K,9,Adam Vinatieri,IND,56,71.4
2015,6,5,226,16,27,0,8,K,8,Adam Vinatieri,IND,35,74.9
2016,7,9,226,16,31,0,3,K,12,Adam Vinatieri,IND,44,80.4
2017,10,6,226,15,34,0,11,K,7,Adam Vinatieri,IND,24,69.5
2018,7,6,226,17,28,0,9,K,6,Adam Vinatieri,IND,52,58.5
2019,6,5,226,12,25,0,7,K,7,Adam Vinatieri,IND,28,28.8
2019,4,3,33285,11,23,1,5,K,10,Chase McLaughlin,IND,26,68.2
2020,15,3,34038,17,39,0,10,K,11,Rodrigo Blankenship,IND,46,57.9
2021,4,1,34038,5,14,0,3,K,6,Rodrigo Blankenship,IND,8,50.3
2021,7,1,39417,13,22,0,4,K,10,Michael Badgley,IND,41,60.7
2022,6,12,33285,15,36,0,7,K,11,Chase McLaughlin,IND,21,81.1
2023,10,13,57643,17,41,0,9,K,9,Matt Gay,IND,36,68.8
2024,7,5,57643,9,19,0,5,K,2,Matt Gay,IND,19,69.0
2013,12,5,1858,15,25,0,3,K,5,Josh Scobee,JAX,23,74.1
2014,8,6,1858,16,26,0,3,K,9,Josh Scobee,JAX,23,59.0
2015,8,4,10207,16,30,0,10,K,8,Jason Myers,JAX,39,38.0
2016,4,12,10207,16,34,0,7,K,11,Jason Myers,JAX,32,68.8
2017,11,3,10133,13,24,0,2,K,8,Josh Lambo,JAX,33,83.9
2017,3,3,10207,6,15,0,4,K,5,Jason Myers,JAX,17,33.7
2018,1,1,6860,3,5,0,2,K,1,Kai Forbath,JAX,3,54.7
2018,8,5,10133,13,21,0,4,K,4,Josh Lambo,JAX,20,78.7
2019,9,4,10133,16,34,0,12,K,9,Josh Lambo,JAX,20,81.3
2020,0,0,4655,1,2,0,1,K,1,Stephen Hauschka,JAX,2,28.9
2020,2,2,10133,4,5,0,0,K,1,Josh Lambo,JAX,10,63.5
2020,2,0,11297,1,2,0,0,K,0,Jonathan Brown,JAX,1,45.2
2020,2,5,11331,6,11,0,3,K,1,Aldrick Rosas,JAX,9,63.8
2020,0,0,13421,1,0,0,0,K,0,Brandon Wright,JAX,2,44.5
2021,0,2,10133,3,3,0,0,K,1,Josh Lambo,JAX,7,26.7
2021,7,6,39675,13,24,0,7,K,4,Matthew Wright,JAX,15,59.8
2022,12,3,57556,19,38,0,8,K,15,Riley Patterson,JAX,41,77.7
2023,10,10,8437,17,37,0,4,K,13,Brandon McManus,JAX,35,73.3
2024,3,2,146646,10,14,0,4,K,5,Cam Little,JAX,19,78.0
2013,0,0,2316,1,0,0,0,P,0,Dustin Colquitt,KC,0,60.6
2013,10,4,5180,17,31,1,6,K,10,Ryan Succop,KC,55,58.4
2014,7,2,8932,16,30,1,10,K,10,Cairo Santos,KC,38,60.0
2015,13,8,8932,18,42,0,8,K,13,Cairo Santos,KC,46,73.9
2016,17,2,8932,17,36,0,9,K,8,Cairo Santos,KC,40,66.7
2017,17,5,11988,14,43,0,8,K,13,Harrison Butker,KC,31,80.9
2018,9,4,11988,18,29,0,9,K,7,Harrison Butker,KC,77,71.4
2019,11,6,11988,19,40,0,10,K,13,Harrison Butker,KC,64,71.2
2020,12,6,11988,19,35,2,8,K,7,Harrison Butker,KC,61,74.6
2021,12,10,11988,19,33,0,4,K,7,Harrison Butker,KC,62,80.4
2022,5,9,11988,16,31,0,9,K,8,Harrison Butker,KC,51,61.8
2022,7,2,39675,6,18,0,1,K,8,Matthew Wright,KC,15,63.6
2022,0,0,49048,1,0,0,0,S,0,Justin Reid,KC,2,44.5
2023,16,7,11988,21,46,0,15,K,8,Harrison Butker,KC,46,91.4
2024,6,4,11988,9,20,1,6,K,3,Harrison Butker,KC,22,72.3
2016,9,4,7163,15,22,0,5,K,4,Greg Zuerlein,LA,23,65.4
2017,12,7,7163,14,40,1,8,K,12,Greg Zuerlein,LA,46,85.6
2017,3,0,11437,3,5,0,2,K,0,Sam Ficken,LA,6,44.1
2018,11,9,7163,14,41,0,12,K,9,Greg Zuerlein,LA,41,79.9
2018,0,0,7252,1,1,0,1,P,0,Johnny Hekker,LA,1,61.5
2018,1,0,11437,2,3,0,1,K,1,Sam Ficken,LA,10,43.5
2019,8,7,7163,16,33,0,7,K,11,Greg Zuerlein,LA,42,64.6
2020,0,0,6860,2,3,0,2,K,1,Kai Forbath,LA,5,41.5
2020,9,1,57643,9,20,0,2,K,8,Matt Gay,LA,20,70.9
2021,18,6,57643,21,44,0,7,K,13,Matt Gay,LA,60,82.6
2022,8,9,57643,17,30,0,9,K,4,Matt Gay,LA,32,90.0
2023,4,7,8585,9,26,0,6,K,9,Brett Maher,LA,17,48.6
2023,3,3,57498,9,20,0,8,K,6,Lucas Havrisik,LA,22,39.6
2024,7,4,131765,9,19,0,5,K,3,Joshua Karty,LA,17,61.2
2017,5,2,2726,7,13,0,4,K,2,Nick Novak,LAC,18,47.7
2017,3,0,9268,3,8,0,4,K,1,Travis Coons,LAC,6,47.9
2017,0,0,10813,1,0,0,0,P,0,Drew Kaser,LAC,3,29.4
2017,4,2,11091,10,14,0,6,K,2,Nick Rose,LAC,26,47.3
2017,0,0,12042,4,6,0,2,K,4,Younghoe Koo,LAC,9,46.1
2018,2,1,7948,6,13,0,4,K,6,Caleb Sturgis,LAC,15,26.2
2018,6,3,39417,12,22,0,5,K,8,Michael Badgley,LAC,30,66.8
2019,3,1,9728,4,9,0,0,K,5,Ty Long,LAC,9,59.9
2019,2,1,39417,8,16,0,5,K,8,Michael Badgley,LAC,19,62.8
2020,6,6,39417,16,33,0,8,K,13,Michael Badgley,LAC,39,41.3
2021,6,5,7958,17,34,1,8,K,14,Dustin Hopkins,LAC,44,57.0
2021,2,0,13076,6,7,0,3,K,2,Tristan Vizcaino,LAC,15,28.7
2022,6,0,7958,5,10,0,2,K,2,Dustin Hopkins,LAC,12,70.2
2022,0,0,11182,2,3,0,3,K,0,Taylor Bertolet,LAC,6,66.6
2022,7,2,77069,12,26,0,9,K,8,Cameron Dicker,LAC,27,78.9
2023,8,9,77069,17,33,0,7,K,9,Cameron Dicker,LAC,35,90.9
2024,2,5,77069,9,21,0,7,K,7,Cameron Dicker,LAC,18,62.6
2020,8,4,28121,16,35,0,18,K,5,Daniel Carlson,LV,47,72.6
2021,13,7,28121,18,47,0,13,K,14,Daniel Carlson,LV,34,83.9
2022,11,13,28121,16,37,0,9,K,4,Daniel Carlson,LV,36,90.8
2023,7,3,28121,16,30,0,10,K,10,Daniel Carlson,LV,32,73.0
2024,6,5,28121,9,18,0,3,K,4,Daniel Carlson,LV,14,76.6
2013,0,0,3841,1,0,0,0,P,0,Brandon Fields,MIA,0,60.1
2013,12,7,7948,15,34,1,4,K,10,Caleb Sturgis,MIA,32,56.6
2014,8,6,7948,16,37,1,12,K,10,Caleb Sturgis,MIA,41,54.9
2015,4,2,9814,16,16,1,3,K,6,Andrew Franks,MIA,36,50.9
2016,7,2,9814,17,23,0,10,K,4,Andrew Franks,MIA,42,68.1
2017,8,2,9030,15,23,0,6,K,7,Cody Parkey,MIA,29,69.7
2018,3,1,29578,16,20,0,7,K,9,Jason Sanders,MIA,36,73.0
2019,9,5,29578,15,30,0,7,K,9,Jason Sanders,MIA,30,58.3
2020,7,9,29578,16,39,1,8,K,14,Jason Sanders,MIA,36,90.1
2021,9,6,29578,16,31,0,6,K,10,Jason Sanders,MIA,35,67.5
2022,8,6,29578,18,35,0,6,K,15,Jason Sanders,MIA,46,63.1
2023,7,7,29578,18,28,0,6,K,8,Jason Sanders,MIA,60,81.0
2024,6,8,29578,9,21,0,3,K,4,Jason Sanders,MIA,12,69.6
2013,12,5,7167,16,30,0,7,K,6,Blair Walsh,MIN,44,63.4
2014,10,9,7167,16,35,2,5,K,9,Blair Walsh,MIN,29,60.9
2015,15,8,7167,17,43,0,11,K,9,Blair Walsh,MIN,37,59.6
2016,5,1,6860,7,15,0,5,K,4,Kai Forbath,MIN,14,63.1
2016,6,2,7167,9,16,1,1,K,6,Blair Walsh,MIN,19,30.0
2017,14,10,6860,18,42,0,9,K,9,Kai Forbath,MIN,42,59.8
2018,11,2,6796,13,28,0,6,K,9,Dan Bailey,MIN,31,50.7
2019,10,3,6796,17,32,0,11,K,8,Dan Bailey,MIN,47,65.6
2020,4,5,6796,16,22,0,6,K,7,Dan Bailey,MIN,43,29.3
2021,12,9,22842,17,38,0,8,K,9,Greg Joseph,MIN,40,58.1
2022,6,10,22842,18,34,0,10,K,8,Greg Joseph,MIN,49,61.6
2023,9,7,22842,17,30,1,7,K,6,Greg Joseph,MIN,38,64.2
2024,2,0,33384,1,4,0,1,K,1,Parker Romo,MIN,0,66.7
2024,5,5,98965,8,16,0,3,K,3,Will Reichard,MIN,23,79.8
2013,13,6,3063,18,42,1,8,K,14,Stephen Gostkowski,NE,50,80.4
2014,11,1,3063,19,38,1,12,K,13,Stephen Gostkowski,NE,66,75.1
2015,13,5,3063,18,40,0,6,K,16,Stephen Gostkowski,NE,56,90.0
2016,11,4,3063,19,39,1,10,K,13,Stephen Gostkowski,NE,58,54.8
2017,10,5,3063,19,45,0,18,K,12,Stephen Gostkowski,NE,59,74.2
2018,11,5,3063,19,38,0,12,K,10,Stephen Gostkowski,NE,60,68.6
2019,3,0,2264,4,8,0,4,,1,Mike Nugent,NE,16,47.5
2019,3,0,3063,4,8,0,3,K,2,Stephen Gostkowski,NE,15,33.1
2019,4,1,3794,8,19,1,6,,7,Nick Folk,NE,13,65.7
2020,7,3,3794,16,28,0,6,K,12,Nick Folk,NE,33,69.4
2021,11,8,3794,18,40,0,9,K,12,Nick Folk,NE,49,68.4
2022,8,5,3794,17,37,1,9,K,14,Nick Folk,NE,35,59.0
2022,1,0,13076,1,2,0,0,K,1,Tristan Vizcaino,NE,3,67.9
2023,7,4,77083,16,25,0,4,K,10,Chad Ryland,NE,25,38.2
2024,8,4,39235,10,19,0,4,K,3,Joey Slye,NE,14,82.6
2013,3,0,730,4,8,0,1,K,4,Shayne Graham,NO,10,57.3
2013,8,1,4900,14,30,2,6,K,13,Garrett Hartley,NO,41,44.0
2014,9,2,730,16,22,0,6,K,5,Shayne Graham,NO,47,60.5
2015,4,3,6860,11,15,0,3,K,5,Kai Forbath,NO,35,78.4
2016,11,7,11096,16,34,1,7,K,8,Wil Lutz,NO,50,75.8
2017,5,7,11096,18,39,0,10,K,17,Wil Lutz,NO,57,76.8
2018,12,4,11096,18,36,1,6,K,13,Wil Lutz,NO,57,87.2
2019,6,5,11096,17,39,1,10,K,17,Wil Lutz,NO,51,76.4
2020,10,4,11096,18,31,0,7,K,10,Wil Lutz,NO,63,69.1
2021,9,1,8585,7,18,0,4,K,4,Brett Maher,NO,12,48.0
2021,0,0,9030,1,0,0,0,K,0,Cody Parkey,NO,5,32.9
2022,11,6,11096,17,31,0,6,K,8,Wil Lutz,NO,33,70.4
2023,6,9,57502,17,37,0,12,K,10,Blake Grupe,NO,40,60.8
2024,6,3,57502,10,19,0,4,K,6,Blake Grupe,NO,23,75.1
2013,8,2,1520,15,26,0,8,K,8,Josh Brown,NYG,31,64.3
2014,9,4,1520,15,26,1,7,K,5,Josh Brown,NYG,44,73.6
2015,12,3,1520,16,32,1,6,K,10,Josh Brown,NYG,45,76.6
2016,3,1,1520,5,12,1,3,K,4,Josh Brown,NYG,9,63.8
2016,3,0,2607,11,12,0,4,K,5,Robbie Gould,NYG,24,65.1
2017,5,3,11331,16,25,0,8,K,9,Aldrick Rosas,NYG,23,49.4
2018,13,5,11331,15,33,0,9,K,6,Aldrick Rosas,NYG,32,88.7
2019,6,1,11331,16,17,0,6,K,4,Aldrick Rosas,NYG,39,38.6
2020,13,6,5443,16,32,0,4,K,9,Graham Gano,NYG,23,75.4
