Player,JerseyNumber,Position,GamesPlayed,FieldGoalGrade,ExtraPointAttempts,ExtraPointMakes,ExtraPointPercentage,FieldGoalAttempts,FieldGoalMakes,FieldGoalPercentage,FieldGoalAttempts0To19Yards,FieldGoalMakes0To19Yards,FieldGoalPercentage0To19Yards,FieldGoalAttempts20To29Yards,FieldGoalMakes20To29Yards,FieldGoalPercentage20To29Yards,FieldGoalAttempts30To39Yards,FieldGoalMakes30To39Yards,FieldGoalPercentage30To39Yards,FieldGoalAttempts40To49Yards,FieldGoalMakes40To49Yards,FieldGoalPercentage40To49Yards,FieldGoalAttempts50PlusYards,FieldGoalMakes50PlusYards,FieldGoalPercentage50PlusYards
Greg Zuerlein,#09,K,14.0,90.3,15.0,16.0,93.8,35.0,38.0,92.1,0.0,0.0,,8.0,8.0,100.0,9.0,10.0,90.0,13.0,14.0,92.9,5.0,6.0,83.3
Austin Seibert,#15,K,1.0,62.4,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
