Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Irvin Charles,#19,WR,12.0,234.0,56.0,52.0,61.0,65.0,0.0,0.0,90.3,-,-,-,1 (1),8.0,0.0,6.0
Ashtyn Davis,#21,S,17.0,394.0,74.0,67.0,81.0,99.0,73.0,0.0,85.2,-,-,-,0 (0),10.0,2.0,1.0
Chazz Surratt,#55,LB,14.0,284.0,68.0,63.0,72.0,81.0,0.0,0.0,81.1,-,-,-,2 (1),6.0,1.0,0.0
Thomas Hennessy,#42,LS,17.0,155.0,0.0,0.0,0.0,99.0,0.0,56.0,77.2,-,-,-,0 (0),2.0,3.0,1.0
Will McDonald IV,#99,ED,14.0,128.0,50.0,12.0,62.0,0.0,4.0,0.0,77.0,-,-,-,0 (0),0.0,0.0,0.0
Kenny Yeboah,#88,TE,5.0,113.0,23.0,18.0,23.0,28.0,0.0,21.0,76.8,-,-,-,0 (0),1.0,1.0,0.0
Jermaine Johnson,#11,ED,17.0,78.0,0.0,0.0,11.0,0.0,67.0,0.0,76.5,-,-,-,0 (0),0.0,0.0,0.0
Jamien Sherwood,#44,LB,17.0,417.0,86.0,73.0,86.0,99.0,73.0,0.0,74.7,-,-,-,1 (0),8.0,1.0,0.0
Tyler Conklin,#83,TE,7.0,13.0,5.0,0.0,0.0,0.0,0.0,8.0,73.2,-,-,-,0 (0),0.0,0.0,0.0
Xazavian Valladay,#35,HB,1.0,12.0,2.0,5.0,5.0,0.0,0.0,0.0,70.0,-,-,-,0 (0),0.0,0.0,0.0
Adrian Amos,#00,S,11.0,193.0,34.0,45.0,34.0,34.0,46.0,0.0,68.2,-,-,-,0 (0),0.0,1.0,0.0
Malik Taylor,#86,WR,3.0,33.0,4.0,11.0,15.0,3.0,0.0,0.0,65.7,-,-,-,0 (0),0.0,0.0,0.0
Bryce Huff,#47,ED,13.0,63.0,18.0,25.0,20.0,0.0,0.0,0.0,64.6,-,-,-,0 (0),0.0,0.0,0.0
Craig James,#31,CB,2.0,27.0,3.0,12.0,8.0,1.0,3.0,0.0,64.2,-,-,-,0 (0),0.0,0.0,0.0
C.J. Uzomah,#87,TE,11.0,147.0,59.0,0.0,0.0,55.0,0.0,33.0,64.2,-,-,-,0 (0),1.0,2.0,1.0
Michael Carter II,#30,CB,5.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,64.0,-,-,-,0 (0),0.0,0.0,0.0
Justin Hardee,#34,CB,11.0,261.0,54.0,47.0,56.0,60.0,44.0,0.0,63.9,-,-,-,2 (0),2.0,2.0,2.0
Thomas Morstead,#05,P,17.0,161.0,0.0,6.0,0.0,99.0,0.0,56.0,63.4,60.0,72.9,-,1 (1),0.0,0.0,1.0
Quincy Williams,#56,LB,6.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,63.2,-,-,-,0 (0),0.0,0.0,0.0
Laken Tomlinson,#78,G,15.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
Wes Schweitzer,#71,G,5.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,62.6,-,-,-,0 (0),0.0,0.0,0.0
Jake Hanson,#62,G,5.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,62.5,-,-,-,0 (0),0.0,0.0,0.0
Mekhi Becton,#77,T,10.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,62.2,-,-,-,0 (0),0.0,0.0,0.0
Xavier Newman,#65,G,7.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,62.2,-,-,-,0 (0),0.0,0.0,0.0
Tony Adams,#22,S,9.0,38.0,0.0,8.0,6.0,0.0,24.0,0.0,62.2,-,-,-,0 (0),0.0,0.0,0.0
Joe Tippmann,#66,C,8.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,62.1,-,-,-,0 (0),0.0,0.0,0.0
Jarrick Bernard-Converse,#29,S,8.0,101.0,18.0,30.0,42.0,9.0,2.0,0.0,62.0,-,-,-,0 (0),0.0,1.0,0.0
Solomon Thomas,#94,DI,17.0,76.0,0.0,0.0,3.0,0.0,73.0,0.0,61.8,-,-,-,0 (0),0.0,0.0,0.0
