Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Irvin Charles,#19,WR,8.0,28.0,28.0,100.0,88.1,0 (0),11.0,39.3,84.3,14.0,50.0,50.3
Alijah Vera-Tucker,#75,T,5.0,86.0,86.0,100.0,82.7,0 (0),40.0,46.5,91.5,37.0,43.0,55.6
C.J. Uzomah,#87,TE,12.0,106.0,106.0,100.0,74.5,2 (0),42.0,39.6,75.1,58.0,54.7,69.7
Joe Tippmann,#66,C,14.0,274.0,274.0,100.0,67.4,1 (0),147.0,53.6,78.4,97.0,35.4,69.9
Connor McGovern,#60,C,7.0,131.0,131.0,100.0,62.5,1 (0),62.0,47.3,60.7,57.0,43.5,62.6
Kenny Yeboah,#88,TE,5.0,79.0,79.0,100.0,60.8,0 (0),45.0,57.0,67.7,27.0,34.2,49.5
Trevor Siemian,#14,QB,5.0,108.0,102.0,94.4,60.6,0 (0),59.0,57.8,60.0,38.0,37.3,60.3
Mecole Hardman Jr.,#06,WR,3.0,4.0,4.0,100.0,60.5,0 (0),2.0,50.0,60.0,2.0,50.0,60.0
Malik Taylor,#86,WR,2.0,8.0,8.0,100.0,60.5,0 (0),7.0,87.5,61.6,0.0,0.0,-
Zach Wilson,#02,QB,12.0,224.0,212.0,94.6,60.2,0 (0),109.0,51.4,60.0,92.0,43.4,60.3
Brandin Echols,#26,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Adrian Amos,#00,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Aaron Rodgers,#08,QB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,1.0,100.0,60.0
Michael Carter,#32,HB,6.0,10.0,2.0,20.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Thomas Hennessy,#42,LS,2.0,2.0,2.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Chazz Surratt,#55,LB,2.0,2.0,2.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Jamien Sherwood,#44,LB,2.0,2.0,2.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Israel Abanikanda,#25,HB,6.0,25.0,2.0,8.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Dalvin Cook,#33,HB,15.0,75.0,7.0,9.3,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Tim Boyle,#07,QB,3.0,33.0,29.0,87.9,60.0,0 (0),17.0,58.6,60.0,8.0,27.6,60.0
Zack Kuntz,#81,TE,1.0,2.0,2.0,100.0,59.9,0 (0),0.0,0.0,-,2.0,100.0,59.9
Sam Eguavoen,#52,LB,2.0,2.0,2.0,100.0,59.8,0 (0),0.0,0.0,-,0.0,0.0,-
Thomas Morstead,#05,P,2.0,2.0,2.0,100.0,59.5,0 (0),0.0,0.0,-,0.0,0.0,-
Justin Hardee,#34,CB,2.0,2.0,2.0,100.0,59.5,0 (0),0.0,0.0,-,0.0,0.0,-
Allen Lazard,#10,WR,14.0,202.0,202.0,100.0,57.6,3 (0),104.0,51.5,53.2,81.0,40.1,55.0
Breece Hall,#20,HB,17.0,255.0,26.0,10.2,57.4,0 (0),1.0,3.8,60.0,3.0,11.5,58.9
