PUNTING_2023_PUNTING_2023_Rank,PUNTING_2023_PUNTING_2023_Player,PUNTING_2023_PUNTING_2023_JerseyNumber,PUNTING_2023_PUNTING_2023_Position,PUNTING_2023_PUNTING_2023_GamesPlayed,PUNTING_2023_PUNTING_2023_PuntingGrade,PUNTING_2023_PUNTING_2023_PuntingTotalPunts,PUNTING_2023_PUNTING_2023_PuntingTotalYards,PUNTING_2023_PUNTING_2023_PuntingYardsPerAttempt,PUNTING_2023_PUNTING_2023_PuntingNetYardsPerAttempt,PUNTING_2023_PUNTING_2023_PuntingLongestPunt,PUNTING_2023_PUNTING_2023_PuntingInsideThe20,PUNTING_2023_PUNTING_2023_PuntingBlocked,PUNTING_2023_PUNTING_2023_PuntingReturnPercentage,PUNTING_2023_PUNTING_2023_PuntingReturned,PUNTING_2023_PUNTING_2023_PuntingYardsAllowed,PUNTING_2023_PUNTING_2023_PuntingYardsPerReturnAllowed,PUNTING_2023_PUNTING_2023_PuntingTouchbacks,PUNTING_2023_PUNTING_2023_PuntingOutOfBounds,PUNTING_2023_PUNTING_2023_PuntingDowned,PUNTING_2023_PUNTING_2023_PuntingFairCatches,PUNTING_2023_PUNTING_2023_PuntingHangtimeAverage,PUNTING_2023_PUNTING_2023_PuntingHangtimeAverage.1
1.0,Thomas Morstead,#05,P,17.0,72.9,99.0,"4,831",48.8,41.8,62.0,40.0,0.0,48.5,48.0,535.0,11.1,8.0,8.0,7.0,28.0,99.0,4.32
,,,,,,,,,,,,,,,,,,,,,,
