player,player_id,position,team_name,player_game_count,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,pass_plays,year
Matt Forte,4358,HB,CHI,13,69.9,72.3,70.7,52.2,68.2,345,2015
Eddie Royal,4356,WR,CHI,9,63.4,78.2,59.4,,58.0,284,2015
Marquess Wilson,8019,WR,CHI,11,46.7,76.1,63.5,,62.6,392,2015
Zach Miller,5104,TE,CHI,15,90.0,77.7,86.3,79.4,90.0,268,2015
Jeremy Langford,9539,HB,CHI,15,27.3,90.3,61.1,41.8,46.1,217,2015
Josh Bellamy,7472,WR,CHI,15,57.1,74.1,60.7,,60.2,226,2015
Marc Mariani,5745,WR,CHI,15,85.3,63.6,67.5,65.9,65.4,338,2015
Cameron Meredith,10008,WR,CHI,9,60.6,71.5,62.4,,62.1,90,2015
Rob Housler,6221,TE,CHI,9,72.1,67.0,64.5,47.6,61.8,55,2015
Ka'Deem Carey,8752,HB,CHI,7,70.5,44.7,61.0,12.0,60.4,30,2015
Deonte Thompson,7513,WR,CHI,5,68.3,77.9,69.8,,74.7,25,2015
Khari Lee,10018,TE,CHI,10,28.8,61.2,54.1,64.1,44.4,44,2015
Jacquizz Rodgers,6297,HB,CHI,5,64.7,81.8,70.4,82.5,55.3,24,2015
Cameron Meredith,10008,WR,CHI,14,50.5,22.6,73.7,,73.0,456,2016
Alshon Jeffery,7048,WR,CHI,12,66.3,79.6,74.5,,73.8,462,2016
Zach Miller,5104,TE,CHI,10,85.9,79.1,73.0,69.5,72.7,340,2016
Jordan Howard,10784,HB,CHI,15,28.8,74.1,73.8,81.9,41.0,381,2016
Eddie Royal,4356,WR,CHI,9,79.9,51.7,65.1,,64.2,240,2016
Josh Bellamy,7472,WR,CHI,12,28.0,76.3,70.8,,67.9,184,2016
Deonte Thompson,7513,WR,CHI,13,73.5,50.4,70.5,,69.5,194,2016
Kevin White,9440,WR,CHI,4,70.7,74.8,66.0,,66.0,138,2016
Jeremy Langford,9539,HB,CHI,12,58.3,30.0,54.4,77.1,59.3,181,2016
Daniel Brown,10144,TE,CHI,6,67.0,73.3,59.6,29.5,61.0,182,2016
Marquess Wilson,8019,WR,CHI,3,38.7,70.6,74.6,,72.4,68,2016
Ka'Deem Carey,8752,HB,CHI,11,29.2,80.9,59.4,86.9,44.6,62,2016
Logan Paulsen,5795,TE,CHI,16,28.7,67.0,48.6,64.9,30.6,162,2016
Ben Braunecker,11335,TE,CHI,9,72.1,67.0,59.5,60.2,56.7,61,2016
Daniel Braverman,10864,WR,CHI,3,64.7,61.2,74.5,,73.1,11,2016
MyCole Pruitt,9576,TE,CHI,4,68.3,64.0,52.9,74.9,56.4,10,2016
Paul Lasike,9802,FB,CHI,8,64.7,69.8,58.7,51.5,54.1,22,2016
Matt Barkley,7880,QB,CHI,7,64.7,49.8,73.0,,80.3,242,2016
Bralon Addison,11013,WR,CHI,2,64.7,82.6,76.9,,79.9,2,2016
Kendall Wright,7026,WR,CHI,16,76.6,80.4,73.2,,72.4,435,2017
Tarik Cohen,11874,HB,CHI,16,81.8,50.8,77.5,66.2,84.9,220,2017
Josh Bellamy,7472,WR,CHI,13,41.6,75.6,63.8,,61.3,283,2017
Dontrelle Inman,6597,WR,CHI,11,33.4,75.5,66.0,,63.0,286,2017
Zach Miller,5104,TE,CHI,8,71.3,74.6,66.6,70.9,63.5,197,2017
Jordan Howard,10784,HB,CHI,16,29.7,86.3,63.9,75.6,39.7,266,2017
Dion Sims,7888,TE,CHI,14,38.1,73.0,56.8,77.5,55.2,242,2017
Benny Cunningham,8283,HB,CHI,14,70.7,29.7,62.8,52.6,75.4,166,2017
Daniel Brown,10144,TE,CHI,10,47.7,72.3,54.7,74.5,55.1,189,2017
Markus Wheaton,7860,WR,CHI,11,36.2,65.8,49.8,,51.1,125,2017
Tre McBride,9678,WR,CHI,8,77.3,70.6,63.5,,63.4,130,2017
Adam Shaheen,11800,TE,CHI,13,79.4,71.9,72.2,57.6,84.0,83,2017
Tanner Gentry,12170,WR,CHI,4,36.8,65.8,53.0,,50.0,86,2017
Kevin White,9440,WR,CHI,1,68.3,64.0,55.9,,53.2,27,2017
Michael Burton,9601,FB,CHI,16,68.3,70.0,53.0,89.3,54.6,64,2017
Allen Robinson II,8696,WR,CHI,14,84.7,38.9,77.7,67.6,78.7,526,2018
Taylor Gabriel,9002,WR,CHI,17,82.3,54.1,68.8,65.3,69.5,556,2018
Tarik Cohen,11874,HB,CHI,17,88.1,30.3,71.4,60.8,82.3,375,2018
Trey Burton,9185,TE,CHI,16,75.3,41.9,69.4,65.7,64.4,558,2018
Anthony Miller,48160,WR,CHI,15,55.9,81.2,60.6,,61.7,419,2018
Jordan Howard,10784,HB,CHI,17,83.6,74.1,69.3,86.3,63.8,327,2018
Josh Bellamy,7472,WR,CHI,16,67.0,74.6,59.3,69.4,60.1,185,2018
Taquan Mizzell Sr.,45675,HB,CHI,9,54.5,78.5,60.0,33.1,71.6,50,2018
Adam Shaheen,11800,TE,CHI,7,77.3,70.6,54.2,48.1,55.0,108,2018
Kevin White,9440,WR,CHI,9,73.4,68.0,63.4,,63.9,78,2018
Ben Braunecker,11335,TE,CHI,14,74.6,68.8,61.1,70.8,60.6,67,2018
Javon Wims,41406,WR,CHI,3,72.1,67.0,74.2,,73.3,12,2018
Dion Sims,7888,TE,CHI,8,29.9,64.0,38.6,68.1,36.3,94,2018
Bradley Sowell,7693,T,CHI,10,64.7,61.2,60.6,54.9,77.6,17,2018
Benny Cunningham,8283,HB,CHI,7,64.7,78.8,44.9,52.0,65.8,17,2018
Chase Daniel,5214,QB,CHI,4,64.7,25.1,57.6,,89.1,98,2018
Michael Burton,9601,FB,CHI,5,64.7,61.2,75.9,82.3,56.8,13,2018
Allen Robinson II,8696,WR,CHI,16,90.0,83.5,80.8,65.1,81.1,671,2019
Tarik Cohen,11874,HB,CHI,16,68.4,90.8,60.6,70.6,61.4,410,2019
Anthony Miller,48160,WR,CHI,16,66.1,40.7,66.0,,67.9,493,2019
Taylor Gabriel,9002,WR,CHI,9,49.9,77.4,62.0,62.4,61.5,314,2019
Javon Wims,41406,WR,CHI,16,43.3,73.9,52.0,70.4,50.5,305,2019
David Montgomery,45719,HB,CHI,16,65.0,72.5,66.6,78.6,65.8,331,2019
Trey Burton,9185,TE,CHI,8,49.6,72.7,49.2,56.5,48.3,202,2019
Cordarrelle Patterson,7810,WR,CHI,14,78.7,84.8,54.7,80.5,53.7,139,2019
Adam Shaheen,11800,TE,CHI,8,78.0,72.0,61.2,70.6,62.0,87,2019
Ben Braunecker,11335,TE,CHI,8,49.2,68.8,55.7,45.2,55.9,95,2019
Jesper Horsted,91465,TE,CHI,6,77.3,70.6,54.1,67.4,58.0,94,2019
J.P. Holtz,11062,TE,CHI,14,52.1,71.7,66.9,78.3,52.8,136,2019
Riley Ridley,47933,WR,CHI,5,74.6,68.8,63.8,,63.4,74,2019
Eric Saubert,11929,TE,CHI,2,29.9,64.0,52.3,70.2,50.2,29,2019
Allen Robinson II,8696,WR,CHI,17,91.3,84.1,88.3,65.6,88.5,656,2020
Darnell Mooney,48236,WR,CHI,16,83.9,47.0,68.7,,67.3,541,2020
Anthony Miller,48160,WR,CHI,17,71.9,46.5,58.2,,58.8,460,2020
Jimmy Graham,5619,TE,CHI,17,87.2,38.1,64.5,54.3,67.4,457,2020
David Montgomery,45719,HB,CHI,16,80.8,76.0,80.2,60.9,65.8,503,2020
Cole Kmet,60995,TE,CHI,17,78.0,27.8,57.7,63.0,57.1,358,2020
Cordarrelle Patterson,7810,HB,CHI,16,71.3,89.9,69.6,,69.0,127,2020
Javon Wims,41406,WR,CHI,14,32.2,70.3,53.5,,51.8,183,2020
Demetrius Harris,8524,TE,CHI,13,31.8,72.6,58.5,65.3,48.0,110,2020
Ryan Nall,45753,HB,CHI,14,76.5,74.8,59.9,64.9,75.4,58,2020
Tarik Cohen,11874,HB,CHI,3,49.2,78.1,62.6,83.4,55.6,59,2020
Riley Ridley,47933,WR,CHI,4,74.6,68.8,75.0,,72.3,39,2020
DeAndre Carter,9859,WR,CHI,5,41.6,48.4,52.6,,54.6,23,2020
Ted Ginn Jr.,3625,WR,CHI,6,70.5,74.5,56.6,,58.5,43,2020
Bobby Massie,7112,T,CHI,8,64.7,61.2,72.6,70.8,89.1,314,2020
Darnell Mooney,48236,WR,CHI,17,79.4,83.0,74.7,65.8,74.9,651,2021
Cole Kmet,60995,TE,CHI,17,64.4,80.7,63.4,44.5,63.4,599,2021
Allen Robinson II,8696,WR,CHI,12,74.3,78.1,66.9,62.2,67.0,386,2021
David Montgomery,45719,HB,CHI,13,68.6,83.7,69.8,76.6,69.2,384,2021
Marquise Goodwin,7859,WR,CHI,14,84.1,25.4,62.5,,64.6,257,2021
Damiere Byrd,9964,WR,CHI,17,54.9,76.4,53.8,,54.5,412,2021
Damien Williams,9205,HB,CHI,12,67.0,82.5,71.4,72.6,63.9,118,2021
Jimmy Graham,5619,TE,CHI,15,66.7,73.3,69.7,48.6,70.9,148,2021
Jakeem Grant Sr.,10820,WR,CHI,13,47.7,30.0,63.7,,61.4,96,2021
Khalil Herbert,41668,HB,CHI,16,51.2,73.0,78.8,61.5,54.6,186,2021
Jesse James,9593,TE,CHI,13,75.6,69.5,59.4,76.4,56.3,138,2021
Dazz Newsome,61510,WR,CHI,3,68.3,75.8,48.1,,51.6,66,2021
Jesper Horsted,91465,TE,CHI,4,68.3,64.0,87.7,,82.9,6,2021
Isaiah Coulter,55307,WR,CHI,1,,,52.3,,53.0,13,2021
Ryan Nall,45753,HB,CHI,4,64.7,64.6,71.0,76.9,55.8,12,2021
Rodney Adams,11925,WR,CHI,1,27.9,,39.1,,41.4,5,2021
Chase Claypool,42312,WR,CHI,15,77.0,41.9,61.8,69.6,62.7,454,2022
Cole Kmet,60995,TE,CHI,17,79.6,39.0,67.6,68.8,66.1,511,2022
Darnell Mooney,48236,WR,CHI,12,82.2,78.2,69.2,68.2,68.9,337,2022
David Montgomery,45719,HB,CHI,16,80.5,69.0,67.9,57.4,64.0,341,2022
Equanimeous St. Brown,47967,WR,CHI,16,71.3,76.5,64.2,80.5,60.9,306,2022
Dante Pettis,48113,WR,CHI,17,49.5,84.5,53.3,75.3,53.5,327,2022
Byron Pringle,42345,WR,CHI,11,78.0,71.1,62.9,71.6,64.7,161,2022
Velus Jones Jr.,40573,WR,CHI,11,52.1,44.6,64.9,,62.8,74,2022
Khalil Herbert,41668,HB,CHI,13,38.4,90.0,72.5,54.4,46.5,144,2022
N'Keal Harry,48297,WR,CHI,7,75.6,69.5,65.1,,66.5,88,2022
Ryan Griffin,7982,TE,CHI,14,72.1,67.0,52.7,64.5,51.4,64,2022
Trestan Ebner,57159,HB,CHI,10,70.5,81.8,52.5,75.5,53.1,39,2022
Trevon Wesco,42018,TE,CHI,11,36.2,65.8,66.7,78.0,53.2,55,2022
Nsimba Webster,48107,WR,CHI,1,68.3,13.3,46.6,,48.2,7,2022
Darrynton Evans,40692,HB,CHI,4,68.3,75.5,54.2,76.3,60.4,32,2022
Khari Blasingame,44889,FB,CHI,16,,,59.6,79.4,43.6,56,2022
Jake Tonges,60864,TE,CHI,3,,,52.5,,55.7,3,2022
DJ Moore,48267,WR,CHI,17,90.5,57.4,89.3,,89.5,615,2023
Cole Kmet,60995,TE,CHI,17,90.4,50.9,73.7,64.3,77.7,508,2023
Darnell Mooney,48236,WR,CHI,15,41.0,77.1,55.2,39.6,58.9,489,2023
Roschon Johnson,99467,HB,CHI,15,71.6,65.9,65.8,64.8,60.7,270,2023
Tyler Scott,123578,WR,CHI,17,41.9,28.2,52.7,80.6,53.2,271,2023
Khalil Herbert,41668,HB,CHI,12,84.1,72.8,77.9,53.3,67.5,183,2023
Robert Tonyan,12193,TE,CHI,17,61.8,71.9,49.6,59.7,54.9,183,2023
D'Onta Foreman,11844,HB,CHI,9,60.2,67.8,74.0,29.5,58.3,128,2023
Velus Jones Jr.,40573,WR,CHI,12,29.7,80.5,53.1,,49.6,59,2023
Equanimeous St. Brown,47967,WR,CHI,7,74.6,68.8,55.1,72.0,56.3,118,2023
Khari Blasingame,44889,FB,CHI,16,36.2,73.2,55.8,57.0,41.3,78,2023
Marcedes Lewis,2973,TE,CHI,16,72.1,67.0,77.1,68.4,65.3,106,2023
Trent Taylor,11932,WR,CHI,13,64.7,87.3,51.8,62.4,52.3,65,2023
Travis Homer,45859,HB,CHI,2,27.9,,37.9,,26.0,3,2023
Collin Johnson,47808,WR,CHI,3,64.7,61.2,66.9,,64.0,15,2023
DJ Moore,48267,WR,CHI,9,76.5,79.6,65.7,,65.3,380,2024
Rome Odunze,73774,WR,CHI,9,56.1,27.6,62.0,62.3,62.9,352,2024
Keenan Allen,7857,WR,CHI,7,65.8,76.1,60.9,66.4,62.3,256,2024
Cole Kmet,60995,TE,CHI,9,88.0,76.6,68.4,63.2,67.5,304,2024
D'Andre Swift,57212,HB,CHI,9,86.5,58.1,61.9,40.2,61.2,234,2024
DeAndre Carter,9859,WR,CHI,5,77.3,84.8,53.7,73.7,57.1,88,2024
Roschon Johnson,99467,HB,CHI,7,78.7,81.7,68.8,43.4,67.0,118,2024
Gerald Everett,11799,TE,CHI,9,52.1,69.5,45.9,69.0,42.3,126,2024
Velus Jones Jr.,40573,HB,CHI,1,64.7,68.6,71.7,,61.0,1,2024
Marcedes Lewis,2973,TE,CHI,9,28.8,61.2,46.2,79.6,33.7,36,2024
Chad Johnson,806,WR,CIN,16,65.9,83.3,87.5,,89.5,577,2006
T.J. Houshmandzadeh,921,WR,CIN,14,87.5,83.1,88.4,,88.9,500,2006
Chris Henry,2300,WR,CIN,13,64.5,77.7,77.3,60.9,77.0,350,2006
Reggie Kelly,468,TE,CIN,16,59.2,74.6,68.7,74.0,51.7,446,2006
Rudi Johnson,857,HB,CIN,16,72.8,64.6,58.3,91.4,53.4,322,2006
Kenny Watson,1001,HB,CIN,16,74.3,81.0,71.0,89.2,68.2,247,2006
Tony Stewart,887,TE,CIN,16,81.1,73.0,71.6,48.2,71.3,146,2006
Kelley Washington,1380,WR,CIN,5,77.3,70.6,70.9,,65.8,101,2006
Chris Perry,1747,HB,CIN,4,78.0,75.8,82.6,79.0,87.6,26,2006
Jeremi Johnson,1430,FB,CIN,16,32.2,76.8,78.3,46.8,37.1,142,2006
Tab Perry,2407,WR,CIN,2,73.4,70.0,67.4,73.4,75.6,18,2006
Antonio Chatman,946,WR,CIN,3,70.5,65.8,61.5,,61.1,41,2006
Glenn Holt,3355,WR,CIN,8,64.7,61.2,55.5,,50.5,27,2006
T.J. Houshmandzadeh,921,WR,CIN,16,71.0,38.9,82.3,,82.5,603,2007
Chad Johnson,806,WR,CIN,16,53.5,31.0,84.9,,86.0,599,2007
Kenny Watson,1001,HB,CIN,16,88.7,59.0,70.7,65.6,65.7,402,2007
Chris Henry,2300,WR,CIN,8,29.7,74.6,65.6,,65.6,219,2007
Antonio Chatman,946,WR,CIN,12,56.9,74.5,65.5,,67.1,136,2007
Reggie Kelly,468,TE,CIN,15,70.5,74.4,66.3,81.9,43.9,459,2007
Glenn Holt,3355,WR,CIN,9,81.7,74.2,78.3,,75.0,122,2007
Daniel Coats,3908,TE,CIN,15,31.6,71.9,60.7,75.2,55.5,145,2007
Rudi Johnson,857,HB,CIN,11,63.5,46.9,51.2,49.5,51.6,186,2007
Jeremi Johnson,1430,FB,CIN,16,74.6,73.6,86.4,69.8,55.2,141,2007
Tab Perry,2407,WR,CIN,2,64.7,64.6,54.2,,52.0,30,2007
DeDe Dorsey,3299,HB,CIN,7,46.3,78.4,76.8,54.7,61.2,24,2007
Skyler Green,3070,WR,CIN,3,70.5,67.4,60.1,,63.3,30,2007
Marcus Maxwell,2440,WR,CIN,3,64.7,61.2,67.7,,63.0,11,2007
T.J. Houshmandzadeh,921,WR,CIN,15,68.6,83.2,74.5,,72.5,575,2008
Chad Johnson,806,WR,CIN,13,54.3,79.8,65.1,42.4,65.2,530,2008
Chris Henry,2300,WR,CIN,12,33.8,74.1,53.5,,52.8,287,2008
Reggie Kelly,468,TE,CIN,16,68.1,76.6,61.0,63.3,37.2,421,2008
Chris Perry,1747,HB,CIN,13,47.8,27.2,36.3,74.4,51.8,241,2008
Antonio Chatman,946,WR,CIN,10,71.3,25.6,59.8,,59.9,178,2008
Ben Utecht,2199,TE,CIN,10,52.8,23.0,44.1,53.0,43.7,215,2008
Cedric Benson,2221,HB,CIN,11,83.6,85.3,53.9,63.8,69.0,218,2008
Andre Caldwell,4411,WR,CIN,6,78.7,74.1,67.2,,59.3,87,2008
Glenn Holt,3355,WR,CIN,8,25.5,65.8,48.0,,42.6,67,2008
Daniel Coats,3908,FB,CIN,15,26.5,65.8,54.4,54.7,29.1,110,2008
Kenny Watson,1001,HB,CIN,9,36.2,75.4,40.7,29.0,39.0,108,2008
James Johnson,4634,HB,CIN,4,74.6,74.5,60.1,76.9,65.5,40,2008
Nate Lawrie,1899,TE,CIN,6,68.3,64.0,56.2,68.2,46.9,26,2008
Jerome Simpson,4360,WR,CIN,5,64.7,61.2,46.4,,47.6,10,2008
DeDe Dorsey,3299,HB,CIN,3,68.3,70.9,54.4,70.7,73.3,11,2008
Ryan Fitzpatrick,2467,QB,CIN,12,,29.7,53.9,,,462,2008
Chad Johnson,806,WR,CIN,17,67.5,24.3,82.7,,82.9,578,2009
Andre Caldwell,4411,WR,CIN,17,59.5,40.4,67.7,70.9,66.4,427,2009
Laveranues Coles,638,WR,CIN,17,57.4,38.8,68.2,,66.3,436,2009
John Paul Foschi,2046,TE,CIN,16,66.0,27.0,59.1,49.8,51.7,313,2009
Brian Leonard,3668,HB,CIN,15,88.3,46.0,64.4,77.9,68.2,253,2009
Daniel Coats,3908,TE,CIN,17,26.9,16.1,45.7,70.0,28.6,280,2009
Cedric Benson,2221,HB,CIN,14,50.6,89.0,62.0,64.5,47.8,263,2009
Chris Henry,2300,WR,CIN,8,80.0,72.3,68.9,,68.2,144,2009
Larry Johnson,1343,HB,CIN,13,67.7,64.2,47.8,61.9,55.9,189,2009
Jeremi Johnson,1430,FB,CIN,17,28.8,21.5,67.7,59.9,36.6,119,2009
Quan Cosby,5342,WR,CIN,6,52.1,70.3,77.0,,76.1,38,2009
Bernard Scott,5133,HB,CIN,8,73.4,58.4,68.5,78.7,72.1,45,2009
Maurice Purify,4779,WR,CIN,5,,,54.6,,51.3,20,2009
Jerome Simpson,4360,WR,CIN,1,,,55.3,,55.2,9,2009
Terrell Owens,188,WR,CIN,14,48.9,81.6,69.9,66.5,69.4,554,2010
Chad Johnson,806,WR,CIN,14,51.1,81.2,70.2,,70.1,573,2010
Jermaine Gresham,5546,TE,CIN,15,40.3,25.0,64.6,61.9,59.8,473,2010
Jordan Shipley,5608,WR,CIN,15,86.9,79.5,66.9,,66.3,451,2010
Andre Caldwell,4411,WR,CIN,15,52.7,75.8,66.0,,64.3,180,2010
Cedric Benson,2221,HB,CIN,16,76.3,36.9,58.2,65.7,62.4,315,2010
Jerome Simpson,4360,WR,CIN,5,70.5,19.7,82.6,,83.7,70,2010
Brian Leonard,3668,HB,CIN,11,70.7,77.0,58.3,75.8,57.7,207,2010
Bernard Scott,5133,HB,CIN,13,60.6,85.0,69.2,55.9,49.3,111,2010
Reggie Kelly,468,TE,CIN,16,78.0,71.1,63.7,58.0,41.8,239,2010
Chase Coffman,5021,TE,CIN,6,70.5,65.8,70.6,74.3,71.6,36,2010
Garrett Mills,3051,TE,CIN,7,68.3,64.0,49.7,70.5,47.5,50,2010
Cedric Peerman,5109,HB,CIN,3,64.7,66.7,60.1,81.6,59.5,32,2010
Quan Cosby,5342,WR,CIN,7,68.3,64.0,59.7,,59.5,16,2010
Chris Pressley,5347,FB,CIN,6,64.7,64.6,50.7,25.5,57.3,20,2010
Andrew Whitworth,3000,T,CIN,16,64.7,61.2,90.9,81.3,61.7,660,2010
A.J. Green,6156,WR,CIN,16,64.0,81.9,72.0,,74.5,581,2011
Jerome Simpson,4360,WR,CIN,17,34.5,79.7,64.2,68.1,64.2,605,2011
Jermaine Gresham,5546,TE,CIN,15,59.6,44.4,73.9,63.8,75.4,561,2011
Andre Caldwell,4411,WR,CIN,13,48.3,77.7,54.2,68.1,54.0,352,2011
Andrew Hawkins,6125,WR,CIN,14,85.3,76.8,80.2,,76.9,162,2011
Brian Leonard,3668,HB,CIN,14,76.7,80.6,72.3,70.1,78.6,237,2011
Cedric Benson,2221,HB,CIN,16,28.5,50.8,66.1,78.9,30.9,287,2011
Bernard Scott,5133,HB,CIN,17,35.6,89.6,62.1,41.5,37.0,112,2011
Donald Lee,1465,TE,CIN,10,79.4,71.9,70.7,65.0,73.1,131,2011
Colin Cochart,6712,TE,CIN,10,73.4,68.0,60.0,46.7,55.4,86,2011
Ryan Whalen,6319,WR,CIN,4,74.6,68.8,62.1,68.1,60.2,64,2011
Jordan Shipley,5608,WR,CIN,2,72.1,15.2,47.7,,48.1,39,2011
Chris Pressley,5347,FB,CIN,16,72.1,67.0,77.0,78.5,59.4,87,2011
Andy Dalton,6187,QB,CIN,17,,79.2,62.2,,60.0,652,2011
A.J. Green,6156,WR,CIN,17,58.8,34.9,88.9,62.4,87.8,647,2012
Jermaine Gresham,5546,TE,CIN,17,37.7,26.5,65.1,61.4,62.4,651,2012
Andrew Hawkins,6125,WR,CIN,15,73.0,54.4,67.6,,66.3,434,2012
Marvin Jones Jr.,7158,WR,CIN,11,49.5,75.9,62.1,68.1,60.3,266,2012
BenJarvus Green-Ellis,4599,HB,CIN,16,63.4,67.1,63.5,74.7,53.5,355,2012
Mohamed Sanu,7084,WR,CIN,8,82.2,25.5,71.7,,69.1,116,2012
Brandon Tate,5006,WR,CIN,16,80.0,72.9,62.6,71.5,61.2,180,2012
Brian Leonard,3668,HB,CIN,16,43.8,81.2,58.5,69.7,43.8,177,2012
Ryan Whalen,6319,WR,CIN,7,75.6,69.5,72.7,,70.7,54,2012
Cedric Peerman,5109,HB,CIN,9,77.3,81.1,71.4,36.7,75.7,59,2012
Orson Charles,7116,TE,CIN,17,76.5,70.1,62.8,77.7,63.7,126,2012
Chris Pressley,5347,FB,CIN,14,28.9,61.2,52.3,29.7,36.1,55,2012
John Conner,5662,FB,CIN,6,,,51.9,77.4,52.9,18,2012
Dane Sanzenbacher,6570,WR,CIN,3,28.9,61.2,48.8,,48.6,44,2012
A.J. Green,6156,WR,CIN,17,58.9,58.4,81.4,,80.7,703,2013
Marvin Jones Jr.,7158,WR,CIN,17,76.0,81.4,87.2,,87.5,444,2013
Giovani Bernard,7818,HB,CIN,17,66.2,69.4,76.6,84.9,74.0,468,2013
Mohamed Sanu,7084,WR,CIN,17,49.3,41.6,63.0,68.2,60.7,505,2013
Jermaine Gresham,5546,TE,CIN,15,73.9,21.0,61.7,65.7,62.2,575,2013
Tyler Eifert,7802,TE,CIN,16,49.3,77.9,66.5,75.6,66.3,371,2013
Andrew Hawkins,6125,WR,CIN,9,65.6,23.3,67.9,,68.5,129,2013
Dane Sanzenbacher,6570,WR,CIN,9,49.2,68.8,64.1,,63.7,51,2013
Kevin Brock,5328,TE,CIN,4,36.8,65.8,53.0,53.8,58.4,32,2013
Alex Smith,2288,TE,CIN,15,70.5,13.9,52.5,72.8,30.7,81,2013
BenJarvus Green-Ellis,4599,HB,CIN,17,41.6,69.0,57.8,70.5,39.9,226,2013
Brandon Tate,5006,WR,CIN,11,64.7,70.4,54.7,,51.6,31,2013
Orson Charles,7116,FB,CIN,4,64.7,61.2,56.4,75.9,51.4,17,2013
A.J. Green,6156,WR,CIN,13,81.6,23.6,84.7,,86.8,380,2014
Mohamed Sanu,7084,WR,CIN,17,27.9,82.1,67.3,70.6,65.1,608,2014
Jermaine Gresham,5546,TE,CIN,15,90.0,22.9,68.4,77.3,63.3,488,2014
Giovani Bernard,7818,HB,CIN,14,87.4,90.6,70.9,69.2,85.4,340,2014
Brandon Tate,5006,WR,CIN,16,82.7,52.7,62.0,65.6,57.4,329,2014
Jeremy Hill,8690,HB,CIN,17,66.9,40.5,63.1,85.8,48.2,254,2014
Ryan Hewitt,9107,FB,CIN,17,64.4,73.2,74.2,74.3,55.3,208,2014
James Wright,8873,WR,CIN,11,73.4,70.9,60.8,,57.4,119,2014
Dane Sanzenbacher,6570,WR,CIN,9,77.3,19.9,50.2,,53.5,129,2014
Greg Little,6211,WR,CIN,7,52.1,69.5,55.4,,56.3,92,2014
Rex Burkhead,7971,HB,CIN,6,78.0,75.8,67.4,49.4,86.2,31,2014
Kevin Brock,5328,TE,CIN,13,49.7,68.8,54.8,70.7,42.8,66,2014
Cedric Peerman,5109,HB,CIN,7,70.5,75.8,56.4,81.9,64.8,27,2014
Tyler Eifert,7802,TE,CIN,1,70.5,65.8,90.3,,86.4,6,2014
Cobi Hamilton,7978,WR,CIN,1,,,51.3,,51.8,26,2014
Andy Dalton,6187,QB,CIN,17,64.7,78.3,66.5,61.3,82.1,604,2014
A.J. Green,6156,WR,CIN,17,88.9,50.4,90.4,,90.6,627,2015
Marvin Jones Jr.,7158,WR,CIN,17,81.1,82.0,72.9,,73.9,599,2015
Tyler Eifert,7802,TE,CIN,14,50.5,80.2,86.1,69.6,89.8,509,2015
Giovani Bernard,7818,HB,CIN,17,45.2,85.2,69.1,53.0,54.8,410,2015
Mohamed Sanu,7084,WR,CIN,17,81.3,39.3,57.0,73.8,55.4,483,2015
Jeremy Hill,8690,HB,CIN,17,43.8,45.4,58.2,68.0,47.1,237,2015
Rex Burkhead,7971,WR,CIN,13,60.6,23.1,59.5,73.0,71.4,43,2015
Tyler Kroft,9518,TE,CIN,16,62.7,72.2,64.9,81.4,57.8,172,2015
Ryan Hewitt,9107,TE,CIN,15,76.5,70.1,63.8,75.2,63.2,143,2015
Jake Fisher,9486,T,CIN,13,28.9,61.2,56.2,78.0,49.6,39,2015
Brandon Tate,5006,WR,CIN,3,68.3,88.9,91.9,,90.6,5,2015
C.J. Uzomah,9590,TE,CIN,4,64.7,61.2,56.1,76.5,64.7,19,2015
Mario Alford,9671,WR,CIN,1,64.7,61.2,79.1,,75.3,2,2015
Brandon LaFell,5602,WR,CIN,16,84.5,81.0,69.5,,69.1,637,2016
A.J. Green,6156,WR,CIN,10,73.5,81.0,90.0,,90.1,361,2016
Tyler Boyd,10689,WR,CIN,16,74.0,80.4,65.1,64.9,64.4,510,2016
Giovani Bernard,7818,HB,CIN,10,76.3,69.2,66.4,80.1,70.1,295,2016
Tyler Eifert,7802,TE,CIN,8,77.5,76.5,80.7,61.8,83.1,286,2016
C.J. Uzomah,9590,TE,CIN,10,43.3,75.5,63.0,56.4,63.3,271,2016
Cody Core,10833,WR,CIN,8,68.0,73.6,60.7,,60.3,138,2016
Jeremy Hill,8690,HB,CIN,15,84.5,90.9,63.4,40.3,64.1,201,2016
Rex Burkhead,7971,HB,CIN,11,82.9,62.3,75.9,73.7,67.5,160,2016
James Wright,8873,WR,CIN,12,64.7,73.6,65.2,,64.9,120,2016
Tyler Kroft,9518,TE,CIN,14,58.5,71.1,56.6,62.5,48.3,167,2016
Alex Erickson,11107,WR,CIN,11,74.6,89.9,61.0,,63.8,63,2016
Ryan Hewitt,9107,FB,CIN,15,68.3,64.0,72.3,63.4,49.8,59,2016
Jake Fisher,9486,T,CIN,14,64.7,18.4,47.7,46.8,26.3,149,2016
Cedric Peerman,5109,HB,CIN,2,28.0,70.6,46.0,53.5,25.8,5,2016
A.J. Green,6156,WR,CIN,16,71.7,27.8,82.2,,82.7,543,2017
Brandon LaFell,5602,WR,CIN,16,59.0,37.4,57.8,,57.7,554,2017
Tyler Kroft,9518,TE,CIN,16,59.0,78.3,60.4,66.6,62.7,501,2017
Giovani Bernard,7818,HB,CIN,16,68.8,89.7,67.3,81.8,69.8,364,2017
