player,player_id,position,team_name,player_game_count,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,pass_plays,year
Jim Dray,5756,TE,ARZ,14,36.8,65.8,51.8,64.6,38.9,112,2010
Beanie Wells,4954,HB,ARZ,13,29.2,74.8,56.1,52.9,48.1,104,2010
Reagan Mauia,3797,FB,ARZ,15,68.3,64.0,75.6,69.8,63.0,64,2010
Jerome Johnson,5258,FB,ARZ,1,28.0,,42.2,,26.6,4,2010
Larry Fitzgerald,1724,WR,ARZ,16,84.9,82.2,89.8,,89.1,661,2011
Andre Roberts,5612,WR,ARZ,16,51.4,40.2,58.9,,56.6,647,2011
Early Doucet,4395,WR,ARZ,16,41.7,39.4,59.8,,60.5,461,2011
Jeff King,3100,TE,ARZ,16,86.5,75.9,89.5,51.0,89.9,254,2011
Todd Heap,801,TE,ARZ,10,62.5,75.3,71.0,75.3,62.8,207,2011
Rob Housler,6221,TE,ARZ,12,27.8,21.7,52.5,72.6,47.0,140,2011
Chester Taylor,1182,HB,ARZ,12,29.3,79.0,56.9,70.8,38.2,174,2011
LaRod Stephens-Howling,5164,HB,ARZ,13,65.6,82.8,62.6,82.8,82.2,90,2011
Beanie Wells,4954,HB,ARZ,14,29.5,47.9,56.4,64.5,32.4,309,2011
Anthony Sherman,6288,FB,ARZ,14,76.5,70.8,71.2,54.5,69.3,83,2011
DeMarco Sampson,6401,WR,ARZ,9,36.8,65.8,54.1,,54.0,82,2011
Chansi Stuckey,3851,WR,ARZ,9,72.1,15.0,48.9,,48.9,70,2011
Alfonso Smith,5877,HB,ARZ,8,36.2,79.8,57.3,83.2,44.6,47,2011
Jim Dray,5756,TE,ARZ,6,68.3,64.0,51.0,39.6,50.7,69,2011
Reagan Mauia,3797,FB,ARZ,3,64.7,61.2,58.5,62.8,68.0,15,2011
Patrick Peterson,6157,CB,ARZ,2,64.7,61.2,71.0,70.4,60.5,2,2011
Larry Fitzgerald,1724,WR,ARZ,16,69.5,81.4,69.4,70.7,68.5,705,2012
Andre Roberts,5612,WR,ARZ,15,37.9,48.5,61.4,67.6,60.6,625,2012
Michael Floyd,7019,WR,ARZ,16,54.9,32.9,63.1,,62.0,432,2012
Rob Housler,6221,TE,ARZ,15,68.8,78.6,62.1,73.0,60.8,426,2012
Early Doucet,4395,WR,ARZ,12,28.6,77.2,47.1,70.4,47.0,326,2012
LaRod Stephens-Howling,5164,HB,ARZ,14,54.5,89.0,69.5,68.2,48.4,219,2012
Jeff King,3100,TE,ARZ,16,82.7,73.9,68.0,77.9,63.7,207,2012
William Powell,6939,HB,ARZ,12,69.9,84.9,71.1,71.6,63.4,219,2012
Todd Heap,801,TE,ARZ,2,77.3,70.6,76.3,28.2,77.9,52,2012
Ryan Williams,6190,HB,ARZ,5,52.5,26.9,59.8,69.1,58.1,76,2012
Anthony Sherman,6288,FB,ARZ,13,74.6,68.8,61.2,60.1,56.3,123,2012
Patrick Peterson,6157,CB,ARZ,4,70.5,69.7,67.4,,60.9,4,2012
Alfonso Smith,5877,HB,ARZ,4,68.3,64.0,66.2,77.6,68.0,17,2012
LaRon Byrd,7486,WR,ARZ,2,64.7,61.2,55.1,,55.5,8,2012
Jim Dray,5756,TE,ARZ,2,68.3,64.0,73.8,70.4,69.8,10,2012
Senio Kelemete,7144,G,ARZ,1,67.6,62.3,60.6,34.3,91.2,30,2012
Beanie Wells,4954,HB,ARZ,8,64.7,61.8,57.6,35.0,57.1,56,2012
Reagan Mauia,3797,FB,ARZ,3,64.7,61.2,59.6,77.7,70.7,11,2012
Larry Fitzgerald,1724,WR,ARZ,16,90.7,53.6,80.3,,77.1,632,2013
Michael Floyd,7019,WR,ARZ,16,67.2,80.9,82.1,48.6,80.3,602,2013
Andre Roberts,5612,WR,ARZ,16,76.0,78.5,66.2,78.1,65.8,430,2013
Andre Ellington,7968,HB,ARZ,15,41.6,73.4,84.2,81.3,68.8,257,2013
Rob Housler,6221,TE,ARZ,13,49.2,29.3,58.0,37.5,58.1,334,2013
Jim Dray,5756,TE,ARZ,16,86.7,26.5,66.2,67.3,57.3,346,2013
Rashard Mendenhall,4337,HB,ARZ,15,70.3,44.4,65.1,75.3,65.1,225,2013
Jaron Brown,8128,WR,ARZ,16,78.7,71.5,67.8,,66.4,119,2013
Alfonso Smith,5877,HB,ARZ,12,78.0,20.7,51.8,85.6,56.4,103,2013
Brittan Golden,7481,WR,ARZ,5,72.1,67.0,74.0,,71.1,40,2013
Jake Ballard,5822,TE,ARZ,8,75.6,69.5,69.9,69.3,81.4,54,2013
Stepfan Taylor,7922,HB,ARZ,12,76.5,81.3,77.4,89.4,82.2,73,2013
Patrick Peterson,6157,CB,ARZ,11,75.6,57.6,75.6,,77.2,26,2013
Teddy Williams,6073,WR,ARZ,3,64.7,61.2,89.5,,83.2,5,2013
Kory Sperry,5369,TE,ARZ,5,64.7,61.2,57.9,49.1,68.5,20,2013
Larry Fitzgerald,1724,WR,ARZ,15,90.3,49.6,77.2,68.7,74.9,583,2014
John Brown,8726,WR,ARZ,17,73.5,80.2,69.3,,69.4,527,2014
Michael Floyd,7019,WR,ARZ,17,63.9,20.2,69.6,77.4,64.8,668,2014
Andre Ellington,7968,HB,ARZ,12,34.9,70.0,55.1,81.2,59.3,310,2014
John Carlson,4352,TE,ARZ,17,34.2,77.9,51.1,51.4,47.4,493,2014
Jaron Brown,8128,WR,ARZ,16,52.9,25.9,73.9,,72.5,138,2014
Ted Ginn Jr.,3625,WR,ARZ,17,35.8,60.6,67.1,,64.3,134,2014
Rob Housler,6221,TE,ARZ,16,78.0,71.7,61.1,50.1,60.3,149,2014
Robert Hughes,6564,HB,ARZ,14,28.5,75.5,64.2,62.2,65.6,74,2014
Stepfan Taylor,7922,HB,ARZ,15,79.4,85.6,61.7,73.8,69.0,141,2014
Marion Grice,8835,HB,ARZ,8,75.6,77.6,69.0,80.6,68.3,77,2014
Darren Fells,8549,TE,ARZ,9,74.6,68.8,82.3,78.3,69.0,95,2014
Kerwynn Williams,8013,HB,ARZ,5,29.2,52.6,58.5,88.5,32.3,40,2014
Jonathan Dwyer,5711,HB,ARZ,2,68.3,76.9,51.7,73.5,57.3,26,2014
Troy Niklas,8687,TE,ARZ,6,70.5,65.8,56.0,75.4,74.7,24,2014
Carson Palmer,1317,QB,ARZ,6,,77.0,72.1,,,255,2014
Larry Fitzgerald,1724,WR,ARZ,18,87.4,42.6,89.4,79.7,87.3,696,2015
John Brown,8726,WR,ARZ,17,64.7,50.8,78.7,73.7,78.9,632,2015
Michael Floyd,7019,WR,ARZ,17,59.0,80.6,80.0,71.1,79.4,525,2015
David Johnson,9519,HB,ARZ,18,58.3,41.1,71.5,59.8,71.1,353,2015
Darren Fells,8549,TE,ARZ,16,53.8,75.7,67.9,61.0,67.0,412,2015
J.J. Nelson,9592,WR,ARZ,13,64.7,79.0,82.3,,83.0,128,2015
Jermaine Gresham,5546,TE,ARZ,17,55.6,73.9,73.4,64.0,57.0,293,2015
Jaron Brown,8128,WR,ARZ,17,48.3,80.0,62.7,84.2,58.1,177,2015
Andre Ellington,7968,HB,ARZ,12,81.1,51.1,66.2,41.7,65.1,168,2015
Chris Johnson,4338,HB,ARZ,11,29.7,65.6,47.4,59.3,38.6,155,2015
Troy Niklas,8687,TE,ARZ,13,72.1,67.0,65.6,60.3,66.6,54,2015
Stepfan Taylor,7922,HB,ARZ,10,64.7,76.4,57.2,90.5,57.0,41,2015
Kerwynn Williams,8013,HB,ARZ,4,68.3,50.9,57.5,82.1,71.5,21,2015
Brittan Golden,7481,WR,ARZ,7,64.7,70.0,58.7,,55.1,14,2015
Mike Iupati,5542,G,ARZ,15,67.6,62.3,80.2,67.6,91.2,587,2015
Larry Fitzgerald,1724,WR,ARZ,16,88.5,43.3,83.3,75.1,80.2,703,2016
David Johnson,9519,HB,ARZ,16,80.4,53.2,79.9,71.0,90.0,638,2016
J.J. Nelson,9592,WR,ARZ,15,37.2,30.1,69.5,,67.2,364,2016
John Brown,8726,WR,ARZ,15,90.1,53.7,71.4,,70.2,426,2016
Jermaine Gresham,5546,TE,ARZ,16,47.5,28.9,63.8,49.3,63.4,482,2016
Jaron Brown,8128,WR,ARZ,6,78.7,71.5,66.1,85.3,64.1,119,2016
Darren Fells,8549,TE,ARZ,14,51.5,73.0,63.0,80.1,52.5,207,2016
Andre Ellington,7968,HB,ARZ,16,80.0,83.5,64.8,73.3,74.4,105,2016
Brittan Golden,7481,WR,ARZ,8,54.9,28.6,58.0,,55.7,109,2016
Jeremy Ross,6476,WR,ARZ,2,72.1,81.6,81.2,,77.8,15,2016
Ifeanyi Momah,8557,TE,ARZ,4,68.3,64.0,52.4,0.0,68.8,16,2016
Kerwynn Williams,8013,HB,ARZ,4,64.7,26.1,62.0,76.6,53.9,27,2016
Hakeem Valles,10960,TE,ARZ,9,25.7,,32.4,73.4,27.9,20,2016
Troy Niklas,8687,TE,ARZ,3,28.9,61.2,47.0,72.1,30.9,21,2016
Chris Johnson,4338,HB,ARZ,4,,78.4,57.2,26.2,53.3,17,2016
Larry Fitzgerald,1724,WR,ARZ,16,90.4,60.3,80.0,74.5,78.8,702,2017
Jaron Brown,8128,WR,ARZ,16,78.9,77.0,59.4,42.1,57.9,569,2017
J.J. Nelson,9592,WR,ARZ,16,28.3,28.1,59.0,,58.2,386,2017
John Brown,8726,WR,ARZ,10,38.7,75.2,58.0,,58.8,340,2017
Jermaine Gresham,5546,TE,ARZ,14,45.4,77.3,62.8,55.5,59.9,437,2017
Ricky Seals-Jones,12020,TE,ARZ,8,31.3,71.9,80.7,,89.7,70,2017
D.J. Foster,11214,HB,ARZ,7,68.0,79.0,65.8,77.2,68.8,127,2017
Troy Niklas,8687,TE,ARZ,15,63.2,73.1,59.1,56.0,71.0,192,2017
Adrian Peterson,3623,HB,ARZ,10,28.4,43.3,51.8,21.5,34.7,124,2017
Kerwynn Williams,8013,HB,ARZ,14,58.5,90.7,63.6,43.2,71.2,110,2017
Brittan Golden,7481,WR,ARZ,8,29.3,77.7,47.9,,49.9,65,2017
David Johnson,9519,HB,ARZ,1,74.6,16.9,40.9,46.0,38.8,34,2017
Chris Johnson,4338,HB,ARZ,4,73.4,82.8,58.4,35.4,61.4,55,2017
Chad Williams,11853,WR,ARZ,6,70.5,68.7,60.9,,59.7,72,2017
Elijhaa Penny,11300,HB,ARZ,11,41.6,80.3,68.5,75.7,61.2,41,2017
Ifeanyi Momah,8557,TE,ARZ,6,28.8,61.2,48.9,,55.9,19,2017
Gabe Holmes,9980,TE,ARZ,2,28.0,,34.6,,29.1,5,2017
Larry Fitzgerald,1724,WR,ARZ,16,81.0,81.4,73.2,,72.3,561,2018
David Johnson,9519,HB,ARZ,16,34.3,65.1,64.1,71.4,60.4,463,2018
Ricky Seals-Jones,12020,TE,ARZ,15,52.5,77.1,52.8,83.6,54.3,406,2018
Christian Kirk,47546,WR,ARZ,12,68.6,87.0,70.3,,70.1,364,2018
Chad Williams,11853,WR,ARZ,10,41.6,74.0,53.7,65.7,52.7,299,2018
Trent Sherfield,48021,WR,ARZ,8,69.6,74.1,58.1,66.2,56.2,233,2018
Chase Edmonds,45851,HB,ARZ,16,59.2,31.8,60.5,49.7,65.0,135,2018
J.J. Nelson,9592,WR,ARZ,12,32.2,72.4,48.9,,48.9,139,2018
Jermaine Gresham,5546,TE,ARZ,13,56.7,19.2,49.7,79.8,52.7,200,2018
T.J. Logan,11935,HB,ARZ,6,75.6,78.3,59.9,,68.0,18,2018
Jalen Tolliver,66933,WR,ARZ,3,70.5,65.8,57.9,,57.3,57,2018
Derrick Coleman,7377,FB,ARZ,7,68.3,67.8,67.8,77.9,70.5,12,2018
John Phillips,5132,TE,ARZ,8,70.5,65.8,63.1,69.3,61.9,51,2018
Darrell Daniels,12122,TE,ARZ,5,,,46.9,64.6,47.0,33,2018
Pharoh Cooper,10751,WR,ARZ,2,,81.2,57.1,,57.5,3,2018
Larry Fitzgerald,1724,WR,ARZ,16,90.5,82.0,70.3,64.4,71.6,619,2019
Christian Kirk,47546,WR,ARZ,13,80.3,85.1,62.5,66.2,62.0,539,2019
Kenyan Drake,10707,HB,ARZ,14,57.9,65.9,71.2,56.0,65.1,397,2019
