team_name,year,position,score
DEN,2011,QB,21.005377644478845
DEN,2012,QB,339.53579859128115
DEN,2013,QB,298.79474966953074
DEN,2014,QB,301.7074803921569
DEN,2015,QB,229.84371884346956
DEN,2016,QB,33.20684262510975
DEN,2017,QB,42.055164674565475
DEN,2018,QB,271.9837728194726
DEN,2019,QB,479.5709860054585
DEN,2020,QB,23.437803995770494
DEN,2021,QB,103.42090330304181
DEN,2022,QB,483.37405693351275
DEN,2023,QB,589.0871789947321
DEN,2024,QB,7.805882352941175
DET,2006,QB,82.6387630512923
DET,2007,QB,47.89372064694142
DET,2008,QB,40.34147772626796
DET,2009,QB,334.62366717928995
DET,2010,QB,605.5852454080095
DET,2011,QB,796.007929991357
DET,2012,QB,744.7941532159151
DET,2013,QB,1621.1926548397134
DET,2014,QB,1323.13630831643
DET,2015,QB,913.0549420139456
DET,2016,QB,1656.1757035596606
DET,2017,QB,1672.6069775318956
DET,2018,QB,953.1509931600546
DET,2019,QB,580.2853722582637
DET,2020,QB,587.6068758419398
DET,2021,QB,172.91576918970853
DET,2022,QB,477.68888431029154
DET,2023,QB,469.4902134965662
DET,2024,QB,895.4254010695187
GB,2006,QB,439.00764811300866
GB,2007,QB,885.8577153918105
GB,2008,QB,1092.2520271406943
GB,2009,QB,1056.350492931078
GB,2010,QB,1015.1679726566051
GB,2011,QB,1204.8740928275643
GB,2012,QB,2057.4882113431695
GB,2013,QB,568.1655939268137
GB,2014,QB,1115.9318188007526
GB,2015,QB,811.7722734746072
GB,2016,QB,1006.3343201804349
GB,2017,QB,1058.8087401018101
GB,2018,QB,1162.2003710702159
GB,2019,QB,984.8077438338064
GB,2020,QB,1520.5809667411268
GB,2021,QB,1080.402669683258
GB,2022,QB,1018.8999274115498
GB,2023,QB,43.46474931235825
GB,2024,QB,44.318393364001174
HST,2006,QB,30.80921350321505
HST,2007,QB,325.92507175405376
HST,2008,QB,276.2460739793049
HST,2009,QB,345.81143506744803
HST,2010,QB,612.1242405865814
HST,2011,QB,171.69515147704965
HST,2012,QB,227.93084799340295
HST,2013,QB,216.43693393503702
HST,2014,QB,278.63843501589827
HST,2015,QB,88.57759912114251
HST,2016,QB,35.93783475385404
HST,2017,QB,75.24013071147947
HST,2018,QB,217.96346163572912
HST,2019,QB,110.44363816012802
HST,2020,QB,203.82253299685553
HST,2021,QB,148.9327281756981
HST,2022,QB,26.122548107615142
HST,2023,QB,68.23521122270047
HST,2024,QB,44.787690319680884
IND,2006,QB,556.2152376817886
IND,2007,QB,687.8749159663865
IND,2008,QB,691.533113020489
IND,2009,QB,298.992883360522
IND,2010,QB,624.2040216086434
IND,2011,QB,26.596573124662708
IND,2012,QB,188.76432976685513
IND,2013,QB,209.47094149483274
IND,2014,QB,238.27790549307957
IND,2015,QB,138.6113630546329
IND,2016,QB,152.30131532960533
IND,2017,QB,93.8453283837807
IND,2018,QB,197.54401801528854
IND,2019,QB,211.61939645746776
IND,2020,QB,817.8667236954662
IND,2021,QB,316.9299856527977
IND,2022,QB,447.8769735943158
IND,2023,QB,49.60886708341874
IND,2024,QB,1155.1399481538908
JAX,2006,QB,53.76316320645904
JAX,2007,QB,73.00396238323657
JAX,2008,QB,79.57619362276458
JAX,2009,QB,96.41232868986522
JAX,2010,QB,60.53332412384253
JAX,2011,QB,61.79021868113239
JAX,2012,QB,201.07278095026885
JAX,2013,QB,181.15698042922273
JAX,2014,QB,156.90376581201429
JAX,2015,QB,174.0571555654398
JAX,2016,QB,145.292283379179
JAX,2017,QB,141.2472143557954
JAX,2018,QB,93.70552001358774
JAX,2019,QB,188.6978813788625
JAX,2020,QB,103.25335384877191
JAX,2021,QB,61.889359621965134
JAX,2022,QB,54.25186048145373
JAX,2023,QB,64.01874652865439
JAX,2024,QB,125.22984937919804
KC,2006,QB,14.179819046577741
KC,2007,QB,18.439121355622753
KC,2008,QB,20.11415691904903
KC,2009,QB,260.33689036177856
KC,2010,QB,159.18568232200857
KC,2011,QB,149.45961515949662
KC,2012,QB,192.76913163933506
KC,2013,QB,408.1899820134772
KC,2014,QB,493.3860125841382
KC,2015,QB,401.33553130929795
KC,2016,QB,598.2817780872795
KC,2017,QB,706.7481566726414
KC,2018,QB,351.20433811045643
KC,2019,QB,280.9401277243965
KC,2020,QB,321.32576229803317
KC,2021,QB,234.5021105664488
KC,2022,QB,321.1084103380158
KC,2023,QB,270.5780423637345
KC,2024,QB,825.7926540284361
LA,2016,QB,191.77602823998123
LA,2017,QB,262.3245731413585
LA,2018,QB,246.04830511332966
LA,2019,QB,317.59616278760825
LA,2020,QB,219.69170396419435
LA,2021,QB,702.9376177976677
LA,2022,QB,416.0820537670654
LA,2023,QB,1049.4449566783233
LA,2024,QB,2406.2663529411757
LAC,2017,QB,865.323976681068
LAC,2018,QB,893.5183252930804
LAC,2019,QB,921.776989863742
LAC,2020,QB,142.89870507930135
LAC,2021,QB,180.06627615062763
LAC,2022,QB,86.52048102917873
LAC,2023,QB,90.72455907839739
LAC,2024,QB,301.5213700670142
LV,2020,QB,396.4314087927223
LV,2021,QB,450.08667749796916
LV,2022,QB,320.3741852326762
LV,2023,QB,156.2741439159396
LV,2024,QB,88.20320725864002
MIA,2006,QB,14.373177169554502
MIA,2007,QB,8.105211154001267
MIA,2008,QB,139.69462474645027
MIA,2009,QB,120.50823985408117
MIA,2010,QB,134.80289120502567
