team_name,year,position,grades_hands_fumble,grades_offense,grades_pass,grades_run,category,grades_hands_drop,grades_pass_block,grades_pass_route,grades_run_block,grades_offense_penalty,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle
ARZ,2006,QB,37.400000000000006,50.2,53.599999999999994,40.0,passing,,,,,,,,,,,
ARZ,2007,QB,44.833333333333336,66.96666666666665,74.2,31.133333333333336,passing,,,,,,,,,,,
ARZ,2008,HB,83.6,63.3,53.5,60.9,passing,,,,,,,,,,,
ARZ,2008,QB,46.95,54.05,58.65,37.05,passing,,,,,,,,,,,
ARZ,2008,WR,78.3,60.7,68.9,,passing,,,,,,,,,,,
ARZ,2009,QB,71.93333333333334,56.4,58.53333333333333,35.1,passing,,,,,,,,,,,
ARZ,2010,QB,57.5,46.375,45.6,68.03333333333333,passing,,,,,,,,,,,
ARZ,2010,WR,79.7,65.5,75.9,63.5,passing,,,,,,,,,,,
ARZ,2011,QB,64.39999999999999,44.333333333333336,46.5,53.0,passing,,,,,,,,,,,
ARZ,2012,QB,77.05,46.925,46.9,63.875,passing,,,,,,,,,,,
ARZ,2013,CB,57.6,75.6,68.2,61.9,passing,,,,,,,,,,,
ARZ,2013,QB,90.8,67.9,69.8,33.9,passing,,,,,,,,,,,
ARZ,2013,WR,53.6,80.3,60.0,59.8,passing,,,,,,,,,,,
ARZ,2014,HB,77.6,69.0,52.2,68.1,passing,,,,,,,,,,,
ARZ,2014,QB,67.025,54.625,54.6,61.900000000000006,passing,,,,,,,,,,,
ARZ,2014,WR,60.6,67.1,71.0,67.5,passing,,,,,,,,,,,
ARZ,2015,QB,68.75,74.15,72.65,57.1,passing,,,,,,,,,,,
ARZ,2015,WR,42.6,89.4,60.0,,passing,,,,,,,,,,,
ARZ,2016,QB,59.3,60.2,60.5,43.75,passing,,,,,,,,,,,
ARZ,2016,WR,43.3,83.3,60.0,,passing,,,,,,,,,,,
ARZ,2017,QB,57.56666666666666,55.0,55.0,52.36666666666667,passing,,,,,,,,,,,
ARZ,2017,WR,60.3,80.0,68.8,,passing,,,,,,,,,,,
ARZ,2018,QB,44.633333333333326,49.333333333333336,49.4,62.45,passing,,,,,,,,,,,
ARZ,2018,WR,81.4,73.2,79.9,,passing,,,,,,,,,,,
ARZ,2019,P,60.4,74.2,70.7,,passing,,,,,,,,,,,
ARZ,2019,QB,80.7,72.30000000000001,64.85,75.6,passing,,,,,,,,,,,
ARZ,2020,P,60.4,73.1,68.8,,passing,,,,,,,,,,,
ARZ,2020,QB,79.8,55.099999999999994,51.45,76.5,passing,,,,,,,,,,,
ARZ,2021,QB,49.833333333333336,63.166666666666664,66.8,52.6,passing,,,,,,,,,,,
ARZ,2021,S,60.4,60.5,60.1,,passing,,,,,,,,,,,
ARZ,2021,WR,84.5,72.1,82.2,63.1,passing,,,,,,,,,,,
ARZ,2022,P,60.4,59.5,60.3,,passing,,,,,,,,,,,
ARZ,2022,QB,49.725,53.974999999999994,54.825,51.1,passing,,,,,,,,,,,
ARZ,2023,QB,69.25,52.5,47.8,71.69999999999999,passing,,,,,,,,,,,
ARZ,2024,QB,52.0,82.4,78.9,78.1,passing,,,,,,,,,,,
ATL,2006,HB,88.1,78.3,60.0,73.1,passing,,,,,,,,,,,
ATL,2006,QB,61.1,68.1,65.05,69.35,passing,,,,,,,,,,,
ATL,2007,QB,71.53333333333333,58.833333333333336,62.5,35.06666666666667,passing,,,,,,,,,,,
ATL,2008,QB,74.9,78.8,85.4,27.6,passing,,,,,,,,,,,
ATL,2009,QB,73.0,59.75,61.55,37.05,passing,,,,,,,,,,,
ATL,2010,QB,72.65,70.35,71.4,46.0,passing,,,,,,,,,,,
ATL,2011,QB,78.35,62.400000000000006,62.7,51.2,passing,,,,,,,,,,,
ATL,2012,QB,83.8,88.1,88.6,38.7,passing,,,,,,,,,,,
ATL,2013,QB,80.05000000000001,60.8,61.1,40.6,passing,,,,,,,,,,,
ATL,2014,QB,70.5,83.15,81.55000000000001,63.8,passing,,,,,,,,,,,
ATL,2015,QB,64.1,68.0,68.2,51.95,passing,,,,,,,,,,,
ATL,2016,QB,69.05000000000001,79.4,78.45,59.7,passing,,,,,,,,,,,
ATL,2017,QB,74.7,88.3,86.7,62.1,passing,,,,,,,,,,,
ATL,2017,WR,82.2,77.2,86.9,61.8,passing,,,,,,,,,,,
ATL,2018,QB,30.9,62.2,67.8,62.45,passing,,,,,,,,,,,
ATL,2018,WR,31.2,71.6,53.4,67.7,passing,,,,,,,,,,,
ATL,2019,HB,58.2,60.6,60.1,69.3,passing,,,,,,,,,,,
ATL,2019,QB,47.1,68.1,67.15,61.35,passing,,,,,,,,,,,
ATL,2020,QB,76.4,83.1,82.1,53.3,passing,,,,,,,,,,,
ATL,2020,WR,81.8,76.4,98.8,62.6,passing,,,,,,,,,,,
ATL,2021,HB,80.1,81.3,60.0,63.7,passing,,,,,,,,,,,
ATL,2021,QB,58.366666666666674,41.96666666666667,52.76666666666667,45.1,passing,,,,,,,,,,,
ATL,2022,QB,45.05,61.099999999999994,61.400000000000006,53.1,passing,,,,,,,,,,,
ATL,2023,QB,54.56666666666666,43.06666666666666,42.199999999999996,59.26666666666667,passing,,,,,,,,,,,
ATL,2023,TE,37.5,59.1,56.3,56.9,passing,,,,,,,,,,,
ATL,2023,WR,81.4,78.9,69.5,,passing,,,,,,,,,,,
ATL,2024,QB,51.0,74.55,72.55,65.2,passing,,,,,,,,,,,
ATL,2024,WR,79.0,75.6,60.0,,passing,,,,,,,,,,,
BLT,2006,QB,45.3,50.05,56.7,40.05,passing,,,,,,,,,,,
BLT,2006,WR,82.6,73.2,58.4,46.4,passing,,,,,,,,,,,
BLT,2007,QB,38.666666666666664,50.199999999999996,53.9,36.300000000000004,passing,,,,,,,,,,,
BLT,2007,WR,79.3,63.2,68.9,,passing,,,,,,,,,,,
BLT,2008,QB,74.25,69.65,75.5,42.8,passing,,,,,,,,,,,
BLT,2008,WR,80.3,69.8,83.4,65.4,passing,,,,,,,,,,,
BLT,2009,HB,71.5,73.1,56.1,67.0,passing,,,,,,,,,,,
BLT,2009,QB,74.4,64.7,71.4,42.45,passing,,,,,,,,,,,
BLT,2009,WR,31.5,63.4,60.3,55.3,passing,,,,,,,,,,,
BLT,2010,QB,57.7,73.2,78.1,28.3,passing,,,,,,,,,,,
BLT,2010,WR,49.8,71.7,58.8,50.7,passing,,,,,,,,,,,
BLT,2011,HB,74.0,75.7,54.1,70.5,passing,,,,,,,,,,,
BLT,2011,QB,56.900000000000006,64.65,61.7,47.35,passing,,,,,,,,,,,
BLT,2012,QB,73.4,70.75,67.15,53.45,passing,,,,,,,,,,,
BLT,2013,QB,76.1,64.25,55.45,56.95,passing,,,,,,,,,,,
BLT,2014,QB,61.9,76.2,75.7,48.5,passing,,,,,,,,,,,
BLT,2015,P,60.4,61.5,60.5,,passing,,,,,,,,,,,
BLT,2015,QB,76.725,55.425000000000004,56.45,50.7,passing,,,,,,,,,,,
BLT,2016,K,60.4,54.3,57.1,,passing,,,,,,,,,,,
BLT,2016,QB,81.19999999999999,61.2,59.4,63.949999999999996,passing,,,,,,,,,,,
BLT,2017,P,63.6,76.1,77.8,,passing,,,,,,,,,,,
BLT,2017,QB,80.5,60.699999999999996,60.599999999999994,56.35,passing,,,,,,,,,,,
BLT,2018,P,60.4,71.6,68.8,,passing,,,,,,,,,,,
BLT,2018,QB,56.699999999999996,54.333333333333336,53.666666666666664,64.0,passing,,,,,,,,,,,
BLT,2019,P,60.4,60.8,60.4,,passing,,,,,,,,,,,
BLT,2019,QB,72.75,68.85,62.25,76.15,passing,,,,,,,,,,,
BLT,2020,P,60.4,70.7,67.2,,passing,,,,,,,,,,,
