player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_offense,year
Ben Patrick,3831,TE,ARZ,11,77.0,62.0,87.1,335,2009
Steve Breaston,3758,WR,ARZ,17,72.0,,88.8,762,2009
Tim Hightower,4463,HB,ARZ,18,53.5,71.8,55.5,720,2009
Stephen Spach,2789,TE,ARZ,7,55.6,78.1,68.8,185,2009
Matt Leinart,2955,QB,ARZ,9,53.3,,60.0,167,2009
Early Doucet,4395,WR,ARZ,11,67.2,66.8,75.5,273,2009
Jason Wright,2212,HB,ARZ,15,67.8,28.3,76.9,93,2009
Beanie Wells,4954,HB,ARZ,18,66.2,45.6,58.0,351,2009
Jerheme Urban,1709,WR,ARZ,12,54.6,,89.0,276,2009
Mike Leach,750,LS,ARZ,4,59.5,,59.1,9,2009
LaRod Stephens-Howling,5164,HB,ARZ,18,64.4,75.9,58.8,87,2009
Sean Morey,538,WR,ARZ,4,58.3,,60.0,28,2009
Brian St. Pierre,1470,QB,ARZ,1,41.0,,60.0,6,2009
Brandon Keith,4539,G,ARZ,1,60.0,70.7,,1,2009
Darnell Dockett,1785,DI,ARZ,1,60.0,,60.0,1,2009
Gabe Watson,3052,DI,ARZ,1,60.0,,60.0,1,2009
Levi Brown,3621,T,ARZ,16,55.3,49.4,60.2,960,2010
Deuce Lutui,2986,G,ARZ,16,61.2,73.2,53.7,960,2010
Alan Faneca,346,G,ARZ,16,68.6,65.8,67.2,960,2010
Lyle Sendlein,4062,C,ARZ,16,64.0,84.8,53.9,959,2010
Brandon Keith,4539,T,ARZ,9,70.3,61.7,74.2,526,2010
Jeremy Bridges,1488,T,ARZ,9,72.7,67.0,80.7,436,2010
Larry Fitzgerald,1724,WR,ARZ,16,78.4,,77.3,936,2010
Stephen Spach,2789,TE,ARZ,15,67.3,57.6,80.1,398,2010
Steve Breaston,3758,WR,ARZ,13,65.5,,75.7,674,2010
Derek Anderson,2430,QB,ARZ,12,48.2,60.9,60.0,534,2010
Ben Patrick,3831,TE,ARZ,13,66.0,32.9,79.6,250,2010
Reagan Mauia,3797,FB,ARZ,15,75.6,69.8,73.3,181,2010
Tim Hightower,4463,HB,ARZ,16,56.9,58.6,71.2,580,2010
Jim Dray,5756,TE,ARZ,14,51.8,64.6,70.4,186,2010
John Skelton,5678,QB,ARZ,5,62.5,60.9,60.0,232,2010
Early Doucet,4395,WR,ARZ,10,53.4,77.9,67.2,349,2010
Andre Roberts,5612,WR,ARZ,13,55.9,,83.6,385,2010
Max Hall,5878,QB,ARZ,6,29.5,,60.0,156,2010
Jason Wright,2212,HB,ARZ,15,61.9,86.0,55.5,137,2010
Beanie Wells,4954,HB,ARZ,13,56.1,52.9,60.0,226,2010
Stephen Williams,5880,WR,ARZ,10,47.6,,71.0,181,2010
D'Anthony Batiste,3223,T,ARZ,2,72.7,79.1,67.9,18,2010
LaRod Stephens-Howling,5164,HB,ARZ,13,71.5,60.0,57.0,115,2010
Max Komar,5883,WR,ARZ,8,51.4,65.7,51.6,160,2010
Jerome Johnson,5258,FB,ARZ,1,42.2,,59.0,16,2010
Mike Leach,750,LS,ARZ,1,54.6,69.9,58.6,12,2010
Rex Hadnot,1892,G,ARZ,3,55.7,69.4,56.3,7,2010
Richard Bartel,3884,QB,ARZ,1,45.3,,60.0,37,2010
Onrea Jones,4261,WR,ARZ,1,54.9,,60.0,4,2010
Lyle Sendlein,4062,C,ARZ,16,70.3,73.1,65.8,1029,2011
Levi Brown,3621,T,ARZ,16,66.6,58.5,77.1,1016,2011
Daryn Colledge,2992,G,ARZ,16,71.8,60.9,76.7,990,2011
Rex Hadnot,1892,G,ARZ,16,65.4,63.8,63.9,985,2011
Brandon Keith,4539,T,ARZ,13,67.1,61.0,70.1,534,2011
Jeremy Bridges,1488,T,ARZ,12,64.6,59.0,72.3,512,2011
Jeff King,3100,TE,ARZ,16,89.5,51.0,81.6,547,2011
Larry Fitzgerald,1724,WR,ARZ,16,89.8,,79.8,1014,2011
Andre Roberts,5612,WR,ARZ,16,58.9,,74.1,941,2011
Kevin Kolb,3652,QB,ARZ,9,59.5,,60.0,504,2011
Anthony Sherman,6288,FB,ARZ,14,71.2,54.5,68.7,231,2011
John Skelton,5678,QB,ARZ,8,35.8,,60.2,496,2011
Todd Heap,801,TE,ARZ,10,71.0,75.3,85.2,342,2011
Beanie Wells,4954,HB,ARZ,14,56.4,64.5,58.1,571,2011
Early Doucet,4395,WR,ARZ,16,59.8,,60.3,555,2011
Jim Dray,5756,TE,ARZ,7,51.0,39.6,61.4,124,2011
Chester Taylor,1182,HB,ARZ,12,56.9,70.8,60.0,195,2011
Deuce Lutui,2986,G,ARZ,1,69.2,54.6,74.2,44,2011
D'Anthony Batiste,3223,T,ARZ,1,69.2,54.9,73.1,43,2011
Rob Housler,6221,TE,ARZ,12,52.5,72.6,77.8,176,2011
Reagan Mauia,3797,FB,ARZ,3,58.5,62.8,54.6,42,2011
Alfonso Smith,5877,HB,ARZ,11,57.3,83.2,58.6,82,2011
LaRod Stephens-Howling,5164,HB,ARZ,14,62.6,82.8,59.0,139,2011
Chansi Stuckey,3851,WR,ARZ,9,48.9,,60.3,78,2011
DeMarco Sampson,6401,WR,ARZ,9,54.1,,60.0,90,2011
Adrian Wilson,831,S,ARZ,3,60.0,,60.0,5,2011
Richard Bartel,3884,QB,ARZ,2,37.7,,60.0,29,2011
Patrick Peterson,6157,CB,ARZ,3,71.0,70.4,60.0,3,2011
Daryn Colledge,2992,G,ARZ,16,66.5,77.5,61.6,1052,2012
Bobby Massie,7112,T,ARZ,16,63.7,55.8,72.3,1052,2012
Adam Snyder,2311,G,ARZ,14,55.2,57.7,51.5,866,2012
Lyle Sendlein,4062,C,ARZ,11,65.7,74.8,57.9,756,2012
D'Anthony Batiste,3223,T,ARZ,10,45.6,36.1,57.8,626,2012
Nate Potter,7205,T,ARZ,8,54.7,55.5,48.2,428,2012
Larry Fitzgerald,1724,WR,ARZ,16,69.4,70.7,73.1,1030,2012
Jeff King,3100,TE,ARZ,16,68.0,77.9,66.4,466,2012
Rich Ohrnberger,5047,G,ARZ,7,60.2,63.7,61.9,286,2012
Rob Housler,6221,TE,ARZ,15,62.1,73.0,62.4,617,2012
Andre Roberts,5612,WR,ARZ,15,61.4,67.6,61.9,838,2012
Anthony Sherman,6288,FB,ARZ,13,61.2,60.1,65.2,234,2012
Pat McQuistan,3156,T,ARZ,3,64.6,54.3,66.3,140,2012
Michael Floyd,7019,WR,ARZ,16,63.1,,73.0,555,2012
Kevin Kolb,3652,QB,ARZ,6,68.1,,60.0,349,2012
Ryan Lindley,7174,QB,ARZ,6,37.2,,60.0,303,2012
John Skelton,5678,QB,ARZ,7,35.1,,60.0,315,2012
William Powell,6939,HB,ARZ,12,71.1,71.6,60.1,284,2012
LaRod Stephens-Howling,5164,HB,ARZ,14,69.5,68.2,45.7,338,2012
Early Doucet,4395,WR,ARZ,12,47.1,70.4,50.9,387,2012
Senio Kelemete,7144,G,ARZ,1,60.6,34.3,47.8,43,2012
Ryan Williams,6190,HB,ARZ,5,59.8,69.1,60.0,140,2012
Reagan Mauia,3797,FB,ARZ,3,59.6,77.7,59.8,45,2012
Todd Heap,801,TE,ARZ,2,76.3,28.2,61.7,81,2012
Beanie Wells,4954,HB,ARZ,8,57.6,35.0,60.1,150,2012
Jim Dray,5756,TE,ARZ,5,73.8,70.4,66.8,34,2012
Brian Hoyer,5277,QB,ARZ,2,47.3,,60.0,81,2012
Scott Wedige,7495,C,ARZ,2,64.2,78.5,60.0,16,2012
Alfonso Smith,5877,HB,ARZ,4,66.2,77.6,,17,2012
Kory Sperry,5369,TE,ARZ,1,49.7,67.4,59.4,22,2012
LaRon Byrd,7486,WR,ARZ,3,55.1,,60.1,11,2012
Mike Leach,750,LS,ARZ,1,60.0,67.6,,1,2012
Patrick Peterson,6157,CB,ARZ,7,67.4,,60.0,8,2012
Adrian Wilson,831,S,ARZ,1,60.0,,60.0,1,2012
Paul Fanaika,5137,G,ARZ,16,61.0,60.9,57.0,1084,2013
Lyle Sendlein,4062,C,ARZ,16,71.2,73.7,71.8,1084,2013
Eric Winston,3011,T,ARZ,16,64.6,63.7,68.5,1063,2013
Daryn Colledge,2992,G,ARZ,16,67.4,77.4,62.4,1027,2013
Bradley Sowell,7693,T,ARZ,14,50.1,47.8,50.1,825,2013
Jim Dray,5756,TE,ARZ,16,66.2,67.3,68.4,686,2013
Carson Palmer,1317,QB,ARZ,16,67.9,78.0,60.0,1081,2013
Larry Fitzgerald,1724,WR,ARZ,16,80.3,,88.7,998,2013
Michael Floyd,7019,WR,ARZ,16,82.1,48.6,78.8,930,2013
Rob Housler,6221,TE,ARZ,13,58.0,37.5,57.5,520,2013
Andre Roberts,5612,WR,ARZ,16,66.2,78.1,57.7,605,2013
Jake Ballard,5822,TE,ARZ,8,69.9,69.3,59.6,167,2013
Nate Potter,7205,T,ARZ,7,33.2,19.9,44.9,79,2013
Rashard Mendenhall,4337,HB,ARZ,15,65.1,75.3,57.8,459,2013
Stepfan Taylor,7922,HB,ARZ,13,77.4,89.4,65.0,131,2013
Bobby Massie,7112,T,ARZ,8,65.6,52.4,64.9,56,2013
Andre Ellington,7968,HB,ARZ,15,84.2,81.3,68.4,405,2013
Alfonso Smith,5877,HB,ARZ,14,51.8,85.6,56.7,131,2013
Kory Sperry,5369,TE,ARZ,7,57.9,49.1,54.8,51,2013
Jaron Brown,8128,WR,ARZ,16,67.8,,66.1,155,2013
D.C. Jefferson,8001,TE,ARZ,3,55.6,,58.5,16,2013
Patrick Peterson,6157,CB,ARZ,13,75.6,,60.2,38,2013
Brittan Golden,7481,WR,ARZ,5,74.0,,80.8,46,2013
Alameda Ta'amu,7109,DI,ARZ,2,59.1,68.5,58.0,3,2013
Bobby Massie,7112,T,ARZ,17,70.9,69.4,69.6,1104,2014
Lyle Sendlein,4062,C,ARZ,17,53.9,59.4,49.3,1104,2014
Jared Veldheer,5594,T,ARZ,17,83.2,87.9,72.7,1104,2014
Ted Larsen,5728,G,ARZ,17,63.3,64.2,67.7,1085,2014
Paul Fanaika,5137,G,ARZ,15,58.8,65.0,58.2,936,2014
John Carlson,4352,TE,ARZ,17,51.1,51.4,58.1,757,2014
Larry Fitzgerald,1724,WR,ARZ,15,77.2,68.7,84.9,897,2014
Michael Floyd,7019,WR,ARZ,17,69.6,77.4,92.3,985,2014
Rob Housler,6221,TE,ARZ,16,61.1,50.1,60.6,330,2014
Jonathan Cooper,7788,G,ARZ,7,64.9,71.1,59.4,184,2014
Darren Fells,8549,TE,ARZ,11,82.3,78.3,75.6,248,2014
John Brown,8726,WR,ARZ,17,69.3,,69.8,694,2014
Drew Stanton,3659,QB,ARZ,9,51.0,61.3,60.0,468,2014
Carson Palmer,1317,QB,ARZ,6,72.1,,60.2,409,2014
Robert Hughes,6564,HB,ARZ,16,64.2,62.2,59.5,153,2014
Ryan Lindley,7174,QB,ARZ,4,37.5,61.3,60.0,209,2014
Troy Niklas,8687,TE,ARZ,7,56.0,75.4,46.8,89,2014
Jaron Brown,8128,WR,ARZ,17,73.9,,67.8,207,2014
Andre Ellington,7968,HB,ARZ,12,55.1,81.2,59.7,528,2014
Stepfan Taylor,7922,HB,ARZ,15,61.7,73.8,60.0,221,2014
Marion Grice,8835,HB,ARZ,8,69.0,80.6,60.0,97,2014
Ted Ginn Jr.,3625,WR,ARZ,17,67.1,,61.7,154,2014
Kerwynn Williams,8013,HB,ARZ,5,58.5,88.5,59.6,106,2014
Jonathan Dwyer,5711,HB,ARZ,2,51.7,73.5,60.0,47,2014
Earl Watford,7898,G,ARZ,2,59.8,78.3,56.9,9,2014
Logan Thomas,8755,QB,ARZ,3,57.9,,60.0,18,2014
Jared Veldheer,5594,T,ARZ,18,80.1,79.0,74.1,1193,2015
Lyle Sendlein,4062,C,ARZ,17,61.9,62.4,60.0,1112,2015
Bobby Massie,7112,T,ARZ,16,70.1,61.8,79.1,1103,2015
Mike Iupati,5542,G,ARZ,15,80.2,67.6,80.3,938,2015
Ted Larsen,5728,G,ARZ,12,53.3,48.1,56.7,802,2015
Jonathan Cooper,7788,G,ARZ,11,63.7,63.3,61.4,635,2015
Darren Fells,8549,TE,ARZ,16,67.9,61.0,63.8,764,2015
Carson Palmer,1317,QB,ARZ,18,86.1,61.3,60.3,1161,2015
Larry Fitzgerald,1724,WR,ARZ,18,89.4,79.7,86.8,1104,2015
Jermaine Gresham,5546,TE,ARZ,17,73.4,64.0,81.1,613,2015
John Brown,8726,WR,ARZ,17,78.7,73.7,64.0,938,2015
Michael Floyd,7019,WR,ARZ,17,80.0,71.1,71.3,762,2015
Earl Watford,7898,G,ARZ,6,62.3,43.3,74.9,197,2015
A.Q. Shipley,5150,C,ARZ,12,74.7,78.3,71.6,155,2015
Troy Niklas,8687,TE,ARZ,16,65.6,60.3,60.3,178,2015
Jaron Brown,8128,WR,ARZ,18,62.7,84.2,84.5,288,2015
David Johnson,9519,HB,ARZ,18,71.5,59.8,60.0,527,2015
Stepfan Taylor,7922,HB,ARZ,11,57.2,90.5,58.2,77,2015
J.J. Nelson,9592,WR,ARZ,13,82.3,,72.3,170,2015
Chris Johnson,4338,HB,ARZ,11,47.4,59.3,73.5,364,2015
Andre Ellington,7968,HB,ARZ,12,66.2,41.7,75.9,222,2015
Bradley Sowell,7693,T,ARZ,5,62.9,81.9,55.8,33,2015
Drew Stanton,3659,QB,ARZ,7,62.2,,60.0,65,2015
Kerwynn Williams,8013,HB,ARZ,5,57.5,82.1,60.0,52,2015
Brittan Golden,7481,WR,ARZ,8,58.7,,83.5,21,2015
A.Q. Shipley,5150,C,ARZ,16,71.9,75.6,70.0,1148,2016
Mike Iupati,5542,G,ARZ,15,69.8,66.2,68.6,1035,2016
D.J. Humphries,9457,T,ARZ,13,68.3,61.8,75.6,922,2016
Earl Watford,7898,G,ARZ,13,49.6,38.2,56.2,788,2016
John Wetzel,8088,T,ARZ,14,58.9,53.3,62.0,647,2016
Jared Veldheer,5594,T,ARZ,8,76.5,78.0,71.8,578,2016
Jermaine Gresham,5546,TE,ARZ,16,63.8,49.3,66.5,835,2016
Larry Fitzgerald,1724,WR,ARZ,16,83.3,75.1,86.3,1052,2016
Carson Palmer,1317,QB,ARZ,15,73.4,60.9,61.1,1045,2016
Ulrick John,8866,T,ARZ,3,52.0,31.5,70.9,212,2016
Darren Fells,8549,TE,ARZ,14,63.0,80.1,68.5,371,2016
Evan Mathis,2296,G,ARZ,4,78.0,57.3,83.1,199,2016
John Brown,8726,WR,ARZ,15,71.4,,71.0,594,2016
Evan Boehm,10762,C,ARZ,5,57.5,68.2,56.6,122,2016
David Johnson,9519,HB,ARZ,16,79.9,71.0,72.2,964,2016
J.J. Nelson,9592,WR,ARZ,15,69.5,,70.1,472,2016
Taylor Boggs,6727,G,ARZ,3,48.7,30.1,56.5,99,2016
Jaron Brown,8128,WR,ARZ,7,66.1,85.3,69.6,191,2016
Drew Stanton,3659,QB,ARZ,5,47.0,,60.0,106,2016
Brittan Golden,7481,WR,ARZ,9,58.0,,76.7,155,2016
Troy Niklas,8687,TE,ARZ,3,47.0,72.1,60.7,63,2016
Hakeem Valles,10960,TE,ARZ,9,32.4,73.4,64.5,52,2016
Andre Ellington,7968,HB,ARZ,16,64.8,73.3,55.9,150,2016
