player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_offense,year
Cordy Glenn,7045,T,CIN,13,61.4,71.3,47.5,765,2018
Trey Hopkins,9276,C,CIN,12,60.0,72.8,53.0,589,2018
Billy Price,46795,C,CIN,10,55.6,66.0,57.3,558,2018
Andre Smith,4929,T,CIN,10,58.8,54.0,64.6,452,2018
C.J. Uzomah,9590,TE,CIN,16,56.8,56.3,65.8,839,2018
Tyler Boyd,10689,WR,CIN,14,84.5,,58.9,773,2018
John Ross,11764,WR,CIN,13,49.4,,44.3,602,2018
Andy Dalton,6187,QB,CIN,11,81.9,,60.4,627,2018
A.J. Green,6156,WR,CIN,9,85.2,,61.4,458,2018
Jeff Driskel,10841,QB,CIN,9,52.7,,60.0,372,2018
Alex Erickson,11107,WR,CIN,15,59.1,65.7,68.0,364,2018
Cody Core,10833,WR,CIN,14,53.9,,47.9,311,2018
Christian Westerman,10795,G,CIN,3,82.0,80.8,84.1,96,2018
Matt Lengel,9884,TE,CIN,11,63.6,72.8,63.5,132,2018
Tyler Kroft,9518,TE,CIN,5,55.2,39.1,61.4,117,2018
Joe Mixon,11803,HB,CIN,14,77.8,39.3,60.7,595,2018
Giovani Bernard,7818,HB,CIN,12,68.1,63.3,60.7,329,2018
Cedric Ogbuehi,9454,T,CIN,1,51.9,43.2,70.0,54,2018
Jake Fisher,9486,T,CIN,10,53.9,49.0,56.2,45,2018
Tyler Eifert,7802,TE,CIN,4,72.0,53.2,66.7,133,2018
Josh Malone,11883,WR,CIN,9,51.0,,58.6,68,2018
Auden Tate,48192,WR,CIN,6,53.5,,30.6,77,2018
Mason Schreck,12007,TE,CIN,3,30.5,69.6,59.4,22,2018
Mark Walton,45996,HB,CIN,9,51.3,60.1,60.0,94,2018
Sam Hubbard,48457,ED,CIN,7,62.0,75.2,62.2,12,2018
Jordan Franks,47206,TE,CIN,5,64.4,,60.4,17,2018
Brandon Wilson,11962,S,CIN,2,60.6,,60.3,2,2018
Hardy Nickerson,50712,LB,CIN,2,60.0,,60.3,2,2018
Vincent Rey,5811,LB,CIN,2,60.0,,60.0,2,2018
Clark Harris,3859,LS,CIN,2,60.0,,60.0,2,2018
Kevin Huber,5066,P,CIN,2,60.2,,60.3,2,2018
Preston Brown,8708,LB,CIN,1,60.0,,60.0,1,2018
Darius Phillips,49507,CB,CIN,1,60.0,,60.0,1,2018
Brandon Bell,50096,LB,CIN,1,60.0,,60.0,1,2018
Malik Jefferson,50884,LB,CIN,1,60.0,,60.0,1,2018
Chris Worley,51161,LB,CIN,1,60.0,,60.0,1,2018
Jordan Evans,11947,LB,CIN,1,60.0,,60.0,1,2018
Trey Hopkins,9276,C,CIN,16,62.4,71.5,57.2,1097,2019
Bobby Hart,9659,T,CIN,16,57.6,68.7,46.3,1086,2019
John Miller,9514,G,CIN,13,58.6,58.2,55.3,779,2019
Michael Jordan,28021,G,CIN,13,43.7,56.8,42.6,648,2019
Billy Price,46795,G,CIN,13,41.9,26.1,54.1,588,2019
John Jerry,5598,T,CIN,9,55.6,54.9,55.4,445,2019
C.J. Uzomah,9590,TE,CIN,16,49.4,55.8,47.4,644,2019
Tyler Boyd,10689,WR,CIN,16,73.0,65.3,69.9,978,2019
Cordy Glenn,7045,T,CIN,6,68.4,76.9,54.6,291,2019
Andy Dalton,6187,QB,CIN,13,66.5,60.9,60.0,908,2019
Auden Tate,48192,WR,CIN,12,70.5,81.3,59.9,647,2019
Alex Erickson,11107,WR,CIN,16,67.1,70.5,62.3,615,2019
Alex Redmond,11113,G,CIN,3,50.6,47.6,54.2,189,2019
Fred Johnson,46951,T,CIN,5,62.6,78.4,57.8,146,2019
John Ross,11764,WR,CIN,8,63.1,62.4,58.0,403,2019
Joe Mixon,11803,HB,CIN,16,75.3,64.6,67.0,653,2019
Tyler Eifert,7802,TE,CIN,16,65.7,79.6,47.0,491,2019
Giovani Bernard,7818,HB,CIN,16,51.8,76.1,59.5,443,2019
Ryan Finley,46426,QB,CIN,3,29.3,,60.0,190,2019
Stanley Morgan,48110,WR,CIN,10,45.2,72.5,63.3,143,2019
Cethan Carter,47149,TE,CIN,7,53.2,59.5,55.7,96,2019
Drew Sample,47259,TE,CIN,9,55.8,70.2,52.3,108,2019
Isaiah Prince,47019,T,CIN,3,45.6,32.0,62.0,71,2019
Damion Willis,61737,WR,CIN,9,52.2,,61.4,200,2019
Trenton Irwin,48080,WR,CIN,1,66.0,,81.9,9,2019
Trayveon Williams,45775,HB,CIN,4,60.4,,60.0,7,2019
Mason Schreck,12007,TE,CIN,2,60.0,,60.0,4,2019
B.W. Webb,7896,CB,CIN,1,60.0,,60.0,3,2019
Trey Hopkins,9276,C,CIN,15,63.8,64.3,62.1,938,2020
Bobby Hart,9659,T,CIN,14,66.3,60.8,68.5,872,2020
Michael Jordan,28021,G,CIN,11,55.7,40.8,63.4,731,2020
Quinton Spain,10110,G,CIN,12,56.7,44.8,62.4,720,2020
Jonah Williams,41651,T,CIN,10,70.1,75.8,53.4,634,2020
Fred Johnson,46951,T,CIN,11,48.4,47.4,49.1,491,2020
Alex Redmond,11113,G,CIN,7,61.5,47.3,70.5,448,2020
Drew Sample,47259,TE,CIN,16,61.4,72.6,72.1,868,2020
Xavier Su'a-Filo,8668,G,CIN,6,59.1,74.8,52.1,293,2020
A.J. Green,6156,WR,CIN,16,66.3,,62.6,820,2020
Tee Higgins,61211,WR,CIN,16,75.9,79.6,49.8,806,2020
Hakeem Adeniji,45419,T,CIN,9,51.6,53.6,53.3,233,2020
Joe Burrow,28022,QB,CIN,10,75.1,,60.0,710,2020
Billy Price,46795,C,CIN,5,50.7,29.4,68.2,208,2020
Tyler Boyd,10689,WR,CIN,15,75.8,62.2,69.1,746,2020
Cethan Carter,47149,TE,CIN,15,52.8,80.9,60.9,223,2020
Brandon Allen,10835,QB,CIN,5,56.5,60.9,60.0,277,2020
Giovani Bernard,7818,HB,CIN,16,63.4,73.0,68.7,517,2020
Mike Thomas,10840,WR,CIN,14,55.2,,52.1,229,2020
Alex Erickson,11107,WR,CIN,14,53.4,,65.2,198,2020
Auden Tate,48192,WR,CIN,9,73.4,68.6,77.6,171,2020
Samaje Perine,11869,HB,CIN,13,76.7,59.2,55.5,209,2020
Ryan Finley,46426,QB,CIN,5,62.0,,60.0,90,2020
Joe Mixon,11803,HB,CIN,6,65.3,60.6,59.0,291,2020
C.J. Uzomah,9590,TE,CIN,2,58.8,75.3,54.9,96,2020
John Ross,11764,WR,CIN,3,48.2,62.3,59.8,86,2020
Mason Schreck,12007,TE,CIN,11,49.9,64.9,75.1,30,2020
Stanley Morgan,48110,WR,CIN,5,63.1,,73.0,19,2020
Trayveon Williams,45775,HB,CIN,6,67.2,69.7,60.0,59,2020
Deion Calhoun,46676,G,CIN,1,29.8,30.6,54.4,11,2020
Germaine Pratt,29407,LB,CIN,2,60.0,,60.0,2,2020
Logan Wilson,29623,LB,CIN,2,60.0,,60.0,2,2020
Kevin Huber,5066,P,CIN,2,60.0,,60.0,2,2020
Brandon Wilson,11962,S,CIN,2,59.2,,60.0,2,2020
Akeem Davis-Gaither,34788,LB,CIN,2,60.0,,60.0,2,2020
Jordan Evans,11947,LB,CIN,2,60.0,,60.0,2,2020
Clark Harris,3859,LS,CIN,2,60.0,,60.0,2,2020
Jalen Davis,50431,CB,CIN,1,60.0,,60.0,1,2020
Jonah Williams,41651,T,CIN,20,74.5,67.5,75.6,1301,2021
Quinton Spain,10110,G,CIN,20,66.4,56.2,69.4,1252,2021
Trey Hopkins,9276,C,CIN,19,51.9,60.5,47.6,1185,2021
Hakeem Adeniji,45419,G,CIN,13,43.0,36.1,46.3,777,2021
Riley Reiff,7029,T,CIN,12,67.3,58.4,70.0,711,2021
Isaiah Prince,47019,T,CIN,19,47.2,39.7,67.3,641,2021
Jackson Carman,52575,G,CIN,14,54.2,45.9,64.1,501,2021
Joe Burrow,28022,QB,CIN,20,91.8,61.3,60.0,1263,2021
Drew Sample,47259,TE,CIN,21,56.1,73.4,61.5,575,2021
Ja'Marr Chase,84270,WR,CIN,21,85.3,,56.3,1186,2021
C.J. Uzomah,9590,TE,CIN,20,63.6,70.6,60.0,965,2021
Tyler Boyd,10689,WR,CIN,20,70.8,68.6,62.4,1020,2021
Tee Higgins,61211,WR,CIN,18,83.4,62.2,67.5,942,2021
Trey Hill,81653,C,CIN,7,53.3,65.3,54.5,210,2021
Xavier Su'a-Filo,8668,G,CIN,2,50.0,52.0,49.0,124,2021
Joe Mixon,11803,HB,CIN,20,79.2,37.3,56.4,886,2021
Fred Johnson,46951,T,CIN,5,81.0,61.3,83.6,90,2021
Stanley Morgan,48110,WR,CIN,12,55.2,67.5,69.3,135,2021
Auden Tate,48192,WR,CIN,7,69.6,62.3,54.8,115,2021
Mike Thomas,10840,WR,CIN,15,62.3,62.3,70.0,154,2021
D'Ante Smith,41497,T,CIN,4,52.3,43.1,55.6,62,2021
Mitchell Wilcox,47234,TE,CIN,17,44.2,74.5,45.2,104,2021
Samaje Perine,11869,HB,CIN,19,60.1,42.3,43.1,333,2021
Brandon Allen,10835,QB,CIN,6,42.3,,60.0,92,2021
Trenton Irwin,48080,WR,CIN,7,58.3,,86.0,83,2021
Keaton Sutherland,46035,C,CIN,1,60.3,80.1,55.4,17,2021
Chris Evans,27303,HB,CIN,15,75.6,84.1,60.0,107,2021
Trent Taylor,11932,WR,CIN,4,69.5,66.2,56.1,36,2021
Trayveon Williams,45775,HB,CIN,2,68.4,,60.0,36,2021
Mike Hilton,10898,CB,CIN,1,60.0,,60.0,2,2021
Zach Kerr,9195,DI,CIN,1,60.0,63.8,,1,2021
Cordell Volson,30614,G,CIN,19,53.7,52.7,55.0,1305,2022
Ted Karras,10855,C,CIN,19,65.1,76.1,58.7,1298,2022
Jonah Williams,41651,T,CIN,17,61.0,62.8,51.0,1131,2022
Alex Cappa,66578,G,CIN,16,67.6,71.4,62.3,1086,2022
La'el Collins,9719,T,CIN,15,57.9,44.2,73.5,951,2022
Hakeem Adeniji,45419,T,CIN,16,46.9,36.2,58.9,418,2022
Joe Burrow,28022,QB,CIN,19,92.0,,60.0,1289,2022
Mitchell Wilcox,47234,TE,CIN,19,55.7,72.1,60.1,566,2022
Ja'Marr Chase,84270,WR,CIN,15,83.9,,56.3,983,2022
Tee Higgins,61211,WR,CIN,19,78.4,22.3,51.9,929,2022
Tyler Boyd,10689,WR,CIN,19,70.2,54.6,47.2,918,2022
Max Scharping,46961,G,CIN,6,43.4,37.4,48.5,228,2022
Jackson Carman,52575,T,CIN,4,58.3,67.2,48.9,172,2022
Hayden Hurst,47294,TE,CIN,16,64.5,41.0,58.7,675,2022
Devin Asiasi,40294,TE,CIN,14,45.9,58.6,53.7,200,2022
Samaje Perine,11869,HB,CIN,19,72.9,73.8,55.5,556,2022
Joe Mixon,11803,HB,CIN,17,80.8,34.9,56.9,713,2022
Trenton Irwin,48080,WR,CIN,12,63.6,,31.7,361,2022
Mike Thomas,10840,WR,CIN,10,49.2,,68.7,198,2022
Stanley Morgan,48110,WR,CIN,17,65.3,68.1,84.7,85,2022
Trent Taylor,11932,WR,CIN,16,53.8,65.7,67.1,151,2022
Drew Sample,47259,TE,CIN,2,52.3,56.4,54.0,39,2022
D'Ante Smith,41497,T,CIN,4,68.2,70.1,64.1,15,2022
Trayveon Williams,45775,HB,CIN,6,82.3,80.9,60.0,37,2022
Brandon Allen,10835,QB,CIN,1,74.9,,60.0,16,2022
Trey Hill,81653,C,CIN,1,57.0,68.2,53.0,7,2022
Kwamie Lassiter II,23226,WR,CIN,1,55.6,,60.0,8,2022
Chris Evans,27303,HB,CIN,8,72.5,77.5,60.0,18,2022
Mike Hilton,10898,CB,CIN,1,60.0,,60.0,2,2022
Jonah Williams,41651,T,CIN,17,58.5,57.9,54.0,1087,2023
Cordell Volson,30614,G,CIN,17,58.3,46.7,64.0,1087,2023
Ted Karras,10855,C,CIN,17,67.4,69.6,64.2,1075,2023
Alex Cappa,66578,G,CIN,17,64.9,58.6,67.3,1066,2023
Orlando Brown Jr.,46227,T,CIN,17,66.1,66.6,57.1,1058,2023
Drew Sample,47259,TE,CIN,17,60.0,68.1,61.5,496,2023
Ja'Marr Chase,84270,WR,CIN,16,85.3,,45.1,889,2023
Tyler Boyd,10689,WR,CIN,17,59.5,66.2,30.4,824,2023
Joe Burrow,28022,QB,CIN,10,77.9,,60.0,602,2023
Mitchell Wilcox,47234,TE,CIN,17,46.7,74.0,45.8,229,2023
Jake Browning,46401,QB,CIN,9,79.3,60.9,60.0,468,2023
Tee Higgins,61211,WR,CIN,12,72.1,65.7,66.8,573,2023
Trenton Irwin,48080,WR,CIN,16,57.0,59.1,31.0,429,2023
Andrei Iosivas,109811,WR,CIN,16,61.2,,54.5,266,2023
Joe Mixon,11803,HB,CIN,17,71.1,29.7,59.9,751,2023
Irv Smith Jr.,42060,TE,CIN,12,44.2,53.6,53.8,330,2023
Cody Ford,39805,G,CIN,12,53.9,41.5,58.1,78,2023
Trayveon Williams,45775,HB,CIN,17,58.9,75.1,52.5,156,2023
Tanner Hudson,66924,TE,CIN,12,73.0,52.2,74.5,276,2023
Max Scharping,46961,C,CIN,2,78.1,77.9,78.2,13,2023
Chase Brown,77787,HB,CIN,11,63.9,26.7,58.7,93,2023
Charlie Jones,55038,WR,CIN,8,65.8,,37.6,44,2023
Jackson Carman,52575,T,CIN,1,56.6,48.5,57.7,12,2023
A.J. McCarron,8799,QB,CIN,2,59.0,,60.0,17,2023
Chris Evans,27303,HB,CIN,7,51.9,13.6,60.0,24,2023
Kwamie Lassiter II,23226,WR,CIN,1,58.4,,60.0,5,2023
Shedrick Jackson,84136,WR,CIN,1,60.7,65.4,59.4,5,2023
Stanley Morgan,48110,WR,CIN,1,54.5,,60.0,4,2023
Cordell Volson,30614,G,CIN,10,58.9,51.4,63.5,632,2024
Alex Cappa,66578,G,CIN,10,54.2,52.3,53.6,632,2024
Ted Karras,10855,C,CIN,10,61.2,77.0,50.5,632,2024
Amarius Mims,146719,T,CIN,8,56.8,57.0,54.3,473,2024
Orlando Brown Jr.,46227,T,CIN,8,67.7,82.5,50.4,411,2024
Cody Ford,39805,T,CIN,8,50.0,47.4,50.0,267,2024
Drew Sample,47259,TE,CIN,10,45.8,58.1,49.6,325,2024
Joe Burrow,28022,QB,CIN,10,90.3,,60.1,628,2024
Andrei Iosivas,109811,WR,CIN,10,51.7,65.7,38.9,512,2024
Ja'Marr Chase,84270,WR,CIN,10,83.7,,64.5,568,2024
Trent Brown,9677,T,CIN,3,65.2,64.2,68.4,139,2024
Erick All,52595,TE,CIN,9,59.9,77.7,47.6,231,2024
Tee Higgins,61211,WR,CIN,5,85.3,,60.6,236,2024
Zack Moss,40341,HB,CIN,8,58.2,50.6,60.0,297,2024
Mike Gesicki,47153,TE,CIN,10,71.0,69.9,46.9,282,2024
Trenton Irwin,48080,WR,CIN,6,45.6,68.9,45.7,121,2024
Chase Brown,77787,HB,CIN,10,68.7,36.8,60.1,316,2024
Tanner Hudson,66924,TE,CIN,6,60.3,60.7,54.8,75,2024
Jermaine Burton,124017,WR,CIN,8,64.0,,62.2,88,2024
Matt Lee,98544,C,CIN,4,61.2,68.3,59.7,11,2024
Khalil Herbert,41668,HB,CIN,6,57.7,71.4,60.0,29,2024
Charlie Jones,55038,WR,CIN,7,51.6,,53.7,26,2024
Kendric Pryor,40408,WR,CIN,1,65.2,,60.2,18,2024
Trayveon Williams,45775,HB,CIN,2,43.1,15.4,60.0,8,2024
Sam Hubbard,48457,ED,CIN,3,61.1,68.3,60.0,4,2024
Jaxson Kirkland,60215,T,CIN,1,49.3,,50.3,3,2024
Kendall Milton,124031,HB,CIN,1,60.6,73.5,60.0,5,2024
Jake Browning,46401,QB,CIN,2,60.0,,60.0,4,2024
Cam Grandy,134552,TE,CIN,1,67.7,,69.1,4,2024
Devin Cochran,41198,T,CIN,1,60.0,68.8,,1,2024
Andrew Stueber,59856,T,CIN,1,60.0,,60.0,1,2024
Kevin Shaffer,1206,T,CLV,16,76.8,80.7,68.1,976,2006
Hank Fraley,725,C,CLV,16,59.9,80.9,54.6,976,2006
Cosey Coleman,620,G,CLV,15,66.3,69.7,60.7,830,2006
Joe Andruzzi,296,G,CLV,14,64.9,74.5,57.5,744,2006
Ryan Tucker,273,T,CLV,9,71.0,65.1,70.7,507,2006
Kellen Winslow,1727,TE,CLV,16,69.3,75.7,40.0,914,2006
Kelly Butler,1890,T,CLV,6,58.1,68.0,45.6,345,2006
Braylon Edwards,2220,WR,CLV,16,67.4,,74.0,932,2006
Lennie Friedman,477,G,CLV,14,58.7,75.1,49.7,313,2006
Charlie Frye,2284,QB,CLV,13,49.5,62.2,60.1,780,2006
Steve Heiden,481,TE,CLV,16,79.0,77.3,74.0,434,2006
Terrelle Smith,651,FB,CLV,16,57.3,84.5,64.5,360,2006
Joe Jurevicius,365,WR,CLV,13,73.8,,77.9,538,2006
Reuben Droughns,640,HB,CLV,14,50.2,45.7,63.0,594,2006
Nat Dorsey,1836,T,CLV,3,64.1,62.0,62.6,95,2006
Jerome Harrison,3090,HB,CLV,10,55.6,76.6,60.0,187,2006
Dennis Northcutt,605,WR,CLV,13,52.9,,67.7,346,2006
Rob Smith,3510,G,CLV,1,29.2,46.1,28.8,69,2006
Derek Anderson,2430,QB,CLV,5,40.9,72.2,60.3,194,2006
Jason Wright,2212,HB,CLV,9,48.5,62.4,58.8,177,2006
Darnell Dinkins,1236,TE,CLV,13,60.1,71.7,63.7,79,2006
Isaac Sowells,3057,G,CLV,1,54.1,49.9,54.4,29,2006
Lawrence Vickers,3125,FB,CLV,11,55.7,81.1,56.3,52,2006
Travis Wilson,3023,WR,CLV,4,56.7,,57.3,99,2006
Joshua Cribbs,2544,WR,CLV,15,47.0,46.5,76.4,164,2006
Joe Thomas,3619,T,CLV,16,84.9,90.2,74.8,1040,2007
Hank Fraley,725,C,CLV,16,77.8,83.3,72.7,1040,2007
Eric Steinbach,1349,G,CLV,16,72.7,79.1,69.9,1037,2007
Kevin Shaffer,1206,T,CLV,16,71.1,80.7,59.9,928,2007
Ryan Tucker,273,G,CLV,12,71.8,79.4,71.7,640,2007
Seth McKinney,1093,G,CLV,8,63.7,83.9,56.6,473,2007
Braylon Edwards,2220,WR,CLV,16,78.5,,62.0,1015,2007
Derek Anderson,2430,QB,CLV,16,64.4,,60.3,1005,2007
Steve Heiden,481,TE,CLV,16,64.3,79.6,72.6,572,2007
Kellen Winslow,1727,TE,CLV,16,76.4,79.0,59.0,903,2007
Lawrence Vickers,3125,FB,CLV,16,60.9,47.2,80.8,494,2007
Joe Jurevicius,365,WR,CLV,16,70.6,72.7,78.1,714,2007
Jason Wright,2212,HB,CLV,16,71.8,80.2,57.4,399,2007
Jamal Lewis,583,HB,CLV,15,59.9,56.7,60.3,590,2007
Tim Carter,1053,WR,CLV,16,49.3,,56.5,367,2007
Lennie Friedman,477,G,CLV,8,50.5,24.3,56.9,56,2007
Joshua Cribbs,2544,WR,CLV,16,65.7,,83.6,62,2007
Charles Ali,4187,FB,CLV,4,60.0,,60.1,13,2007
Darnell Dinkins,1236,TE,CLV,4,55.6,,55.7,12,2007
Jerome Harrison,3090,HB,CLV,5,91.1,78.3,66.1,44,2007
Brady Quinn,3638,QB,CLV,1,75.7,,60.0,10,2007
Nat Dorsey,1836,G,CLV,1,60.0,,60.0,1,2007
Hank Fraley,725,C,CLV,16,68.1,78.6,63.6,959,2008
Joe Thomas,3619,T,CLV,16,88.1,84.3,86.6,959,2008
Rex Hadnot,1892,G,CLV,15,76.7,72.6,78.1,912,2008
Kevin Shaffer,1206,T,CLV,15,78.8,68.9,82.5,871,2008
Eric Steinbach,1349,G,CLV,14,67.1,70.5,66.0,800,2008
Braylon Edwards,2220,WR,CLV,16,60.4,,80.6,926,2008
Steve Heiden,481,TE,CLV,14,80.9,73.7,94.0,560,2008
Derek Anderson,2430,QB,CLV,10,55.9,,60.9,561,2008
Seth McKinney,1093,G,CLV,5,68.6,59.8,76.9,206,2008
Lawrence Vickers,3125,FB,CLV,12,73.4,61.8,82.3,304,2008
Kellen Winslow,1727,TE,CLV,10,66.4,73.5,57.2,458,2008
Donte' Stallworth,1020,WR,CLV,11,47.1,,66.2,489,2008
Syndric Steptoe,3850,WR,CLV,16,46.7,70.3,85.6,498,2008
Darnell Dinkins,1236,TE,CLV,12,66.0,53.1,89.5,178,2008
Jamal Lewis,583,HB,CLV,16,45.4,53.5,57.3,555,2008
Charles Ali,4187,FB,CLV,10,72.0,76.6,75.7,126,2008
Jason Wright,2212,HB,CLV,15,57.5,73.2,69.4,291,2008
Brady Quinn,3638,QB,CLV,3,59.2,,60.3,167,2008
Ken Dorsey,1535,QB,CLV,4,48.0,,62.5,172,2008
Ryan Tucker,273,G,CLV,1,75.9,81.0,70.2,62,2008
Joshua Cribbs,2544,WR,CLV,15,62.8,25.2,91.6,151,2008
Bruce Gradkowski,3139,QB,CLV,2,36.9,60.9,61.4,59,2008
Isaac Sowells,3057,G,CLV,1,62.6,76.7,55.3,26,2008
Martin Rucker,4425,TE,CLV,4,53.6,73.0,52.2,55,2008
Brad Cieslak,2533,TE,CLV,1,66.2,75.4,65.5,26,2008
Steve Sanders,4189,WR,CLV,5,55.1,,59.7,55,2008
Jerome Harrison,3090,HB,CLV,15,70.4,63.5,60.2,109,2008
Scott Young,2389,G,CLV,1,62.2,8.7,68.7,14,2008
John Madsen,3408,TE,CLV,2,32.8,,59.7,6,2008
Alex Mack,4944,C,CLV,16,82.4,81.2,81.3,991,2009
Joe Thomas,3619,T,CLV,16,92.9,89.3,92.1,991,2009
Eric Steinbach,1349,G,CLV,16,62.9,61.6,63.3,991,2009
John St. Clair,649,T,CLV,14,78.5,70.5,82.6,805,2009
Floyd Womack,875,G,CLV,13,68.7,59.1,72.3,588,2009
Robert Royal,1151,TE,CLV,13,57.1,75.3,75.9,614,2009
Mohamed Massaquoi,4973,WR,CLV,16,66.9,,79.1,766,2009
Hank Fraley,725,G,CLV,14,75.8,76.8,71.9,338,2009
Lawrence Vickers,3125,FB,CLV,16,68.8,54.7,83.5,386,2009
Rex Hadnot,1892,G,CLV,9,85.1,84.4,82.8,287,2009
Derek Anderson,2430,QB,CLV,8,49.4,,64.4,456,2009
Brady Quinn,3638,QB,CLV,10,54.4,,63.5,533,2009
Michael Gaines,1946,TE,CLV,10,74.3,33.0,73.2,240,2009
Chansi Stuckey,3851,WR,CLV,15,57.0,,69.6,492,2009
Joshua Cribbs,2544,WR,CLV,16,63.8,,90.9,381,2009
Steve Heiden,481,TE,CLV,7,71.2,77.8,86.0,256,2009
Jerome Harrison,3090,HB,CLV,14,47.8,61.1,67.9,527,2009
Jamal Lewis,583,HB,CLV,9,48.8,76.2,67.6,296,2009
Mike Furrey,726,WR,CLV,13,52.1,,58.1,310,2009
Greg Estandia,3597,TE,CLV,6,50.5,74.6,68.8,162,2009
Brian Robiskie,4959,WR,CLV,10,56.3,,59.8,212,2009
Evan Moore,4771,TE,CLV,5,71.6,70.1,80.2,110,2009
Chris Jennings,5480,HB,CLV,9,56.2,77.1,59.6,125,2009
James Davis,5119,HB,CLV,2,56.2,75.3,60.0,27,2009
Jake Allen,4709,WR,CLV,3,53.5,,60.3,18,2009
Billy Yates,1721,G,CLV,1,60.0,70.6,,2,2009
Alex Mack,4944,C,CLV,16,76.2,78.9,74.7,958,2010
Eric Steinbach,1349,G,CLV,16,70.7,67.5,66.2,958,2010
Joe Thomas,3619,T,CLV,16,82.2,81.7,74.7,958,2010
Floyd Womack,875,G,CLV,15,62.7,70.2,56.7,888,2010
John St. Clair,649,T,CLV,10,65.8,61.5,72.9,548,2010
Benjamin Watson,1753,TE,CLV,16,76.5,70.9,79.6,916,2010
Lawrence Vickers,3125,FB,CLV,16,56.9,21.3,72.0,382,2010
Mohamed Massaquoi,4973,WR,CLV,15,62.3,68.1,67.0,735,2010
Robert Royal,1151,TE,CLV,15,77.4,71.4,81.8,299,2010
Tony Pashos,1478,T,CLV,5,58.9,55.8,61.5,242,2010
Brian Robiskie,4959,WR,CLV,14,59.6,62.3,77.9,536,2010
Colt McCoy,5609,QB,CLV,8,75.0,,60.8,452,2010
Peyton Hillis,4541,HB,CLV,16,74.2,78.3,56.1,764,2010
Joshua Cribbs,2544,WR,CLV,14,62.0,,74.2,345,2010
Billy Yates,1721,G,CLV,8,68.0,86.1,61.0,136,2010
Shawn Lauvao,5616,G,CLV,5,48.2,61.7,41.1,113,2010
Seneca Wallace,1422,QB,CLV,8,66.2,,63.7,224,2010
Jake Delhomme,303,QB,CLV,5,53.3,,60.8,276,2010
Chansi Stuckey,3851,WR,CLV,16,61.8,,64.5,386,2010
Mike Bell,3225,HB,CLV,14,45.6,38.0,64.4,145,2010
Evan Moore,4771,TE,CLV,12,68.1,69.3,54.1,186,2010
Alex Smith,2288,TE,CLV,2,71.1,75.2,81.7,25,2010
Demetrius Williams,3056,WR,CLV,2,41.5,,60.0,16,2010
Carlton Mitchell,5700,WR,CLV,3,64.6,,60.1,12,2010
Sam Aiken,1439,WR,CLV,3,60.0,,60.1,6,2010
Yamon Figurs,3690,WR,CLV,2,65.8,,60.0,5,2010
Alex Mack,4944,C,CLV,16,74.6,83.5,69.0,1063,2011
Joe Thomas,3619,T,CLV,16,77.3,86.9,61.6,1063,2011
Jason Pinkston,6302,G,CLV,16,61.1,65.6,58.2,1063,2011
Shawn Lauvao,5616,G,CLV,16,67.7,63.4,72.0,1013,2011
Tony Pashos,1478,T,CLV,12,73.7,76.6,69.7,781,2011
Greg Little,6211,WR,CLV,16,58.7,,62.5,962,2011
Benjamin Watson,1753,TE,CLV,13,63.9,80.4,63.5,662,2011
Colt McCoy,5609,QB,CLV,13,56.2,61.3,60.3,876,2011
Mohamed Massaquoi,4973,WR,CLV,14,57.9,,58.0,636,2011
Artis Hicks,1254,G,CLV,6,57.3,49.0,75.3,191,2011
Alex Smith,2288,TE,CLV,14,68.5,60.2,70.8,305,2011
Joshua Cribbs,2544,WR,CLV,16,73.2,70.4,63.4,557,2011
Owen Marecic,6276,FB,CLV,14,54.9,46.2,68.5,255,2011
Evan Moore,4771,TE,CLV,16,73.0,58.2,58.6,332,2011
Chris Ogbonnaya,5135,HB,CLV,13,54.2,58.6,66.9,328,2011
Oniel Cousins,4413,G,CLV,3,41.6,17.6,64.1,92,2011
Peyton Hillis,4541,HB,CLV,10,65.8,63.2,58.0,462,2011
Seneca Wallace,1422,QB,CLV,6,62.4,,60.0,190,2011
Jordan Norwood,5358,WR,CLV,14,66.7,,59.7,245,2011
Montario Hardesty,5584,HB,CLV,10,51.2,45.3,49.0,268,2011
John Greco,4379,G,CLV,2,77.0,77.6,72.5,51,2011
Dan Gronkowski,5179,TE,CLV,6,55.2,46.4,78.2,54,2011
Eddie Williams,5145,FB,CLV,3,53.6,77.3,51.8,36,2011
Jordan Cameron,6254,TE,CLV,6,56.2,72.6,59.4,59,2011
Carlton Mitchell,5700,WR,CLV,6,59.0,,60.3,42,2011
Thomas Clayton,3802,HB,CLV,3,49.3,35.2,,20,2011
Armond Smith,6824,HB,CLV,2,56.5,,60.0,8,2011
Joe Thomas,3619,T,CLV,16,80.1,88.5,62.6,1031,2012
Mitchell Schwartz,7041,T,CLV,16,72.3,73.8,67.0,1031,2012
Alex Mack,4944,C,CLV,16,79.7,78.2,82.3,1031,2012
Shawn Lauvao,5616,G,CLV,16,62.9,65.9,61.8,1031,2012
John Greco,4379,G,CLV,13,77.6,69.9,82.7,691,2012
Benjamin Watson,1753,TE,CLV,16,73.1,70.3,64.5,853,2012
Brandon Weeden,7028,QB,CLV,15,50.1,,60.7,929,2012
Jason Pinkston,6302,G,CLV,6,70.2,65.5,69.1,332,2012
