Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Terry McLaurin,#17,WR,17.0,128.0,79.0,61.7,"1,002",12.7,4.0,75.1,74.5,84.3,82.1,-,676.0,643.0,95.1,0.0,0.0,103.0,15.2,572.0,84.6,1.0,0.1,356.0,4.5,1.56,12.2,48.0,4.0,4.8,26.0,13.0,50.0,4.0,0.0,7.0,47.0,83.5,0 (0)
Brian Robinson,#08,HB,15.0,40.0,36.0,90.0,367,10.2,4.0,75.3,71.4,63.4,38.0,61.9,298.0,219.0,73.5,68.0,22.8,14.0,4.7,2.0,0.7,1.0,0.3,412.0,11.4,1.68,-1.2,51.0,3.0,7.7,1.0,1.0,100.0,0.0,1.0,10.0,15.0,138.2,0 (0)
Jamison Crowder,#83,WR,12.0,20.0,16.0,80.0,159,9.9,1.0,70.5,70.8,66.7,58.8,-,96.0,91.0,94.8,0.0,0.0,84.0,87.5,11.0,11.5,0.0,0.0,82.0,5.1,1.75,6.5,26.0,1.0,5.9,2.0,2.0,100.0,0.0,0.0,2.0,8.0,116.5,0 (0)
Curtis Samuel,#04,WR,16.0,85.0,62.0,72.9,613,9.9,4.0,69.7,70.4,71.3,81.7,75.0,430.0,402.0,93.5,3.0,0.7,302.0,70.2,114.0,26.5,4.0,0.9,265.0,4.3,1.52,7.1,37.0,4.0,6.1,18.0,9.0,50.0,4.0,0.0,6.0,26.0,89.0,2 (2)
Byron Pringle,#03,WR,16.0,21.0,14.0,66.7,161,11.5,0.0,67.9,69.0,80.6,26.3,61.6,112.0,104.0,92.9,1.0,0.9,56.0,50.0,55.0,49.1,1.0,0.9,34.0,2.4,1.55,13.3,26.0,0.0,0.0,3.0,2.0,66.7,1.0,0.0,0.0,7.0,69.7,1 (0)
Antonio Gibson,#24,HB,16.0,57.0,48.0,84.2,389,8.1,2.0,66.6,64.5,63.0,25.8,71.9,404.0,318.0,78.7,72.0,17.8,11.0,2.7,22.0,5.4,7.0,1.7,392.0,8.2,1.22,-0.3,41.0,4.0,7.7,3.0,2.0,66.7,1.0,2.0,12.0,19.0,99.5,1 (0)
Cole Turner,#85,TE,12.0,15.0,11.0,73.3,120,10.9,0.0,64.7,62.1,60.2,71.5,17.1,90.0,83.0,92.2,2.0,2.2,42.0,46.7,25.0,27.8,23.0,25.6,51.0,4.6,1.45,7.6,29.0,1.0,8.3,4.0,3.0,75.0,0.0,0.0,2.0,4.0,96.5,0 (0)
Sam Howell,#14,QB,17.0,1.0,1.0,100.0,4,4.0,0.0,60.2,62.0,64.7,81.3,-,751.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,83.3,3 (0)
Alex Armah,#40,FB,7.0,3.0,3.0,100.0,13,4.3,0.0,56.4,59.8,70.5,65.8,74.1,18.0,16.0,88.9,1.0,5.6,2.0,11.1,1.0,5.6,4.0,22.2,27.0,9.0,0.81,-4.7,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,84.7,0 (0)
Dyami Brown,#02,WR,17.0,23.0,12.0,52.2,168,14.0,1.0,59.0,58.6,45.7,72.9,-,178.0,166.0,93.3,0.0,0.0,58.0,32.6,120.0,67.4,0.0,0.0,77.0,6.4,1.01,16.9,35.0,2.0,14.3,4.0,2.0,50.0,2.0,0.0,1.0,8.0,54.3,1 (0)
