Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Cornelius Lucas,#78,T,9.0,231,0.0,152.0,0.0,79.0,62.8,-,73.6,-,49.7,1 (0),washington-commanders
Tyler Larsen,#69,C,7.0,466,0.0,325.0,0.0,141.0,50.3,-,28.7,-,60.9,0 (0),washington-commanders
Logan Thomas,#82,TE,16.0,732,539.0,29.0,2.0,162.0,57.1,56.1,73.9,61.7,60.2,4 (0),washington-commanders
Jamison Crowder,#83,WR,12.0,139,96.0,0.0,0.0,43.0,70.5,70.8,-,-,51.4,0 (0),washington-commanders
Jonathan Williams,#18,HB,1.0,14,8.0,4.0,1.0,1.0,59.0,53.1,82.1,59.7,60.0,0 (0),washington-commanders
Jacoby Brissett,#12,QB,3.0,46,29.0,0.0,1.0,16.0,84.6,79.4,-,75.0,60.0,0 (0),washington-commanders
Curtis Samuel,#04,WR,16.0,571,427.0,3.0,8.0,133.0,69.7,70.4,75.0,67.3,49.5,2 (2),washington-commanders
Alex Armah,#40,FB,7.0,48,17.0,1.0,0.0,30.0,56.4,59.8,74.1,-,52.6,0 (0),washington-commanders
Andrew Wylie,#71,T,15.0,977,0.0,693.0,0.0,284.0,69.2,-,67.5,-,66.1,4 (1),washington-commanders
Byron Pringle,#03,WR,16.0,183,111.0,1.0,0.0,71.0,67.9,69.0,61.6,-,57.7,1 (0),washington-commanders
Nick Gates,#63,C,12.0,641,0.0,455.0,0.0,186.0,66.1,-,61.4,-,70.9,4 (0),washington-commanders
Terry McLaurin,#17,WR,17.0,941,676.0,0.0,0.0,265.0,75.1,74.5,-,-,57.6,0 (0),washington-commanders
Derrick Gore,#38,HB,5.0,24,12.0,7.0,3.0,2.0,54.8,53.7,83.7,51.6,59.5,0 (0),washington-commanders
Julian Good-Jones,#61,G,1.0,2,0.0,1.0,0.0,1.0,67.7,-,67.4,-,67.1,0 (0),washington-commanders
Antonio Gibson,#24,HB,16.0,473,332.0,72.0,64.0,5.0,66.6,64.5,71.9,68.4,59.7,1 (0),washington-commanders
Saahdiq Charles,#77,G,11.0,643,0.0,455.0,0.0,188.0,55.5,-,53.9,-,55.4,3 (0),washington-commanders
Dyami Brown,#02,WR,17.0,254,178.0,0.0,1.0,75.0,59.0,58.6,-,56.2,63.1,1 (0),washington-commanders
John Bates,#87,TE,17.0,500,213.0,65.0,0.0,222.0,51.8,47.4,79.0,-,60.0,4 (0),washington-commanders
Sam Howell,#14,QB,17.0,"1,061",751.0,0.0,16.0,294.0,60.2,57.6,-,71.5,60.1,3 (0),washington-commanders
Cole Turner,#85,TE,12.0,142,88.0,2.0,0.0,52.0,64.7,62.1,17.1,-,68.3,0 (0),washington-commanders
Chris Paul,#75,G,7.0,439,0.0,307.0,0.0,132.0,38.8,-,27.8,-,45.1,1 (0),washington-commanders
Jahan Dotson,#01,WR,17.0,910,674.0,1.0,0.0,235.0,57.7,58.5,66.1,-,41.8,3 (2),washington-commanders
Brian Robinson,#08,HB,15.0,496,230.0,68.0,180.0,18.0,75.3,71.4,61.9,73.7,65.5,0 (0),washington-commanders
Mitchell Tinsley,#86,WR,1.0,3,2.0,0.0,0.0,1.0,56.8,58.0,-,-,60.0,0 (0),washington-commanders
Ricky Stromberg,#53,G,3.0,26,0.0,21.0,0.0,5.0,44.5,-,41.7,-,46.3,0 (0),washington-commanders
