Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
Casey Toohill,#95,ED,16.0,494,193.0,291.0,10.0,52.1,51.7,47.4,54.0,49.6,15.0,5.0,2.0,8.0,1.0,11.0,8.0,3.0,13.6,15.0,0.0,1.0,1.0,100.0,15.0,15.0,10.0,15.0,0.0,0.0,0.0,118.8,0 (0),494.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,490.0,washington-commanders
Terrell Burgess,#32,S,5.0,120,54.0,0.0,66.0,49.6,66.9,79.2,-,44.4,0.0,0.0,0.0,0.0,0.0,15.0,5.0,1.0,4.8,1.0,0.0,9.0,9.0,100.0,94.0,10.4,64.0,24.0,1.0,0.0,0.0,147.2,0 (0),1.0,46.0,52.0,18.0,3.0,0.0,0.0,0.0,1.0,washington-commanders
Jamin Davis,#52,LB,13.0,742,296.0,61.0,385.0,67.6,76.1,77.6,71.6,56.5,8.0,3.0,1.0,4.0,0.0,55.0,30.0,5.0,5.6,35.0,2.0,48.0,35.0,72.9,422.0,12.1,262.0,32.0,3.0,1.0,3.0,111.6,3 (0),43.0,589.0,0.0,80.0,30.0,0.0,0.0,0.0,43.0,washington-commanders
Benjamin St-Juste,#25,CB,16.0,"1,063",413.0,11.0,639.0,59.9,75.1,58.0,77.2,56.4,1.0,1.0,0.0,0.0,0.0,57.0,11.0,11.0,13.9,18.0,2.0,103.0,70.0,68.0,872.0,12.5,324.0,58.0,4.0,1.0,13.0,102.9,11 (2),19.0,109.0,1.0,332.0,602.0,0.0,0.0,0.0,19.0,washington-commanders
Darrick Forrest,#22,S,5.0,328,130.0,5.0,193.0,61.1,66.9,47.9,51.5,58.4,0.0,0.0,0.0,0.0,0.0,20.0,7.0,7.0,20.6,6.0,0.0,11.0,6.0,54.5,56.0,9.3,28.0,35.0,1.0,0.0,0.0,99.1,0 (0),5.0,84.0,193.0,42.0,4.0,0.0,0.0,0.0,5.0,washington-commanders
Jabril Cox,#41,LB,1.0,1,1.0,0.0,0.0,60.1,60.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,washington-commanders
Christian Holmes,#34,CB,1.0,33,18.0,0.0,15.0,64.7,65.3,75.4,-,63.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,28.0,14.0,11.0,22.0,0.0,0.0,1.0,96.5,0 (0),0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,washington-commanders
John Ridgeway,#91,DI,17.0,355,191.0,164.0,0.0,39.5,33.8,42.0,56.7,60.0,9.0,0.0,0.0,9.0,1.0,19.0,11.0,3.0,9.1,12.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),355.0,0.0,0.0,0.0,0.0,180.0,173.0,2.0,0.0,washington-commanders
Tariq Castro-Fields,#26,CB,1.0,21,10.0,0.0,11.0,29.4,48.8,27.5,-,29.2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,40.0,0.0,0.0,1.0,1.0,100.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,87.5,1 (0),0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,washington-commanders
Phidarian Mathis,#98,DI,10.0,202,106.0,96.0,0.0,42.7,32.2,55.3,66.5,60.0,3.0,0.0,1.0,2.0,0.0,7.0,3.0,1.0,9.1,3.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),202.0,0.0,0.0,0.0,0.0,12.0,177.0,9.0,4.0,washington-commanders
Percy Butler,#35,S,15.0,835,305.0,5.0,525.0,62.7,71.2,48.0,62.5,58.0,1.0,0.0,0.0,1.0,0.0,44.0,18.0,16.0,20.5,12.0,1.0,25.0,14.0,56.0,257.0,18.4,58.0,60.0,5.0,0.0,6.0,131.2,0 (0),3.0,155.0,543.0,129.0,5.0,0.0,0.0,0.0,3.0,washington-commanders
Kyu Blu Kelly,#36,CB,1.0,17,4.0,1.0,12.0,40.1,63.2,81.7,60.0,36.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,80.0,22.0,5.5,18.0,15.0,1.0,0.0,0.0,124.6,0 (0),0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,washington-commanders
Jalen Harris,#56,ED,5.0,87,45.0,41.0,1.0,59.3,61.0,75.5,53.7,61.5,1.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,79.2,0 (0),87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,washington-commanders
Joshua Pryor,#59,ED,1.0,1,0.0,1.0,0.0,58.9,-,-,58.5,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,washington-commanders
Nick Whiteside,#37,CB,1.0,15,10.0,0.0,5.0,55.3,46.2,23.2,-,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,washington-commanders
Quan Martin,#20,S,12.0,365,116.0,16.0,233.0,65.4,66.4,51.5,90.7,58.8,2.0,1.0,0.0,1.0,0.0,28.0,9.0,7.0,15.9,15.0,0.0,26.0,22.0,84.6,285.0,13.0,169.0,78.0,2.0,2.0,3.0,105.9,0 (0),14.0,78.0,77.0,191.0,5.0,0.0,0.0,0.0,14.0,washington-commanders
Emmanuel Forbes,#13,CB,14.0,482,163.0,1.0,318.0,50.9,28.4,41.9,60.0,57.6,1.0,0.0,0.0,1.0,0.0,36.0,3.0,9.0,18.8,12.0,0.0,60.0,39.0,65.0,636.0,16.3,195.0,59.0,5.0,1.0,9.0,121.2,4 (1),4.0,18.0,0.0,17.0,443.0,0.0,0.0,0.0,4.0,washington-commanders
