Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Jeremy Reaves,#39,S,5.0,98.0,27.0,18.0,12.0,18.0,23.0,0.0,87.9,-,-,-,0 (0),5.0,1.0,1.0
Joshua Pryor,#59,ED,7.0,156.0,48.0,26.0,23.0,28.0,31.0,0.0,85.1,-,-,-,0 (0),1.0,0.0,0.0
Tucker Addington,#58,LS,3.0,21.0,0.0,0.0,0.0,13.0,0.0,8.0,72.5,-,-,-,0 (0),1.0,0.0,0.0
Khaleke Hudson,#47,LB,17.0,344.0,83.0,55.0,54.0,59.0,93.0,0.0,72.4,-,-,-,0 (0),2.0,1.0,1.0
Dyami Brown,#02,WR,17.0,175.0,55.0,36.0,46.0,37.0,1.0,0.0,71.9,-,-,-,2 (0),2.0,1.0,2.0
John Bates,#87,TE,17.0,173.0,100.0,0.0,0.0,14.0,0.0,59.0,70.7,59.9,-,-,0 (0),2.0,0.0,0.0
Casey Toohill,#95,ED,8.0,161.0,43.0,29.0,14.0,38.0,37.0,0.0,70.0,-,-,-,0 (0),2.0,0.0,0.0
Quan Martin,#20,S,13.0,228.0,59.0,49.0,41.0,45.0,34.0,0.0,69.7,-,-,-,1 (0),3.0,3.0,3.0
David Mayo,#51,LB,17.0,299.0,71.0,43.0,33.0,59.0,93.0,0.0,69.0,-,-,-,1 (0),3.0,1.0,0.0
Danny Johnson,#36,CB,13.0,94.0,0.0,10.0,15.0,0.0,69.0,0.0,67.4,-,-,-,0 (0),0.0,0.0,0.0
Chris Rodriguez Jr.,#23,HB,13.0,198.0,75.0,17.0,43.0,63.0,0.0,0.0,66.9,61.2,-,-,0 (0),1.0,0.0,0.0
Terrell Burgess,#32,S,12.0,272.0,60.0,50.0,46.0,53.0,63.0,0.0,65.9,-,-,-,0 (0),5.0,2.0,0.0
De'Jon Harris,#45,LB,8.0,146.0,44.0,35.0,30.0,37.0,0.0,0.0,65.1,-,-,-,0 (0),0.0,1.0,1.0
Percy Butler,#35,S,14.0,105.0,0.0,56.0,14.0,1.0,34.0,0.0,64.8,-,-,-,0 (0),2.0,0.0,0.0
Cole Turner,#85,TE,12.0,86.0,17.0,0.0,7.0,20.0,0.0,42.0,63.8,-,-,-,0 (0),1.0,0.0,0.0
Andre Jones Jr.,#50,ED,14.0,250.0,69.0,54.0,30.0,29.0,68.0,0.0,63.7,-,-,-,0 (0),0.0,0.0,1.0
Tress Way,#05,P,17.0,136.0,0.0,0.0,0.0,77.0,0.0,59.0,63.7,-,50.7,-,0 (0),0.0,0.0,0.0
James Smith-Williams,#96,ED,4.0,26.0,0.0,0.0,0.0,20.0,6.0,0.0,63.4,-,-,-,0 (0),0.0,0.0,0.0
Tyler Larsen,#69,C,7.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,63.0,-,-,-,0 (0),0.0,0.0,0.0
Nick Whiteside,#37,CB,2.0,13.0,4.0,6.0,2.0,0.0,1.0,0.0,62.8,-,-,-,0 (0),0.0,0.0,0.0
Sam Cosmi,#76,G,17.0,59.0,0.0,0.0,0.0,0.0,0.0,59.0,62.8,-,-,-,0 (0),0.0,0.0,0.0
Charles Leno Jr.,#72,T,12.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,62.7,-,-,-,0 (0),0.0,0.0,0.0
Jabril Cox,#41,LB,10.0,202.0,66.0,43.0,33.0,41.0,19.0,0.0,62.5,-,-,-,0 (0),3.0,0.0,1.0
Cornelius Lucas,#78,T,17.0,59.0,0.0,0.0,0.0,0.0,0.0,59.0,62.2,-,-,-,0 (0),0.0,0.0,0.0
Trent Scott,#73,T,10.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,61.9,-,-,-,0 (0),0.0,0.0,0.0
Jace Whittaker,#00,CB,1.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,61.8,-,-,-,0 (0),0.0,0.0,0.0
Saahdiq Charles,#77,G,11.0,36.0,0.0,0.0,0.0,0.0,0.0,36.0,61.5,-,-,-,0 (0),0.0,0.0,0.0
Jamison Crowder,#83,WR,16.0,64.0,1.0,0.0,63.0,0.0,0.0,0.0,61.4,-,61.5,-,0 (0),0.0,0.0,0.0
Joey Slye,#06,K,17.0,131.0,0.0,72.0,0.0,0.0,0.0,59.0,60.9,90.5,-,70.6,0 (0),0.0,0.0,0.0
Kyu Blu Kelly,#36,CB,2.0,13.0,0.0,0.0,2.0,0.0,11.0,0.0,60.5,-,-,-,0 (0),0.0,0.0,0.0
Abdullah Anderson,#92,DI,7.0,38.0,0.0,0.0,4.0,0.0,34.0,0.0,60.5,-,-,-,0 (0),0.0,0.0,0.0
Nick Gates,#63,C,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,60.3,-,-,-,0 (0),0.0,0.0,0.0
Darrick Forrest,#22,S,1.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,60.2,-,-,-,0 (0),0.0,0.0,0.0
Alex Akingbulu,#62,T,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,60.2,-,-,-,0 (0),0.0,0.0,0.0
Emmanuel Forbes,#13,CB,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Ricky Stromberg,#53,G,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Jahan Dotson,#01,WR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Byron Pringle,#03,WR,17.0,195.0,76.0,61.0,51.0,7.0,0.0,0.0,60.0,54.7,-,-,0 (0),1.0,0.0,0.0
Logan Thomas,#82,TE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Antonio Gibson,#24,HB,10.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,59.9,59.7,-,-,0 (0),0.0,0.0,0.0
Mitchell Tinsley,#86,WR,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,59.8,-,-,-,0 (0),0.0,0.0,0.0
Jalen Harris,#56,ED,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,59.8,-,-,-,0 (0),0.0,0.0,0.0
Jonathan Allen,#93,DI,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,59.7,-,-,-,0 (0),0.0,0.0,0.0
Benning Potoa'e,#79,DI,1.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,59.6,-,-,-,0 (0),0.0,0.0,0.0
KJ Henry,#55,ED,10.0,78.0,10.0,7.0,5.0,0.0,56.0,0.0,59.5,-,-,-,0 (0),0.0,0.0,0.0
Phidarian Mathis,#98,DI,7.0,43.0,0.0,0.0,1.0,0.0,39.0,3.0,59.5,-,-,-,0 (0),0.0,0.0,0.0
Efe Obada,#97,ED,4.0,20.0,0.0,0.0,2.0,0.0,18.0,0.0,59.5,-,-,-,0 (0),0.0,0.0,0.0
John Ridgeway,#91,DI,17.0,97.0,0.0,0.0,7.0,0.0,90.0,0.0,59.2,-,-,-,0 (0),0.0,0.0,0.0
Jonathan Williams,#18,HB,1.0,14.0,6.0,2.0,1.0,5.0,0.0,0.0,58.8,-,-,-,0 (0),0.0,0.0,0.0
Jamin Davis,#52,LB,5.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,58.7,-,-,-,0 (0),0.0,0.0,0.0
Alex Armah,#40,FB,8.0,142.0,49.0,28.0,21.0,28.0,0.0,16.0,58.6,-,-,-,0 (0),0.0,0.0,1.0
Derrick Gore,#38,HB,6.0,88.0,36.0,21.0,10.0,21.0,0.0,0.0,58.0,-,-,-,0 (0),0.0,1.0,1.0
