OFFENSE_2023_OFFENSE_2023_Rank,OFFENSE_2023_OFFENSE_2023_Player,OFFENSE_2023_OFFENSE_2023_JerseyNumber,OFFENSE_2023_OFFENSE_2023_Position,OFFENSE_2023_OFFENSE_2023_GamesPlayed,OFFENSE_2023_OFFENSE_2023_OffenseTotalSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassingSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRushingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseOverallGrade,OFFENSE_2023_OFFENSE_2023_OffensePassingGrade,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRushingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffensePenalties
1.0,Jacoby Brissett,#12,QB,3.0,46,29.0,0.0,1.0,16.0,84.6,79.4,-,75.0,60.0,0 (0)
2.0,Sam Cosmi,#76,G,17.0,"1,103",0.0,777.0,0.0,326.0,80.6,-,74.0,-,80.9,4 (0)
3.0,Chris Rodriguez Jr.,#23,HB,10.0,98,31.0,7.0,51.0,9.0,75.9,52.4,82.7,77.1,46.0,0 (0)
4.0,Brian Robinson,#08,HB,15.0,496,230.0,68.0,180.0,18.0,75.3,71.4,61.9,73.7,65.5,0 (0)
5.0,Terry McLaurin,#17,WR,17.0,941,676.0,0.0,0.0,265.0,75.1,74.5,-,-,57.6,0 (0)
6.0,Charles Leno Jr.,#72,T,13.0,880,0.0,631.0,0.0,249.0,72.5,-,77.8,-,62.0,10 (1)
7.0,Jamison Crowder,#83,WR,12.0,139,96.0,0.0,0.0,43.0,70.5,70.8,-,-,51.4,0 (0)
8.0,Curtis Samuel,#04,WR,16.0,571,427.0,3.0,8.0,133.0,69.7,70.4,75.0,67.3,49.5,2 (2)
9.0,Andrew Wylie,#71,T,15.0,977,0.0,693.0,0.0,284.0,69.2,-,67.5,-,66.1,4 (1)
10.0,Byron Pringle,#03,WR,16.0,183,111.0,1.0,0.0,71.0,67.9,69.0,61.6,-,57.7,1 (0)
11.0,Julian Good-Jones,#61,G,1.0,2,0.0,1.0,0.0,1.0,67.7,-,67.4,-,67.1,0 (0)
12.0,Antonio Gibson,#24,HB,16.0,473,332.0,72.0,64.0,5.0,66.6,64.5,71.9,68.4,59.7,1 (0)
13.0,Nick Gates,#63,C,12.0,641,0.0,455.0,0.0,186.0,66.1,-,61.4,-,70.9,4 (0)
14.0,Cole Turner,#85,TE,12.0,142,88.0,2.0,0.0,52.0,64.7,62.1,17.1,-,68.3,0 (0)
15.0,Cornelius Lucas,#78,T,9.0,231,0.0,152.0,0.0,79.0,62.8,-,73.6,-,49.7,1 (0)
16.0,Sam Howell,#14,QB,17.0,"1,061",751.0,0.0,16.0,294.0,60.2,57.6,-,71.5,60.1,3 (0)
17.0,Joshua Pryor,#59,ED,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
17.0,Terrell Burgess,#32,S,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
17.0,Camaron Cheeseman,#54,LS,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
17.0,Christian Holmes,#34,CB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
17.0,Jabril Cox,#41,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
17.0,David Mayo,#51,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
17.0,Tress Way,#05,P,1.0,1,0.0,0.0,1.0,0.0,60.0,-,-,60.0,-,0 (0)
24.0,Trent Scott,#73,T,6.0,138,0.0,89.0,0.0,49.0,59.8,-,55.2,-,77.3,3 (0)
25.0,Dyami Brown,#02,WR,17.0,254,178.0,0.0,1.0,75.0,59.0,58.6,-,56.2,63.1,1 (0)
25.0,Jonathan Williams,#18,HB,1.0,14,8.0,4.0,1.0,1.0,59.0,53.1,82.1,59.7,60.0,0 (0)
27.0,Jahan Dotson,#01,WR,17.0,910,674.0,1.0,0.0,235.0,57.7,58.5,66.1,-,41.8,3 (2)
28.0,Logan Thomas,#82,TE,16.0,732,539.0,29.0,2.0,162.0,57.1,56.1,73.9,61.7,60.2,4 (0)
29.0,Mitchell Tinsley,#86,WR,1.0,3,2.0,0.0,0.0,1.0,56.8,58.0,-,-,60.0,0 (0)
30.0,Alex Armah,#40,FB,7.0,48,17.0,1.0,0.0,30.0,56.4,59.8,74.1,-,52.6,0 (0)
31.0,Saahdiq Charles,#77,G,11.0,643,0.0,455.0,0.0,188.0,55.5,-,53.9,-,55.4,3 (0)
32.0,Derrick Gore,#38,HB,5.0,24,12.0,7.0,3.0,2.0,54.8,53.7,83.7,51.6,59.5,0 (0)
33.0,John Bates,#87,TE,17.0,500,213.0,65.0,0.0,222.0,51.8,47.4,79.0,-,60.0,4 (0)
34.0,Tyler Larsen,#69,C,7.0,466,0.0,325.0,0.0,141.0,50.3,-,28.7,-,60.9,0 (0)
35.0,Ricky Stromberg,#53,G,3.0,26,0.0,21.0,0.0,5.0,44.5,-,41.7,-,46.3,0 (0)
36.0,Chris Paul,#75,G,7.0,439,0.0,307.0,0.0,132.0,38.8,-,27.8,-,45.1,1 (0)
,,,,,,,,,,,,,,,
