Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Kyren Williams,#23,HB,13.0,262.0,241.0,"1,205",5.0,12.0,3.0,80.4,90.5,62.9,59.1,788.0,3.27,51.0,56.0,28.0,90.0,150.0,0.0,0.0,"1,205",10.0,263.0,21.8,65.0,2 (0),39.1,57.7,48.0,33.0,215,341.0,0.63,5.0,65.6
Royce Freeman,#24,HB,10.0,88.0,77.0,319,4.1,2.0,0.0,74.2,78.1,85.6,78.9,224.0,2.91,18.0,23.0,7.0,35.0,40.0,0.0,0.0,319,3.0,53.0,16.6,17.0,0 (0),46.0,67.6,1.0,1.0,13,80.0,0.16,0.0,70.9
Ronnie Rivers,#20,HB,8.0,46.0,35.0,138,3.9,0.0,0.0,75.0,77.6,82.4,59.1,85.0,2.43,7.0,10.0,2.0,8.0,27.0,0.0,0.0,138,0.0,0.0,0.0,5.0,0 (0),66.0,46.0,8.0,8.0,57,44.0,1.3,0.0,39.5
Tutu Atwell,#05,WR,17.0,254.0,5.0,31,6.2,0.0,0.0,68.3,72.3,79.6,64.6,19.0,3.8,0.0,22.0,1.0,1.0,0.0,0.0,0.0,31,1.0,22.0,71.0,2.0,0 (0),66.6,-,67.0,40.0,521,408.0,1.28,3.0,8.4
Puka Nacua,#17,WR,18.0,389.0,13.0,87,6.7,0.0,2.0,90.2,71.0,44.2,78.1,36.0,2.77,7.0,31.0,2.0,1.0,3.0,0.0,0.0,87,2.0,46.0,52.9,5.0,5 (0),89.3,72.0,163.0,114.0,"1,667",607.0,2.75,13.0,50.2
Brett Rypien,#11,QB,2.0,31.0,3.0,19,6.3,0.0,2.0,48.1,70.7,22.4,60.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,19.0,0,0.0,0.0,0.0,1.0,3 (1),-,-,0.0,0.0,0,0.0,,0.0,100.0
Carson Wentz,#11,QB,2.0,35.0,17.0,56,3.3,1.0,0.0,80.7,68.1,80.8,60.0,37.0,2.18,2.0,12.0,1.0,1.0,5.0,4.0,11.0,45,0.0,0.0,0.0,4.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,16.0
Cam Akers,#03,HB,1.0,23.0,22.0,29,1.3,1.0,0.0,64.3,63.7,77.7,60.0,37.0,1.68,5.0,12.0,1.0,3.0,19.0,0.0,0.0,29,0.0,0.0,0.0,4.0,0 (0),56.4,68.5,0.0,0.0,0,2.0,0.0,0.0,38.2
Demarcus Robinson,#15,WR,14.0,175.0,1.0,23,23.0,0.0,2.0,70.0,63.1,20.7,71.8,12.0,12.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,23,1.0,23.0,100.0,1.0,2 (0),69.2,-,45.0,29.0,415,259.0,1.6,0.0,120.0
Matthew Stafford,#09,QB,16.0,413.0,21.0,65,3.1,0.0,0.0,88.2,61.3,92.1,60.1,7.0,0.33,0.0,9.0,0.0,0.0,0.0,14.0,73.0,-8,0.0,0.0,0.0,4.0,7 (0),90.6,-,0.0,0.0,0,0.0,,0.0,0.0
Ben Skowronek,#18,WR,18.0,129.0,2.0,9,4.5,0.0,0.0,55.9,58.4,72.0,55.2,6.0,3.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,1.0,1 (0),56.7,73.7,13.0,9.0,71,88.0,0.81,0.0,0.0
Cooper Kupp,#10,WR,13.0,303.0,1.0,-3,-3.0,0.0,0.0,71.5,56.6,81.1,67.5,1.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,0.0,0.0,2 (0),71.1,69.5,100.0,64.0,764,432.0,1.77,5.0,16.9
Van Jefferson,#12,WR,5.0,94.0,1.0,4,4.0,0.0,0.0,51.8,56.6,71.3,36.1,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1 (0),54.1,-,15.0,8.0,108,162.0,0.67,2.0,0.0
Darrell Henderson,#27,HB,4.0,48.0,46.0,112,2.4,2.0,0.0,55.2,53.4,82.9,60.0,98.0,2.13,1.0,16.0,1.0,20.0,26.0,0.0,0.0,112,1.0,16.0,14.3,5.0,0 (0),58.4,69.0,14.0,10.0,103,52.0,1.98,1.0,11.4
Zach Evans,#21,HB,4.0,12.0,9.0,19,2.1,0.0,0.0,42.7,45.4,72.7,60.0,18.0,2.0,0.0,5.0,0.0,2.0,7.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0 (0),56.2,-,0.0,0.0,0,4.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
