Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Jordan Mailata,#68,T,18.0,723.0,719.0,99.4,84.5,3 (0),687.0,99.4,3.0,2.0,41.0,46.0,96.4,347.0,347.0,100.0,76.5,330.0,100.0,3.0,0.0,31.0,34.0,94.4
A.J. Brown,#11,WR,17.0,607.0,3.0,0.5,80.3,2 (0),3.0,0.5,0.0,0.0,0.0,0.0,100.0,295.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Lane Johnson,#65,T,17.0,616.0,616.0,100.0,80.0,1 (0),586.0,100.0,3.0,2.0,30.0,35.0,96.8,288.0,288.0,100.0,76.0,272.0,100.0,1.0,2.0,21.0,24.0,95.4
Dallas Goedert,#88,TE,15.0,514.0,20.0,3.9,79.7,1 (0),19.0,3.9,0.0,0.0,0.0,0.0,100.0,249.0,7.0,2.8,73.2,7.0,3.0,0.0,0.0,0.0,0.0,100.0
Landon Dickerson,#69,G,17.0,668.0,668.0,100.0,76.9,1 (0),638.0,100.0,5.0,5.0,28.0,38.0,96.6,329.0,329.0,100.0,69.2,313.0,100.0,2.0,4.0,18.0,24.0,95.8
Fred Johnson,#74,T,1.0,23.0,23.0,100.0,76.2,0 (0),23.0,100.0,0.0,0.0,1.0,1.0,97.8,12.0,12.0,100.0,74.6,12.0,100.0,0.0,0.0,1.0,1.0,95.8
Jason Kelce,#62,C,18.0,698.0,698.0,100.0,70.9,0 (0),666.0,100.0,1.0,1.0,13.0,15.0,98.8,334.0,334.0,100.0,66.7,317.0,100.0,0.0,0.0,11.0,11.0,98.3
Grant Calcaterra,#81,TE,13.0,55.0,8.0,14.5,65.9,0 (0),8.0,14.5,0.0,0.0,0.0,0.0,100.0,24.0,2.0,8.3,40.3,2.0,8.3,0.0,0.0,0.0,0.0,100.0
Nolan Smith,#03,ED,1.0,1.0,1.0,100.0,63.8,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Reed Blankenship,#32,S,1.0,1.0,1.0,100.0,63.8,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Ben VanSumeren,#57,LB,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Nicholas Morrow,#41,LB,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Patrick Johnson,#48,ED,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Rick Lovato,#45,LS,1.0,1.0,1.0,100.0,61.5,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Jack Driscoll,#63,T,3.0,107.0,107.0,100.0,58.6,0 (0),105.0,100.0,1.0,1.0,8.0,10.0,94.8,59.0,59.0,100.0,41.1,58.0,100.0,1.0,1.0,8.0,10.0,90.5
Sua Opeta,#78,G,9.0,311.0,311.0,100.0,57.9,1 (1),302.0,100.0,3.0,2.0,20.0,25.0,95.4,148.0,148.0,100.0,50.3,142.0,100.0,3.0,1.0,13.0,17.0,93.0
Cam Jurgens,#51,G,12.0,427.0,427.0,100.0,51.6,3 (1),405.0,100.0,1.0,2.0,22.0,25.0,96.8,195.0,195.0,100.0,46.1,185.0,100.0,1.0,1.0,11.0,13.0,96.2
Jack Stoll,#89,TE,18.0,194.0,35.0,18.0,51.2,1 (0),34.0,18.3,0.0,0.0,2.0,2.0,97.1,50.0,2.0,4.0,21.7,2.0,4.2,0.0,0.0,1.0,1.0,75.0
D'Andre Swift,#00,HB,17.0,367.0,47.0,12.8,48.9,0 (0),45.0,13.0,1.0,0.0,4.0,5.0,93.3,134.0,18.0,13.4,61.6,16.0,13.1,0.0,0.0,1.0,1.0,96.9
Kenneth Gainwell,#14,HB,17.0,313.0,71.0,22.7,47.2,0 (0),70.0,23.1,1.0,2.0,8.0,11.0,91.4,187.0,50.0,26.7,38.5,49.0,26.8,1.0,2.0,7.0,10.0,88.8
Boston Scott,#35,HB,10.0,38.0,6.0,15.8,35.1,0 (0),5.0,13.5,0.0,0.0,1.0,1.0,90.0,18.0,1.0,5.6,75.7,1.0,5.6,0.0,0.0,0.0,0.0,100.0
Tyler Steen,#56,G,3.0,42.0,42.0,100.0,21.9,0 (0),39.0,100.0,0.0,1.0,5.0,6.0,92.3,23.0,23.0,100.0,22.8,21.0,100.0,0.0,0.0,4.0,4.0,90.5
Rashaad Penny,#23,HB,2.0,17.0,5.0,29.4,18.0,1 (0),4.0,25.0,1.0,0.0,0.0,1.0,75.0,8.0,4.0,50.0,12.3,3.0,42.9,1.0,0.0,0.0,1.0,66.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
