Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Jordan Davis,#90,DI,18.0,148.0,0.0,0.0,2.0,0.0,65.0,81.0,59.5,-,-,-,0 (0),0.0,0.0,0.0
Milton Williams,#93,DI,17.0,73.0,0.0,0.0,6.0,0.0,67.0,0.0,59.3,-,-,-,0 (0),0.0,0.0,0.0
Kevin Byard,#31,S,2.0,8.0,0.0,0.0,0.0,1.0,7.0,0.0,59.2,-,-,-,0 (0),0.0,0.0,0.0
Dallas Goedert,#88,TE,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,59.1,-,-,-,0 (0),0.0,0.0,0.0
Mekhi Garner,#43,S,4.0,63.0,21.0,17.0,16.0,8.0,1.0,0.0,58.6,-,-,-,0 (0),1.0,0.0,1.0
Albert Okwuegbunam,#85,TE,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,57.9,-,-,-,0 (0),0.0,0.0,0.0
Patrick Johnson,#48,ED,16.0,322.0,86.0,82.0,52.0,55.0,47.0,0.0,57.6,-,-,-,1 (0),6.0,0.0,6.0
Josiah Scott,#34,CB,4.0,43.0,18.0,22.0,3.0,0.0,0.0,0.0,56.6,-,-,-,0 (0),0.0,1.0,0.0
Olamide Zaccheaus,#13,WR,16.0,114.0,66.0,17.0,29.0,2.0,0.0,0.0,56.5,57.6,-,-,0 (0),0.0,0.0,0.0
Mario Goodrich,#31,CB,4.0,40.0,15.0,18.0,7.0,0.0,0.0,0.0,55.7,-,-,-,0 (0),0.0,0.0,0.0
Rick Lovato,#45,LS,18.0,139.0,0.0,0.0,0.0,58.0,0.0,81.0,55.0,-,-,-,0 (0),2.0,0.0,0.0
Jack Stoll,#89,TE,18.0,212.0,67.0,0.0,8.0,57.0,0.0,80.0,54.1,-,-,-,0 (0),1.0,0.0,2.0
Tyler Steen,#56,G,11.0,47.0,0.0,0.0,0.0,0.0,0.0,47.0,53.8,-,-,-,1 (0),0.0,0.0,0.0
Grant Calcaterra,#81,TE,16.0,168.0,72.0,16.0,46.0,33.0,0.0,1.0,53.3,-,-,-,0 (0),0.0,2.0,3.0
Nakobe Dean,#17,LB,5.0,32.0,0.0,7.0,2.0,12.0,11.0,0.0,53.1,-,-,-,0 (0),0.0,0.0,0.0
Kenneth Gainwell,#14,HB,11.0,71.0,25.0,42.0,4.0,0.0,0.0,0.0,53.1,56.1,-,-,0 (0),1.0,0.0,2.0
DeVonta Smith,#06,WR,4.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,50.5,67.4,-,-,0 (0),0.0,0.0,0.0
Jake Elliott,#04,K,18.0,175.0,0.0,94.0,0.0,0.0,0.0,81.0,49.3,80.3,-,91.7,2 (0),0.0,0.0,1.0
Zach Cunningham,#52,LB,6.0,22.0,0.0,0.0,6.0,16.0,0.0,0.0,38.6,-,-,-,0 (0),0.0,0.0,2.0
