SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1,@,New England Patriots,09/10,4:25pm,W,25.0,20.0,68.3,58.9,71.7,57.8,61.1,39.6,61.3,72.6,82.3,79.9,68.9,64.8,66.9,Game Reports
2,,Minnesota Vikings,09/14,8:15pm,W,34.0,28.0,81.0,80.5,73.6,75.2,64.5,84.1,79.2,70.5,71.8,40.4,71.5,65.5,70.8,Game Reports
3,@,Tampa Bay Buccaneers,09/25,7:15pm,W,25.0,11.0,79.8,75.8,58.5,54.6,69.0,71.3,86.2,72.9,74.9,54.1,75.8,61.1,70.9,Game Reports
4,,Washington Commanders,10/01,1:00pm,W,34.0,31.0,73.6,74.9,75.7,86.9,70.4,66.2,63.1,61.8,60.9,64.7,66.3,59.4,66.4,Game Reports
5,@,Los Angeles Rams,10/08,4:05pm,W,23.0,14.0,72.8,75.2,75.9,85.2,68.4,72.2,61.5,60.6,59.8,68.4,70.7,54.8,65.6,Game Reports
6,@,New York Jets,10/15,4:25pm,L,14.0,20.0,68.9,62.7,65.7,62.4,61.3,65.2,49.6,75.6,78.8,63.3,76.5,63.9,59.1,Game Reports
7,,Miami Dolphins,10/22,8:20pm,W,31.0,17.0,77.8,77.5,73.4,64.7,72.7,71.3,69.1,66.1,57.8,85.1,73.4,61.9,72.7,Game Reports
8,@,Washington Commanders,10/29,1:00pm,W,38.0,31.0,70.7,72.5,74.3,77.1,75.9,37.7,61.6,60.2,50.7,55.1,73.3,54.8,70.7,Game Reports
9,,Dallas Cowboys,11/05,4:25pm,W,28.0,23.0,73.6,71.9,80.9,59.2,70.3,53.0,71.0,70.9,65.5,81.8,75.7,66.3,49.0,Game Reports
11,@,Kansas City Chiefs,11/20,8:15pm,W,21.0,17.0,73.5,73.0,69.5,78.2,61.9,64.9,79.5,69.1,63.8,51.9,68.5,70.0,59.8,Game Reports
12,,Buffalo Bills,11/26,4:25pm,W,37.0,34.0,75.2,73.2,76.1,74.9,66.9,68.3,67.5,64.8,83.4,56.0,65.0,47.7,80.4,Game Reports
13,,San Francisco 49ers,12/03,4:25pm,L,19.0,42.0,61.5,66.8,67.3,73.8,70.3,49.4,46.9,51.1,54.1,56.4,66.1,46.0,56.9,Game Reports
14,@,Dallas Cowboys,12/10,8:20pm,L,13.0,33.0,69.6,69.2,84.4,54.3,67.5,53.5,63.7,66.0,67.1,83.3,60.5,64.8,55.0,Game Reports
15,@,Seattle Seahawks,12/18,8:15pm,L,17.0,20.0,73.0,69.3,59.5,76.2,64.5,80.8,61.0,70.2,55.6,59.8,76.7,67.8,69.2,Game Reports
16,,New York Giants,12/25,4:30pm,W,33.0,25.0,85.9,77.8,74.9,85.0,65.9,75.6,74.9,79.0,86.8,66.9,73.1,67.5,90.1,Game Reports
17,,Arizona Cardinals,12/31,1:00pm,L,31.0,35.0,75.3,85.9,90.7,81.8,74.4,70.8,71.5,59.0,54.8,51.5,60.9,61.1,65.4,Game Reports
18,@,New York Giants,01/07,4:25pm,L,10.0,27.0,68.7,63.1,50.2,70.6,62.0,67.1,63.7,66.7,65.5,49.9,61.2,64.7,85.5,Game Reports
WC,@,Tampa Bay Buccaneers,01/15,8:00pm,L,9.0,32.0,54.7,61.5,71.0,71.7,61.8,53.0,45.5,48.9,77.5,33.0,62.1,29.2,58.8,Game Reports
,,,,,,,,,,,,,,,,,,,,,
