Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Terrell Edmunds,#26,S,6.0,78.0,82.3,6.0,1.0,0.0,0.0,2.0,2.6,0.0,7.5,2 (0)
Nakobe Dean,#17,LB,5.0,47.0,80.2,8.0,1.0,0.0,0.0,5.0,11.1,0.0,3.4,1 (0)
Tristin McCollum,#36,S,1.0,10.0,78.9,3.0,1.0,0.0,0.0,2.0,20.0,0.0,3.3,0 (0)
Kevin Byard,#31,S,11.0,292.0,78.7,20.0,13.0,3.0,8.3,3.0,1.1,0.0,7.3,3 (2)
Nicholas Morrow,#41,LB,16.0,327.0,77.0,46.0,19.0,3.0,4.4,29.0,9.1,1.0,3.3,2 (0)
Kelee Ringo,#22,CB,6.0,98.0,74.2,9.0,1.0,0.0,0.0,3.0,3.1,0.0,7.0,4 (0)
Brandon Graham,#55,ED,18.0,157.0,72.1,11.0,1.0,0.0,0.0,9.0,6.0,0.0,2.6,1 (0)
Zach Cunningham,#52,LB,14.0,215.0,71.5,34.0,14.0,7.0,12.7,21.0,10.1,0.0,3.1,2 (0)
Avonte Maddox,#29,CB,5.0,64.0,71.2,6.0,0.0,0.0,0.0,3.0,4.8,1.0,3.3,1 (0)
Moro Ojomo,#72,DI,8.0,29.0,70.8,3.0,0.0,0.0,0.0,2.0,7.1,0.0,1.7,0 (0)
Milton Williams,#93,DI,17.0,200.0,69.8,27.0,8.0,4.0,10.3,22.0,11.2,1.0,1.7,1 (0)
Jalen Carter,#98,DI,17.0,172.0,69.4,12.0,11.0,1.0,4.2,5.0,3.0,0.0,2.6,4 (1)
Shaquille Leonard,#53,LB,5.0,74.0,69.2,10.0,2.0,2.0,14.3,6.0,8.5,0.0,2.1,0 (0)
Fletcher Cox,#91,DI,16.0,211.0,68.8,21.0,5.0,0.0,0.0,11.0,5.4,0.0,3.3,2 (0)
Justin Evans,#30,S,4.0,44.0,67.0,3.0,1.0,0.0,0.0,1.0,2.3,0.0,5.7,0 (0)
Nolan Smith,#03,ED,18.0,84.0,65.8,7.0,3.0,2.0,16.7,5.0,6.0,0.0,2.3,1 (0)
Haason Reddick,#07,ED,18.0,275.0,63.7,14.0,6.0,2.0,9.1,9.0,3.4,0.0,1.4,2 (0)
James Bradberry,#24,CB,17.0,361.0,63.6,5.0,4.0,1.0,10.0,2.0,0.6,0.0,6.0,5 (1)
Jordan Davis,#90,DI,18.0,257.0,63.4,22.0,16.0,5.0,11.6,19.0,7.6,0.0,2.5,0 (0)
Ben VanSumeren,#57,LB,2.0,29.0,63.0,3.0,4.0,0.0,0.0,2.0,7.1,0.0,3.7,0 (0)
Darius Slay,#02,CB,13.0,258.0,62.8,8.0,3.0,1.0,8.3,3.0,1.2,0.0,10.6,3 (0)
Mario Goodrich,#31,CB,3.0,11.0,62.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0 (0)
Derek Barnett,#96,ED,8.0,39.0,62.0,2.0,1.0,1.0,25.0,2.0,5.6,0.0,1.0,0 (0)
Christian Elliss,#53,LB,5.0,43.0,61.6,10.0,2.0,1.0,7.7,4.0,9.3,0.0,5.6,0 (0)
Reed Blankenship,#32,S,15.0,316.0,61.2,27.0,15.0,5.0,10.6,6.0,2.0,0.0,9.4,1 (0)
Josiah Scott,#34,CB,1.0,3.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Marlon Tuipulotu,#95,DI,14.0,92.0,59.4,12.0,6.0,1.0,5.3,9.0,10.1,0.0,2.3,0 (0)
Eli Ricks,#39,CB,12.0,72.0,58.2,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.8,4 (1)
Sydney Brown,#21,S,12.0,107.0,56.7,9.0,5.0,3.0,17.6,6.0,5.7,0.0,4.2,1 (1)
Mekhi Garner,#43,S,2.0,10.0,54.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Josh Sweat,#94,ED,17.0,254.0,54.2,21.0,11.0,4.0,11.1,16.0,6.4,0.0,2.0,6 (0)
Patrick Johnson,#48,ED,3.0,16.0,53.9,1.0,0.0,1.0,50.0,1.0,6.3,0.0,0.0,0 (0)
Kentavius Street,#97,DI,7.0,31.0,51.1,3.0,0.0,1.0,25.0,3.0,10.3,0.0,2.0,1 (0)
Bradley Roby,#33,CB,10.0,119.0,50.2,3.0,0.0,2.0,40.0,2.0,1.8,0.0,2.7,0 (0)
Josh Jobe,#28,CB,7.0,60.0,30.9,0.0,2.0,2.0,50.0,0.0,0.0,0.0,,5 (1)
,,,,,,,,,,,,,,
