Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Trevis Gipson,#51,ED,7.0,76,35.0,39.0,2.0,89.6,66.3,50.3,89.3,62.7,7.0,1.0,0.0,6.0,0.0,2.0,2.0,1.0,20.0,3.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),76.0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
Otis Reese IV,#41,LB,3.0,90,45.0,2.0,43.0,76.9,69.1,61.2,56.5,75.6,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,11.8,6.0,0.0,8.0,7.0,87.5,43.0,6.1,15.0,21.0,0.0,0.0,0.0,89.1,0 (0),1.0,81,0.0,6.0,2.0,0.0,0.0,0.0,1.0
K'Von Wallace,#35,S,7.0,414,157.0,3.0,254.0,75.9,62.1,86.7,67.2,77.9,1.0,0.0,1.0,0.0,0.0,36.0,5.0,2.0,4.7,10.0,0.0,17.0,14.0,82.4,105.0,7.5,49.0,14.0,1.0,0.0,2.0,112.0,1 (0),2.0,109,254.0,45.0,4.0,0.0,0.0,0.0,2.0
Quinton Bohanna,#97,DI,3.0,40,23.0,17.0,0.0,74.9,76.9,70.4,53.6,-,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),40.0,0,0.0,0.0,0.0,15.0,25.0,0.0,0.0
Roger McCreary,#21,CB,15.0,934,354.0,38.0,542.0,71.3,62.0,54.4,70.0,72.2,7.0,2.0,0.0,5.0,0.0,66.0,14.0,14.0,14.9,33.0,1.0,89.0,64.0,71.9,640.0,10.0,373.0,46.0,0.0,1.0,5.0,87.3,5 (0),6.0,120,5.0,585.0,218.0,0.0,0.0,0.0,6.0
Jack Gibbens,#50,LB,14.0,628,316.0,22.0,290.0,71.2,72.9,75.0,77.4,61.3,8.0,1.0,1.0,6.0,1.0,70.0,25.0,7.0,6.9,37.0,0.0,23.0,17.0,73.9,168.0,9.9,110.0,25.0,0.0,0.0,1.0,94.1,0 (0),8.0,593,0.0,26.0,1.0,0.0,0.0,0.0,8.0
Monty Rice,#56,LB,6.0,86,46.0,6.0,34.0,69.4,71.1,72.1,50.4,63.8,1.0,0.0,1.0,0.0,0.0,9.0,8.0,2.0,10.5,6.0,0.0,4.0,3.0,75.0,33.0,11.0,30.0,25.0,0.0,0.0,0.0,99.0,0 (0),1.0,84,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Arden Key,#49,ED,17.0,727,234.0,476.0,17.0,69.4,60.1,65.0,73.0,61.8,40.0,7.0,4.0,29.0,0.0,17.0,9.0,4.0,13.3,17.0,2.0,1.0,1.0,100.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,87.5,5 (1),718.0,9,0.0,0.0,0.0,5.0,25.0,42.0,646.0
Jeffery Simmons,#98,DI,12.0,657,254.0,393.0,10.0,68.4,63.1,45.1,75.2,58.4,47.0,6.0,5.0,36.0,1.0,30.0,13.0,7.0,14.0,29.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,6 (2),649.0,8,0.0,0.0,0.0,11.0,407.0,189.0,42.0
Garret Wallow,#54,LB,3.0,48,19.0,2.0,27.0,67.5,70.0,63.0,56.1,62.6,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,14.3,3.0,0.0,4.0,4.0,100.0,30.0,7.5,28.0,13.0,0.0,0.0,0.0,97.9,0 (0),2.0,43,0.0,3.0,0.0,0.0,0.0,0.0,2.0
