Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Nick Folk,#06,K,17.0,124.0,0.0,62.0,0.0,2.0,0.0,60.0,60.9,76.2,59.0,80.7,0 (0),0.0,0.0,0.0,tennessee-titans
Morgan Cox,#46,LS,17.0,142.0,0.0,0.0,0.0,82.0,0.0,60.0,62.1,-,-,-,0 (0),1.0,0.0,0.0,tennessee-titans
Ryan Stonehouse,#04,P,12.0,99.0,0.0,0.0,0.0,56.0,0.0,43.0,63.4,-,73.8,-,0 (0),1.0,0.0,0.0,tennessee-titans
Ty Zentner,#13,P,5.0,49.0,0.0,10.0,0.0,24.0,0.0,15.0,61.8,60.6,49.2,-,0 (0),0.0,0.0,0.0,tennessee-titans
