Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Devon Witherspoon,#21,CB,14.0,548.0,30.0,5.5,90.8,5 (0),10.0,3.0,1.0,6.0,22.4,10.3,3.0,249.0,6.0,2.4,74.1,3.0,1.0,1.0,1.0,33.3,16.7,0.0
Julian Love,#20,S,17.0,549.0,4.0,0.7,90.0,3 (1),2.0,0.0,1.0,1.0,25.0,0.0,0.0,252.0,3.0,1.2,90.7,2.0,0.0,1.0,1.0,33.3,0.0,0.0
Jamal Adams,#33,S,9.0,317.0,30.0,9.5,85.5,1 (1),7.0,0.0,2.0,5.0,12.1,20.7,1.0,139.0,8.0,5.8,66.1,2.0,0.0,0.0,2.0,12.5,25.0,0.0
Jordyn Brooks,#56,LB,16.0,455.0,43.0,9.5,85.0,2 (1),13.0,6.0,1.0,6.0,23.8,7.5,0.0,185.0,19.0,10.3,85.8,4.0,4.0,0.0,0.0,21.1,10.5,0.0
Tre Brown,#22,CB,15.0,380.0,2.0,0.5,80.5,9 (1),1.0,1.0,0.0,0.0,50.0,0.0,0.0,180.0,1.0,0.6,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Edwards Jr.,#97,DI,15.0,225.0,225.0,100.0,78.4,4 (1),22.0,2.0,5.0,15.0,5.7,11.3,1.0,91.0,91.0,100.0,68.0,11.0,0.0,2.0,9.0,6.3,12.6,1.0
Boye Mafe,#53,ED,16.0,472.0,443.0,93.9,77.8,2 (0),58.0,9.0,7.0,42.0,8.0,13.1,4.0,218.0,211.0,96.8,83.6,40.0,7.0,4.0,29.0,11.9,20.3,1.0
Artie Burns,#23,CB,8.0,166.0,4.0,2.4,76.8,1 (0),0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0,2.0,2.2,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coby Bryant,#08,S,6.0,98.0,7.0,7.1,75.3,0 (0),2.0,0.0,1.0,1.0,14.3,14.3,0.0,57.0,1.0,1.8,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Wagner,#54,LB,17.0,696.0,81.0,11.6,75.1,1 (0),17.0,4.0,2.0,11.0,14.0,17.3,0.0,315.0,51.0,16.2,74.5,10.0,3.0,1.0,6.0,13.5,16.7,0.0
Myles Adams,#95,DI,9.0,61.0,61.0,100.0,74.6,0 (0),6.0,1.0,0.0,5.0,5.8,16.7,0.0,31.0,31.0,100.0,80.0,4.0,0.0,0.0,4.0,6.7,26.7,0.0
Leonard Williams,#99,DI,10.0,281.0,281.0,100.0,71.2,1 (0),32.0,4.0,7.0,21.0,6.8,10.2,0.0,125.0,125.0,100.0,77.2,25.0,3.0,5.0,17.0,12.1,17.2,0.0
Jarran Reed,#90,DI,16.0,487.0,483.0,99.2,70.8,3 (0),43.0,7.0,6.0,30.0,5.5,9.5,2.0,225.0,224.0,99.6,66.7,29.0,5.0,2.0,22.0,8.2,11.1,0.0
Uchenna Nwosu,#10,ED,6.0,186.0,163.0,87.6,65.7,2 (1),14.0,2.0,3.0,9.0,5.2,9.8,0.0,94.0,83.0,88.3,73.3,8.0,2.0,1.0,5.0,6.4,12.8,0.0
Austin Faoliu,#64,DI,2.0,6.0,6.0,100.0,65.6,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dre'Mont Jones,#55,DI,17.0,448.0,437.0,97.5,65.1,6 (2),43.0,5.0,7.0,31.0,5.8,11.6,0.0,202.0,197.0,97.5,68.4,30.0,4.0,5.0,21.0,9.3,16.5,0.0
Devin Bush,#00,LB,7.0,120.0,9.0,7.5,63.6,0 (0),0.0,0.0,0.0,0.0,0.0,22.2,0.0,48.0,6.0,12.5,67.9,0.0,0.0,0.0,0.0,0.0,33.3,0.0
Cameron Young,#93,DI,14.0,100.0,100.0,100.0,60.9,0 (0),3.0,0.0,1.0,2.0,1.6,5.3,1.0,33.0,33.0,100.0,60.7,2.0,0.0,1.0,1.0,3.1,6.3,0.0
Mike Morris,#94,DI,1.0,11.0,11.0,100.0,60.7,0 (0),0.0,0.0,0.0,0.0,0.0,9.1,0.0,7.0,7.0,100.0,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Rhattigan,#59,LB,3.0,8.0,1.0,12.5,59.3,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quandre Diggs,#06,S,17.0,681.0,1.0,0.1,58.8,2 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Darrell Taylor,#52,ED,17.0,326.0,292.0,89.6,58.7,1 (0),27.0,6.0,3.0,18.0,6.0,6.2,1.0,146.0,134.0,91.8,61.4,16.0,3.0,2.0,11.0,7.5,7.1,0.0
Nick Bellore,#44,LB,5.0,5.0,1.0,20.0,58.3,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Derick Hall,#58,ED,17.0,162.0,137.0,84.6,57.4,0 (0),11.0,0.0,4.0,7.0,4.2,7.6,1.0,68.0,58.0,85.3,63.2,7.0,0.0,2.0,5.0,6.4,12.7,1.0
Tyreke Smith,#50,ED,1.0,3.0,3.0,100.0,55.4,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Jackson,#30,CB,15.0,282.0,3.0,1.1,53.7,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,3.0,2.2,53.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tariq Woolen,#27,CB,16.0,545.0,4.0,0.7,52.0,9 (1),1.0,0.0,0.0,1.0,12.5,0.0,0.0,232.0,1.0,0.4,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Clark,#57,ED,6.0,89.0,85.0,95.5,50.0,0 (0),3.0,0.0,0.0,3.0,1.9,6.5,0.0,40.0,38.0,95.0,50.5,3.0,0.0,0.0,3.0,4.3,11.4,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
