SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1.0,,Los Angeles Rams,09/10,4:25pm,L,13.0,30.0,59.8,65.5,59.5,68.0,64.3,65.6,64.0,50.2,72.4,68.0,52.3,37.6,84.0,Game Reports
2.0,@,Detroit Lions,09/17,1:00pm,W,37.0,31.0,70.0,77.7,78.2,81.3,74.3,62.1,68.6,56.8,56.6,37.2,64.9,56.2,62.6,Game Reports
3.0,,Carolina Panthers,09/24,4:05pm,W,37.0,27.0,79.1,73.0,70.5,50.5,74.9,81.0,59.0,73.6,73.4,59.3,81.4,63.4,73.8,Game Reports
4.0,@,New York Giants,10/02,8:15pm,W,24.0,3.0,87.2,70.4,71.9,36.4,67.0,84.0,65.6,90.6,88.8,66.0,81.2,85.0,60.3,Game Reports
6.0,@,Cincinnati Bengals,10/15,1:00pm,L,13.0,17.0,73.3,69.2,69.2,46.5,70.9,69.4,67.2,69.5,61.2,74.7,66.0,74.1,71.9,Game Reports
7.0,,Arizona Cardinals,10/22,4:05pm,W,20.0,10.0,74.1,70.1,77.8,63.4,71.8,55.2,59.6,72.4,51.0,52.0,71.7,81.6,71.1,Game Reports
8.0,,Cleveland Browns,10/29,4:05pm,W,24.0,20.0,76.8,73.5,57.4,55.4,77.5,64.4,77.9,70.9,67.4,80.8,72.9,67.9,72.4,Game Reports
9.0,@,Baltimore Ravens,11/05,1:00pm,L,3.0,37.0,52.7,56.0,56.0,56.2,58.3,66.2,49.2,53.2,34.2,28.3,54.7,72.7,53.5,Game Reports
10.0,,Washington Commanders,11/12,4:25pm,W,29.0,26.0,80.2,74.0,71.7,72.4,68.4,68.2,73.7,72.3,62.6,36.1,69.3,69.9,80.8,Game Reports
11.0,@,Los Angeles Rams,11/19,4:25pm,L,16.0,17.0,69.7,66.4,66.3,63.4,68.9,68.2,51.2,67.5,73.6,57.6,66.1,62.0,71.3,Game Reports
12.0,,San Francisco 49ers,11/23,8:20pm,L,13.0,31.0,59.1,60.3,62.7,37.8,62.3,59.8,66.1,55.2,46.3,58.1,68.9,55.7,76.2,Game Reports
13.0,@,Dallas Cowboys,11/30,8:15pm,L,35.0,41.0,65.6,73.0,79.1,45.5,74.4,69.0,53.2,56.5,59.4,41.1,75.2,44.2,59.6,Game Reports
14.0,@,San Francisco 49ers,12/10,4:05pm,L,16.0,28.0,54.2,60.6,59.3,54.4,65.8,56.4,57.9,41.2,34.1,35.4,70.6,43.2,82.2,Game Reports
15.0,,Philadelphia Eagles,12/18,8:15pm,W,20.0,17.0,81.2,72.3,74.7,40.0,70.4,83.6,60.2,79.8,59.0,72.2,61.3,90.4,61.8,Game Reports
16.0,@,Tennessee Titans,12/24,1:00pm,W,20.0,17.0,75.9,71.5,75.8,65.4,69.8,69.8,49.1,72.7,64.3,72.0,72.8,72.0,67.5,Game Reports
17.0,,Pittsburgh Steelers,12/31,4:05pm,L,23.0,30.0,67.9,66.5,80.6,16.0,67.4,73.9,69.1,63.1,56.8,29.2,71.8,61.2,67.2,Game Reports
18.0,@,Arizona Cardinals,01/07,4:25pm,W,21.0,20.0,72.5,72.3,75.1,79.7,64.1,80.8,52.2,64.7,69.2,55.5,59.1,56.9,72.5,Game Reports
,,,,,,,,,,,,,,,,,,,,,
