Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
D'Wayne Eskridge,#01,WR,3.0,11.0,9.0,81.8,82.8,0 (0),3.0,33.3,59.8,4.0,44.4,79.6
Dareke Young,#83,WR,4.0,7.0,7.0,100.0,80.5,0 (0),2.0,28.6,58.8,3.0,42.9,83.5
Jake Bobo,#19,WR,17.0,143.0,142.0,99.3,77.6,0 (0),72.0,50.7,84.3,50.0,35.2,61.5
Will Dissly,#89,TE,16.0,187.0,187.0,100.0,77.2,0 (0),119.0,63.6,85.1,55.0,29.4,45.0
Stone Forsythe,#78,T,13.0,185.0,185.0,100.0,71.4,0 (0),121.0,65.4,71.4,38.0,20.5,68.8
Jason Peters,#70,T,8.0,68.0,68.0,100.0,71.2,0 (0),40.0,58.8,70.2,24.0,35.3,62.2
Jake Curhan,#74,T,6.0,109.0,109.0,100.0,67.1,0 (0),68.0,62.4,74.6,26.0,23.9,43.0
Colby Parkinson,#84,TE,17.0,211.0,211.0,100.0,64.1,3 (1),130.0,61.6,65.3,61.0,28.9,58.5
Cody Thompson,#13,WR,5.0,16.0,16.0,100.0,60.9,0 (0),5.0,31.3,57.9,4.0,25.0,60.0
Geno Smith,#07,QB,15.0,308.0,291.0,94.5,60.5,0 (0),191.0,65.6,60.2,81.0,27.8,60.7
Easop Winston Jr.,#86,WR,1.0,2.0,2.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
SaRodorick Thompson,#29,HB,1.0,2.0,2.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Raiqwon O'Neal,#79,T,1.0,3.0,3.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Nick Bellore,#44,LB,3.0,4.0,4.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Drew Lock,#02,QB,4.0,54.0,52.0,96.3,60.0,0 (0),27.0,51.9,60.0,22.0,42.3,60.0
Noah Fant,#87,TE,17.0,192.0,192.0,100.0,59.6,0 (0),115.0,59.9,61.4,64.0,33.3,62.2
Brady Russell,#38,TE,6.0,14.0,14.0,100.0,59.5,0 (0),3.0,21.4,67.1,3.0,21.4,46.8
Abraham Lucas,#72,T,6.0,91.0,91.0,100.0,58.8,0 (0),46.0,50.5,57.2,39.0,42.9,69.1
Ben Brown,#76,G,1.0,3.0,3.0,100.0,58.7,0 (0),3.0,100.0,58.7,0.0,0.0,-
Kenneth Walker III,#09,HB,15.0,234.0,16.0,6.8,58.7,0 (0),0.0,0.0,-,3.0,18.8,58.9
Tyler Lockett,#16,WR,17.0,237.0,237.0,100.0,58.7,0 (0),161.0,67.9,59.4,56.0,23.6,58.9
Anthony Bradford,#75,G,12.0,240.0,240.0,100.0,58.5,3 (1),147.0,61.3,55.8,65.0,27.1,60.0
Charles Cross,#67,T,14.0,278.0,278.0,100.0,58.3,0 (0),162.0,58.3,62.2,87.0,31.3,49.9
Damien Lewis,#68,G,16.0,316.0,316.0,100.0,57.9,0 (0),192.0,60.8,56.8,90.0,28.5,56.4
Evan Brown,#63,C,16.0,325.0,325.0,100.0,57.2,3 (1),191.0,58.8,59.8,100.0,30.8,62.5
DeeJay Dallas,#31,HB,8.0,16.0,6.0,37.5,55.6,0 (0),3.0,50.0,57.3,2.0,33.3,59.9
Phil Haynes,#60,G,8.0,138.0,138.0,100.0,53.6,0 (0),81.0,58.7,59.9,42.0,30.4,56.8
D.K. Metcalf,#14,WR,16.0,241.0,241.0,100.0,53.3,2 (0),158.0,65.6,58.2,66.0,27.4,56.3
Olusegun Oluwatimi,#51,C,4.0,58.0,58.0,100.0,50.1,0 (0),39.0,67.2,50.6,10.0,17.2,54.7
Jaxon Smith-Njigba,#11,WR,17.0,165.0,165.0,100.0,46.5,0 (0),99.0,60.0,59.4,42.0,25.5,57.3
Zach Charbonnet,#26,HB,16.0,124.0,12.0,9.7,27.3,0 (0),2.0,16.7,59.1,3.0,25.0,59.9
,,,,,,,,,,,,,,
