Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Ty Okada,#39,S,5.0,38.0,19.0,14.0,5.0,0.0,0.0,0.0,90.4,-,-,-,0 (0),2.0,0.0,0.0
Julian Love,#20,S,15.0,88.0,1.0,28.0,0.0,57.0,2.0,0.0,84.4,-,-,-,0 (0),10.0,3.0,2.0
Jarran Reed,#90,DI,15.0,67.0,0.0,0.0,3.0,0.0,64.0,0.0,82.4,-,-,-,0 (0),0.0,0.0,0.0
Chris Stoll,#41,LS,17.0,144.0,0.0,0.0,0.0,69.0,0.0,75.0,81.8,-,-,-,0 (0),0.0,3.0,1.0
Devin Bush,#00,LB,12.0,137.0,43.0,51.0,33.0,10.0,0.0,0.0,81.1,-,-,-,0 (0),0.0,0.0,0.0
Coby Bryant,#08,S,7.0,56.0,2.0,34.0,10.0,10.0,0.0,0.0,80.7,-,-,-,0 (0),2.0,0.0,0.0
Jerrick Reed II,#32,S,10.0,157.0,47.0,51.0,29.0,29.0,1.0,0.0,76.4,-,-,-,0 (0),9.0,0.0,3.0
Brady Russell,#38,TE,15.0,310.0,77.0,76.0,55.0,62.0,0.0,40.0,76.3,-,-,-,0 (0),6.0,1.0,0.0
Lance Boykin,#18,CB,1.0,8.0,2.0,5.0,0.0,1.0,0.0,0.0,74.4,-,-,-,0 (0),0.0,0.0,0.0
Jake Bobo,#19,WR,17.0,137.0,91.0,14.0,22.0,10.0,0.0,0.0,73.4,61.2,-,-,0 (0),0.0,0.0,0.0
Jon Rhattigan,#59,LB,17.0,301.0,89.0,86.0,57.0,69.0,0.0,0.0,71.5,-,-,-,2 (0),7.0,2.0,4.0
Colby Parkinson,#84,TE,17.0,134.0,90.0,0.0,0.0,9.0,0.0,35.0,71.2,59.9,-,-,0 (0),0.0,0.0,0.0
Will Dissly,#89,TE,16.0,178.0,79.0,0.0,0.0,31.0,0.0,68.0,69.6,-,-,-,0 (0),1.0,0.0,0.0
Nick Bellore,#44,LB,16.0,364.0,89.0,81.0,52.0,64.0,78.0,0.0,69.2,-,-,-,1 (0),6.0,3.0,3.0
Zach Charbonnet,#26,HB,10.0,89.0,33.0,0.0,29.0,27.0,0.0,0.0,68.3,-,-,-,0 (0),0.0,1.0,2.0
Dareke Young,#83,WR,6.0,101.0,29.0,29.0,18.0,25.0,0.0,0.0,67.2,-,-,-,0 (0),1.0,0.0,2.0
Patrick O'Connell,#50,LB,1.0,17.0,7.0,6.0,1.0,3.0,0.0,0.0,65.5,-,-,-,0 (0),0.0,1.0,0.0
Kenny McIntosh,#25,HB,3.0,12.0,1.0,4.0,7.0,0.0,0.0,0.0,64.9,60.0,-,-,0 (0),0.0,0.0,0.0
Mike Jackson,#30,CB,17.0,234.0,41.0,55.0,42.0,17.0,79.0,0.0,64.9,-,-,-,0 (0),1.0,0.0,1.0
Damien Lewis,#68,G,16.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,64.6,-,-,-,0 (0),0.0,0.0,0.0
Tariq Woolen,#27,CB,16.0,93.0,0.0,0.0,24.0,0.0,69.0,0.0,64.3,-,-,-,0 (0),0.0,0.0,0.0
Michael Dickson,#04,P,17.0,144.0,0.0,0.0,0.0,69.0,0.0,75.0,63.6,-,80.0,-,2 (1),0.0,0.0,0.0
Mario Edwards Jr.,#97,DI,12.0,30.0,0.0,0.0,16.0,0.0,14.0,0.0,63.6,-,-,-,0 (0),0.0,0.0,0.0
Charles Cross,#67,T,14.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,63.3,-,-,-,0 (0),0.0,0.0,0.0
Anthony Bradford,#75,G,14.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,62.9,-,-,-,0 (0),0.0,0.0,0.0
Tre Brown,#22,CB,9.0,25.0,0.0,9.0,12.0,4.0,0.0,0.0,62.9,-,-,-,0 (0),0.0,0.0,1.0
Derick Hall,#58,ED,17.0,286.0,27.0,72.0,41.0,69.0,77.0,0.0,62.8,-,-,-,3 (0),5.0,2.0,1.0
Artie Burns,#23,CB,14.0,180.0,44.0,64.0,35.0,27.0,10.0,0.0,62.5,-,-,-,0 (0),2.0,0.0,1.0
Myles Adams,#95,DI,8.0,29.0,0.0,0.0,6.0,0.0,23.0,0.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Kelvin Joseph,#28,CB,1.0,8.0,0.0,4.0,3.0,1.0,0.0,0.0,62.2,-,-,-,0 (0),1.0,0.0,0.0
Olusegun Oluwatimi,#51,C,14.0,58.0,0.0,0.0,0.0,0.0,0.0,58.0,62.0,-,-,-,0 (0),0.0,0.0,0.0
Raiqwon O'Neal,#79,T,3.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,62.0,-,-,-,0 (0),0.0,0.0,0.0
Phil Haynes,#60,G,7.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,61.9,-,-,-,0 (0),0.0,0.0,0.0
Jake Curhan,#74,T,11.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,61.8,-,-,-,0 (0),0.0,0.0,0.0
Evan Brown,#63,C,4.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
Bobby Wagner,#54,LB,17.0,83.0,2.0,0.0,2.0,0.0,79.0,0.0,61.4,-,-,-,0 (0),0.0,0.0,0.0
Kyu Blu Kelly,#28,CB,5.0,37.0,0.0,11.0,18.0,8.0,0.0,0.0,61.2,-,-,-,0 (0),0.0,0.0,0.0
Abraham Lucas,#72,T,6.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,61.1,-,-,-,0 (0),0.0,0.0,0.0
Jason Myers,#05,K,17.0,161.0,0.0,86.0,0.0,0.0,0.0,75.0,61.0,67.9,-,66.9,1 (0),0.0,0.0,0.0
Ben Brown,#76,G,1.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,60.5,-,-,-,0 (0),0.0,0.0,0.0
Teez Tabor,#36,S,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,60.5,-,-,-,0 (0),0.0,0.0,0.0
Uchenna Nwosu,#10,ED,1.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
McClendon Curtis,#66,G,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,60.2,-,-,-,0 (0),0.0,0.0,0.0
Cody Thompson,#13,WR,7.0,93.0,36.0,38.0,19.0,0.0,0.0,0.0,60.2,-,-,-,0 (0),1.0,0.0,0.0
Darrell Taylor,#52,ED,17.0,75.0,0.0,0.0,3.0,0.0,72.0,0.0,60.2,-,-,-,0 (0),0.0,0.0,0.0
Jordyn Brooks,#56,LB,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,60.1,-,-,-,0 (0),0.0,0.0,0.0
Tyreke Smith,#50,ED,1.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Boye Mafe,#53,ED,16.0,77.0,0.0,0.0,3.0,0.0,74.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Noah Fant,#87,TE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Austin Faoliu,#64,DI,1.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,59.8,-,-,-,0 (0),0.0,0.0,0.0
Leonard Williams,#99,DI,10.0,52.0,0.0,0.0,3.0,0.0,49.0,0.0,59.7,-,-,-,0 (0),0.0,0.0,0.0
Tyler Lockett,#16,WR,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,59.6,-,-,-,0 (0),0.0,0.0,0.0
D.K. Metcalf,#14,WR,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,59.4,-,-,-,0 (0),0.0,0.0,0.0
Mike Morris,#94,DI,1.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,58.5,-,-,-,0 (0),0.0,0.0,0.0
Dre'Mont Jones,#55,DI,16.0,79.0,0.0,0.0,3.0,0.0,76.0,0.0,58.3,-,-,-,0 (0),0.0,0.0,0.0
DeeJay Dallas,#31,HB,17.0,284.0,88.0,77.0,60.0,59.0,0.0,0.0,57.4,61.2,53.7,-,1 (0),0.0,5.0,2.0
Cameron Young,#93,DI,16.0,90.0,0.0,0.0,16.0,0.0,74.0,0.0,51.8,-,-,-,1 (0),0.0,0.0,0.0
Stone Forsythe,#78,T,17.0,76.0,0.0,0.0,0.0,0.0,1.0,75.0,50.7,-,-,-,2 (0),0.0,0.0,0.0
Drake Thomas,#42,LB,7.0,117.0,34.0,35.0,25.0,23.0,0.0,0.0,49.9,-,-,-,0 (0),0.0,1.0,3.0
D'Wayne Eskridge,#01,WR,4.0,49.0,23.0,13.0,7.0,6.0,0.0,0.0,42.4,65.9,-,-,1 (0),0.0,0.0,0.0
