Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Myles Garrett,#95,ED,17.0,301.0,83.7,23.0,5.0,4.0,12.5,22.0,7.5,0.0,0.5,12 (4)
D'Anthony Bell,#37,S,10.0,87.0,81.7,12.0,2.0,1.0,6.7,6.0,7.0,1.0,6.2,0 (0)
Sam Kamara,#92,ED,2.0,26.0,76.6,5.0,2.0,0.0,0.0,4.0,15.4,0.0,0.6,1 (0)
Maurice Hurst,#90,DI,13.0,126.0,76.5,13.0,6.0,1.0,5.0,11.0,8.9,0.0,1.5,4 (0)
Juan Thornhill,#01,S,12.0,261.0,72.0,22.0,6.0,6.0,17.6,3.0,1.2,0.0,15.2,1 (0)
Mohamoud Diabate,#43,LB,5.0,18.0,68.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0 (0)
Shelby Harris,#93,DI,18.0,203.0,68.8,20.0,6.0,4.0,13.3,17.0,8.7,0.0,0.5,5 (0)
Sione Takitaki,#44,LB,16.0,249.0,68.2,30.0,6.0,1.0,2.7,15.0,6.2,0.0,5.0,0 (0)
Jeremiah Owusu-Koramoah,#06,LB,17.0,316.0,66.9,44.0,16.0,13.0,17.8,40.0,12.9,0.0,1.1,2 (1)
Denzel Ward,#21,CB,14.0,236.0,63.1,7.0,3.0,3.0,23.1,4.0,1.7,0.0,6.4,3 (0)
Rodney McLeod,#26,S,10.0,106.0,61.3,13.0,5.0,5.0,21.7,10.0,9.8,0.0,4.9,0 (0)
Ronnie Hickman Jr.,#33,S,9.0,88.0,61.2,10.0,2.0,2.0,14.3,2.0,2.3,0.0,12.2,1 (0)
Za'Darius Smith,#99,ED,17.0,186.0,59.6,10.0,6.0,3.0,15.8,10.0,5.5,0.0,0.1,5 (2)
Martin Emerson Jr.,#23,CB,17.0,331.0,59.5,15.0,4.0,6.0,24.0,9.0,2.8,0.0,3.5,9 (1)
Ogbo Okoronkwo,#54,ED,15.0,157.0,59.3,15.0,6.0,1.0,4.5,13.0,8.4,0.0,0.3,1 (0)
Anthony Walker Jr.,#05,LB,12.0,177.0,59.1,20.0,11.0,2.0,6.1,13.0,7.4,0.0,3.0,1 (0)
Kahlef Hailassie,#25,CB,6.0,48.0,53.6,1.0,1.0,1.0,33.3,1.0,2.1,0.0,-2.0,0 (0)
Grant Delpit,#22,S,13.0,298.0,53.4,37.0,9.0,12.0,20.7,17.0,5.8,0.0,4.9,1 (0)
Alex Wright,#91,ED,17.0,163.0,52.1,12.0,7.0,1.0,5.0,11.0,7.0,0.0,1.3,4 (0)
Tony Fields II,#42,LB,15.0,124.0,50.5,8.0,6.0,1.0,6.7,3.0,2.5,0.0,9.8,0 (0)
Jordan Kunaszyk,#51,LB,4.0,30.0,49.5,2.0,2.0,0.0,0.0,1.0,3.3,0.0,5.0,0 (0)
Dalvin Tomlinson,#94,DI,17.0,239.0,49.2,11.0,11.0,4.0,15.4,9.0,3.8,0.0,1.5,3 (0)
Greg Newsome II,#00,CB,15.0,293.0,48.2,13.0,4.0,4.0,19.0,6.0,2.1,0.0,5.2,5 (1)
Matthew Adams,#40,LB,9.0,46.0,46.2,0.0,4.0,1.0,20.0,0.0,0.0,0.0,,0 (0)
Jordan Elliott,#96,DI,18.0,224.0,45.1,13.0,4.0,3.0,15.0,8.0,3.7,0.0,2.8,6 (1)
Duron Harmon,#30,S,5.0,47.0,43.2,3.0,1.0,0.0,0.0,2.0,4.3,0.0,2.3,0 (0)
Cameron Mitchell,#29,CB,13.0,63.0,40.0,4.0,0.0,2.0,33.3,3.0,4.8,0.0,4.8,0 (0)
Isaiah McGuire,#57,ED,4.0,34.0,35.2,4.0,0.0,1.0,20.0,3.0,9.1,0.0,4.0,1 (0)
Vincent Gray,#31,CB,1.0,20.0,34.0,1.0,0.0,2.0,66.7,0.0,0.0,0.0,44.0,0 (0)
Siaki Ika,#62,DI,5.0,47.0,31.3,0.0,0.0,0.0,,0.0,0.0,0.0,,3 (0)
Mike Ford,#28,CB,10.0,45.0,29.7,1.0,2.0,1.0,25.0,0.0,0.0,0.0,8.0,1 (0)
,,,,,,,,,,,,,,
