Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Myles Garrett,#95,ED,17.0,844.0,301.0,522.0,21.0,93.9,83.7,65.7,94.7,59.5,89.0,15.0,14.0,60.0,3.0,25.0,6.0,6.0,16.2,39.0,4.0,4.0,2.0,50.0,21.0,10.5,8.0,16.0,0.0,0.0,0.0,65.6,12 (4),828.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0,818.0
Za'Darius Smith,#99,ED,17.0,603.0,186.0,402.0,15.0,83.1,59.6,44.8,86.8,87.1,61.0,6.0,15.0,40.0,1.0,14.0,8.0,8.0,26.7,19.0,1.0,1.0,1.0,100.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,79.2,5 (2),579.0,23.0,0.0,1.0,0.0,0.0,13.0,38.0,528.0
Maurice Hurst,#90,DI,13.0,302.0,126.0,173.0,3.0,81.0,76.5,47.5,75.9,67.5,18.0,2.0,3.0,13.0,2.0,15.0,7.0,4.0,15.4,14.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,4 (0),302.0,0.0,0.0,0.0,0.0,4.0,236.0,56.0,6.0
Jeremiah Owusu-Koramoah,#06,LB,17.0,802.0,316.0,80.0,406.0,76.8,66.9,56.2,87.4,73.2,18.0,4.0,1.0,13.0,1.0,78.0,25.0,15.0,12.7,61.0,1.0,47.0,40.0,85.1,341.0,8.5,292.0,76.0,4.0,2.0,2.0,107.5,2 (1),116.0,620.0,9.0,47.0,10.0,0.0,0.0,1.0,115.0
D'Anthony Bell,#37,S,13.0,256.0,87.0,10.0,159.0,76.3,81.7,77.7,59.5,69.8,1.0,0.0,1.0,0.0,0.0,25.0,2.0,2.0,6.9,8.0,1.0,16.0,11.0,68.8,77.0,7.0,26.0,20.0,0.0,2.0,3.0,39.8,0 (0),17.0,74.0,103.0,61.0,1.0,0.0,0.0,0.0,17.0
Vincent Gray,#31,CB,1.0,44.0,20.0,0.0,24.0,73.5,34.0,28.9,-,85.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,33.3,2.0,0.0,6.0,3.0,50.0,26.0,8.7,17.0,15.0,0.0,0.0,2.0,61.8,0 (0),0.0,3.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0
Anthony Walker Jr.,#05,LB,12.0,454.0,177.0,32.0,245.0,71.1,59.1,56.6,54.9,76.8,4.0,0.0,2.0,2.0,0.0,30.0,13.0,6.0,12.2,16.0,1.0,14.0,12.0,85.7,148.0,12.3,101.0,32.0,1.0,0.0,5.0,134.5,1 (0),15.0,406.0,10.0,21.0,2.0,0.0,0.0,0.0,15.0
Shelby Harris,#93,DI,18.0,462.0,203.0,253.0,6.0,70.8,68.8,43.1,75.3,59.8,22.0,2.0,2.0,18.0,5.0,20.0,7.0,4.0,12.9,18.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,5 (0),461.0,1.0,0.0,0.0,0.0,15.0,412.0,30.0,4.0
Sione Takitaki,#44,LB,16.0,608.0,249.0,38.0,321.0,70.7,68.2,58.1,54.3,70.2,9.0,1.0,1.0,7.0,1.0,50.0,12.0,8.0,11.4,24.0,0.0,29.0,18.0,62.1,206.0,11.4,153.0,70.0,1.0,1.0,2.0,80.5,0 (0),16.0,564.0,14.0,13.0,1.0,0.0,0.0,0.0,16.0
Ronnie Hickman Jr.,#33,S,11.0,322.0,88.0,2.0,232.0,70.6,61.2,71.5,57.4,70.2,2.0,0.0,0.0,2.0,0.0,20.0,4.0,3.0,11.1,7.0,0.0,10.0,5.0,50.0,43.0,8.6,10.0,37.0,2.0,1.0,2.0,61.7,1 (0),2.0,20.0,272.0,27.0,1.0,0.0,0.0,0.0,2.0
Mohamoud Diabate,#43,LB,6.0,26.0,18.0,2.0,6.0,70.3,68.8,75.7,57.8,62.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0 (0),4.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
