Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Joe Flacco,#15,QB,6.0,417,277.0,0.0,10.0,130.0,72.8,70.6,-,69.1,61.2,1 (0),cleveland-browns
Ty Nsekhe,#72,T,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,59.2,0 (0),cleveland-browns
Marquise Goodwin,#03,WR,13.0,136,91.0,0.0,4.0,41.0,50.5,49.5,-,60.2,58.9,0 (0),cleveland-browns
Joel Bitonio,#75,G,16.0,"1,107",0.0,665.0,0.0,442.0,67.9,90.9,71.0,-,60.8,4 (1),cleveland-browns
Amari Cooper,#02,WR,16.0,952,628.0,1.0,0.0,323.0,79.9,79.6,68.1,-,57.8,1 (0),cleveland-browns
Jeff Driskel,#12,QB,1.0,53,32.0,0.0,4.0,17.0,66.4,58.9,-,83.4,60.0,1 (0),cleveland-browns
Jack Conklin,#78,T,1.0,22,0.0,15.0,0.0,7.0,74.5,-,78.9,-,71.7,0 (0),cleveland-browns
Deshaun Watson,#04,QB,6.0,383,218.0,0.0,10.0,155.0,67.3,66.8,-,63.4,60.9,3 (0),cleveland-browns
David Njoku,#85,TE,17.0,"1,021",594.0,57.0,0.0,370.0,68.2,70.5,67.5,-,54.4,2 (1),cleveland-browns
Ethan Pocic,#55,C,16.0,"1,070",0.0,635.0,0.0,435.0,70.8,60.0,72.9,-,68.0,6 (1),cleveland-browns
Kareem Hunt,#27,HB,16.0,367,160.0,43.0,146.0,18.0,69.8,67.0,58.4,68.7,65.0,0 (0),cleveland-browns
Michael Dunn,#68,G,13.0,266,0.0,146.0,0.0,120.0,61.1,-,55.8,-,63.0,2 (0),cleveland-browns
Jordan Akins,#84,TE,18.0,247,130.0,7.0,0.0,110.0,53.6,57.8,43.5,-,44.2,0 (0),cleveland-browns
Wyatt Teller,#77,G,17.0,"1,254",0.0,759.0,0.0,495.0,72.7,-,67.3,-,74.0,6 (2),cleveland-browns
Nick Chubb,#24,HB,2.0,54,16.0,6.0,30.0,2.0,81.6,65.4,25.8,81.8,60.0,0 (0),cleveland-browns
Geron Christian,#64,T,10.0,675,0.0,440.0,0.0,235.0,45.0,-,54.7,-,34.4,4 (0),cleveland-browns
Harrison Bryant,#88,TE,18.0,429,173.0,23.0,5.0,228.0,57.0,59.4,80.2,55.7,49.6,0 (0),cleveland-browns
Nick Harris,#53,C,18.0,313,6.0,169.0,0.0,138.0,59.5,51.7,66.3,-,58.7,2 (0),cleveland-browns
Elijah Moore,#08,WR,18.0,966,646.0,1.0,10.0,309.0,58.9,60.6,0.0,51.5,42.3,1 (0),cleveland-browns
David Bell,#18,WR,16.0,260,163.0,6.0,0.0,91.0,63.6,63.6,78.0,-,51.1,0 (0),cleveland-browns
Jerome Ford,#34,HB,18.0,672,371.0,64.0,215.0,22.0,68.3,55.3,64.8,71.5,67.1,0 (0),cleveland-browns
Leroy Watson,#69,T,5.0,60,0.0,33.0,0.0,27.0,49.8,-,46.2,-,51.0,0 (0),cleveland-browns
Dorian Thompson-Robinson,#17,QB,8.0,214,132.0,0.0,9.0,73.0,49.3,49.4,-,58.4,60.8,1 (0),cleveland-browns
Luke Wypler,#56,G,2.0,57,0.0,34.0,0.0,23.0,64.6,-,54.5,-,65.9,0 (0),cleveland-browns
Cedric Tillman,#19,WR,14.0,609,376.0,6.0,1.0,226.0,55.5,55.4,76.4,56.6,56.2,1 (0),cleveland-browns
Dawand Jones,#79,T,11.0,712,0.0,419.0,0.0,293.0,64.7,40.4,73.0,-,53.5,2 (0),cleveland-browns
