Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
D'Anthony Bell,#37,S,1.0,60.0,1.0,42.0,32.0,0.0,100.0,1.0,9.0,9.0,0.0,0.0,0.0,
Corey Bojorquez,#13,P,3.0,60.0,5.0,58.2,27.2,0.0,60.0,3.0,57.0,19.0,0.0,2.0,2.0,4.92
Riley Patterson,#36,K,3.0,59.5,13.0,65.8,24.4,0.0,53.8,7.0,152.0,21.7,6.0,0.0,12.0,4.01
Dustin Hopkins,#07,K,15.0,59.4,76.0,68.0,25.6,0.0,26.3,20.0,431.0,21.6,50.0,6.0,75.0,4.16
,,,,,,,,,,,,,,,,
