Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
Jack Fox,#03,P,19.0,78.6,101.0,68.4,24.3,1.0,26.7,27.0,560.0,20.7,71.0,3.0,96.0,4.11
Michael Badgley,#17,K,2.0,60.0,2.0,9.5,56.5,2.0,50.0,1.0,2.0,2.0,0.0,0.0,0.0,
Riley Patterson,#36,K,3.0,58.7,7.0,55.7,26.6,1.0,57.1,4.0,55.0,13.8,3.0,0.0,6.0,3.81
,,,,,,,,,,,,,,,,
