Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Jalen Reeves-Maybin,#42,LB,6.0,14.0,93.6,1.0,1.0,0.0,0.0,1.0,7.1,1.0,-1.0,0 (0)
Brian Branch,#32,CB,18.0,268.0,83.9,32.0,6.0,4.0,9.5,23.0,8.6,0.0,2.4,8 (0)
Alim McNeill,#54,DI,16.0,251.0,76.9,15.0,16.0,6.0,16.2,13.0,5.2,1.0,1.9,0 (0)
Jack Campbell,#46,LB,20.0,307.0,75.8,39.0,26.0,5.0,7.1,22.0,7.3,0.0,3.4,2 (0)
Ifeatu Melifonwu,#06,S,13.0,159.0,74.4,16.0,6.0,3.0,12.0,8.0,5.1,0.0,5.3,2 (1)
Julian Okwara,#99,ED,6.0,19.0,72.7,2.0,0.0,0.0,0.0,2.0,10.5,0.0,1.5,1 (1)
Kerby Joseph,#31,S,18.0,369.0,72.6,21.0,5.0,4.0,13.3,5.0,1.4,0.0,9.8,3 (1)
Jerry Jacobs,#23,CB,12.0,260.0,70.8,13.0,3.0,4.0,20.0,6.0,2.3,0.0,4.0,9 (0)
Alex Anzalone,#34,LB,19.0,395.0,70.4,63.0,12.0,6.0,7.4,32.0,8.2,0.0,4.6,5 (0)
Derrick Barnes,#55,LB,19.0,293.0,69.0,36.0,20.0,5.0,8.2,26.0,9.1,0.0,2.3,0 (0)
Tracy Walker III,#21,S,11.0,172.0,67.7,15.0,9.0,4.0,14.3,8.0,4.7,0.0,5.5,2 (2)
Cameron Sutton,#01,CB,20.0,427.0,67.2,11.0,5.0,4.0,20.0,6.0,1.4,0.0,5.4,5 (0)
John Cominsky,#79,DI,19.0,223.0,65.7,21.0,15.0,3.0,7.7,15.0,6.8,0.0,4.0,0 (0)
C.J. Gardner-Johnson,#02,S,6.0,84.0,65.5,8.0,2.0,3.0,23.1,5.0,6.0,0.0,4.3,3 (0)
Charles Harris,#53,ED,11.0,68.0,64.8,2.0,3.0,0.0,0.0,2.0,3.0,0.0,-0.5,2 (0)
Aidan Hutchinson,#97,ED,20.0,381.0,63.7,28.0,9.0,7.0,15.9,21.0,5.6,0.0,2.0,3 (1)
Kindle Vildor,#29,CB,8.0,115.0,63.6,4.0,2.0,0.0,0.0,3.0,2.7,0.0,3.3,3 (0)
Romeo Okwara,#95,ED,19.0,110.0,63.1,6.0,4.0,1.0,9.1,4.0,3.7,0.0,3.0,0 (0)
Josh Paschal,#93,ED,15.0,173.0,62.1,17.0,9.0,4.0,13.3,11.0,6.4,0.0,2.6,0 (0)
Malcolm Rodriguez,#44,LB,10.0,62.0,62.0,11.0,2.0,2.0,13.3,6.0,9.8,0.0,2.3,0 (0)
Bruce Irvin,#51,ED,2.0,3.0,60.1,0.0,0.0,0.0,,0.0,0.0,0.0,,1 (0)
Anthony Pittman,#57,ED,2.0,4.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Steven Gilmore,#24,CB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Emmanuel Moseley,#04,CB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Brodric Martin,#98,DI,3.0,15.0,59.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5,0 (0)
Isaiah Buggs,#96,DI,10.0,110.0,58.5,8.0,4.0,1.0,7.7,7.0,6.5,0.0,2.9,0 (0)
Levi Onwuzurike,#91,DI,13.0,57.0,58.3,4.0,1.0,1.0,16.7,3.0,5.4,0.0,3.3,0 (0)
Will Harris,#25,CB,10.0,61.0,57.1,3.0,3.0,1.0,14.3,1.0,1.7,0.0,6.7,2 (0)
Khalil Dorsey,#30,CB,3.0,29.0,56.8,0.0,0.0,0.0,,0.0,0.0,0.0,,1 (1)
Quinton Bohanna,#90,DI,3.0,52.0,56.6,5.0,1.0,0.0,0.0,4.0,7.7,0.0,-0.8,1 (0)
Tyson Alualu,#92,DI,5.0,66.0,48.1,5.0,2.0,0.0,0.0,3.0,4.6,0.0,2.4,0 (0)
James Houston,#41,ED,3.0,9.0,45.9,0.0,0.0,0.0,,0.0,0.0,0.0,,1 (1)
Benito Jones,#94,DI,20.0,271.0,32.3,11.0,7.0,2.0,10.0,9.0,3.4,0.0,2.2,1 (0)
,,,,,,,,,,,,,,
