Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Brian Allen,#55,C,3.0,34,34,100.0,20.0,14.0,69.2,66.5,79.8,12.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,34,0.0,0.0,0.0
Davis Allen,#87,TE,16.0,211,119,56.4,102.0,17.0,64.7,51.3,75.5,14.0,14.1,0.0,0.0,1.0,1.0,96.4,2 (0),0,0,0,0.0,0.0,160.0
Ben Skowronek,#18,WR,18.0,225,129,57.3,127.0,2.0,55.9,55.2,73.7,2.0,2.2,0.0,0.0,0.0,0.0,100.0,1 (0),0,0,0,0.0,0.0,7.0
Puka Nacua,#17,WR,18.0,"1,048",385,36.7,376.0,9.0,90.2,78.1,72.0,9.0,1.5,0.0,1.0,0.0,1.0,94.4,5 (0),0,0,0,0.0,0.0,7.0
Austin Trammell,#81,WR,13.0,73,34,46.6,32.0,2.0,57.4,39.0,69.6,2.0,5.6,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0.0,1.0
Cooper Kupp,#10,WR,13.0,767,305,39.8,302.0,3.0,71.5,67.5,69.5,3.0,0.7,0.0,0.0,0.0,0.0,100.0,2 (0),0,0,0,0.0,0.0,1.0
Darrell Henderson,#27,HB,4.0,126,23,18.3,2.0,21.0,55.2,60.0,69.0,20.0,27.8,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0.0,0.0
Cam Akers,#03,HB,1.0,28,3,10.7,1.0,2.0,64.3,60.0,68.5,2.0,50.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0.0,0.0
Alaric Jackson,#77,T,16.0,"1,026","1,026",100.0,415.0,611.0,66.6,59.5,68.3,568.0,100.0,1.0,7.0,33.0,41.0,96.3,3 (0),"1,026",0,0,0.0,0.0,0.0
Royce Freeman,#24,HB,10.0,209,42,20.1,12.0,30.0,74.2,78.9,67.6,24.0,23.1,0.0,0.0,2.0,2.0,95.8,0 (0),0,0,0,0.0,0.0,0.0
Tyler Higbee,#89,TE,16.0,903,398,44.1,348.0,50.0,57.6,54.2,67.6,44.0,8.5,1.0,0.0,3.0,4.0,94.3,4 (0),0,0,0,0.0,0.0,614.0
Rob Havenstein,#79,T,15.0,914,914,100.0,357.0,557.0,79.8,85.6,66.9,520.0,100.0,2.0,3.0,21.0,26.0,97.3,4 (1),0,0,0,0.0,914.0,0.0
Kevin Dotson,#69,G,15.0,939,939,100.0,378.0,561.0,84.4,88.4,66.8,521.0,100.0,4.0,8.0,12.0,24.0,97.3,2 (0),0,0,0,939.0,0.0,0.0
Hunter Long,#84,TE,3.0,55,36,65.5,32.0,4.0,58.1,67.3,65.2,4.0,17.4,0.0,0.0,0.0,0.0,100.0,1 (1),0,0,0,0.0,0.0,45.0
Steve Avila,#73,G,18.0,"1,205","1,205",100.0,479.0,726.0,60.5,56.0,65.0,676.0,100.0,2.0,7.0,25.0,34.0,97.3,2 (0),0,"1,205",0,0.0,0.0,0.0
Kyren Williams,#23,HB,13.0,715,116,16.2,18.0,98.0,80.4,59.1,57.7,95.0,21.9,1.0,1.0,7.0,9.0,94.7,2 (0),0,0,0,0.0,0.0,0.0
Brycen Hopkins,#88,TE,16.0,96,42,43.8,38.0,4.0,68.0,54.5,56.7,4.0,7.1,0.0,0.0,0.0,0.0,100.0,1 (0),0,0,0,0.0,0.0,62.0
Tremayne Anchrum Jr.,#72,G,5.0,96,96,100.0,38.0,58.0,46.8,43.3,53.4,53.0,100.0,1.0,0.0,1.0,2.0,97.2,1 (0),0,0,0,96.0,0.0,0.0
Joe Noteboom,#70,T,10.0,573,573,100.0,227.0,346.0,52.3,48.9,51.6,326.0,100.0,4.0,5.0,19.0,28.0,95.1,1 (0),144,0,0,170.0,259.0,0.0
Coleman Shelton,#65,C,18.0,"1,171","1,171",100.0,459.0,712.0,66.1,74.6,49.2,664.0,100.0,2.0,12.0,22.0,36.0,97.1,6 (1),0,0,"1,171",0.0,0.0,0.0
Ronnie Rivers,#20,HB,8.0,111,24,21.6,8.0,16.0,75.0,59.1,46.0,15.0,25.4,0.0,0.0,1.0,1.0,96.7,0 (0),0,0,0,0.0,0.0,0.0
Warren McClendon Jr.,#71,T,2.0,32,32,100.0,16.0,16.0,54.6,57.0,45.0,14.0,100.0,1.0,0.0,1.0,2.0,89.3,0 (0),0,0,0,0.0,32.0,0.0
Zach Thomas,#57,T,1.0,35,35,100.0,6.0,29.0,22.8,55.9,8.6,26.0,100.0,2.0,0.0,3.0,5.0,86.5,1 (0),35,0,0,0.0,0.0,0.0
Zach Evans,#21,HB,4.0,16,3,18.8,3.0,0.0,42.7,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0.0,0.0
Tyler Johnson,#16,WR,1.0,36,20,55.6,20.0,0.0,63.0,34.9,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0.0,0.0
Carson Wentz,#11,QB,2.0,70,22,31.4,22.0,0.0,80.7,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0.0,0.0
Brett Rypien,#11,QB,2.0,78,31,39.7,31.0,0.0,48.1,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,3 (1),0,0,0,0.0,0.0,0.0
Van Jefferson,#12,WR,5.0,265,93,35.1,93.0,0.0,51.8,36.1,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0,0,0,0.0,0.0,0.0
Demarcus Robinson,#15,WR,14.0,446,174,39.0,174.0,0.0,70.0,71.8,-,0.0,0.0,0.0,0.0,0.0,0.0,,2 (0),0,0,0,0.0,0.0,0.0
Tutu Atwell,#05,WR,17.0,695,248,35.7,248.0,0.0,68.3,64.6,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0.0,0.0
Matthew Stafford,#09,QB,16.0,"1,057",406,38.4,406.0,0.0,88.2,60.1,-,0.0,0.0,0.0,0.0,0.0,0.0,,7 (0),0,0,0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
