Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Aaron Donald,#99,DI,17.0,598.0,596.0,99.7,91.5,3 (1),87.0,10.0,14.0,63.0,8.7,22.3,2.0,293.0,293.0,100.0,91.6,59.0,7.0,9.0,43.0,12.0,29.6,1.0
Ernest Jones,#53,LB,16.0,628.0,141.0,22.5,83.1,1 (0),37.0,6.0,2.0,29.0,15.8,22.1,1.0,282.0,82.0,29.1,82.6,28.0,4.0,2.0,22.0,19.5,28.0,0.0
Kobie Turner,#91,DI,18.0,498.0,498.0,100.0,81.2,1 (0),50.0,12.0,7.0,31.0,6.6,12.7,2.0,278.0,278.0,100.0,77.8,38.0,11.0,6.0,21.0,9.4,13.8,0.0
Derion Kendrick,#01,CB,18.0,572.0,1.0,0.2,74.4,11 (1),0.0,0.0,0.0,0.0,0.0,0.0,1.0,273.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Nick Hampton,#31,ED,8.0,42.0,32.0,76.2,74.0,1 (0),3.0,0.0,1.0,2.0,4.8,9.7,1.0,16.0,14.0,87.5,64.9,1.0,0.0,0.0,1.0,3.8,7.7,0.0
Michael Hoecht,#97,ED,18.0,638.0,382.0,59.9,66.8,2 (0),43.0,7.0,6.0,30.0,7.1,11.6,1.0,298.0,204.0,68.5,71.5,30.0,6.0,5.0,19.0,9.7,16.2,1.0
Bobby Brown III,#95,DI,14.0,162.0,162.0,100.0,65.2,0 (0),6.0,1.0,0.0,5.0,2.3,6.6,0.0,30.0,30.0,100.0,70.8,2.0,0.0,0.0,2.0,3.7,14.8,0.0
Quentin Lake,#37,CB,15.0,355.0,18.0,5.1,63.7,3 (0),2.0,0.0,0.0,2.0,6.3,12.5,0.0,193.0,10.0,5.2,56.5,2.0,0.0,0.0,2.0,11.1,11.1,0.0
Cobie Durant,#14,CB,17.0,459.0,11.0,2.4,63.0,3 (1),3.0,0.0,2.0,1.0,13.6,0.0,0.0,253.0,5.0,2.0,64.2,1.0,0.0,1.0,0.0,10.0,0.0,0.0
Troy Reeder,#59,LB,9.0,96.0,8.0,8.3,62.3,0 (0),0.0,0.0,0.0,0.0,0.0,16.7,0.0,25.0,5.0,20.0,65.5,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Zach VanValkenburg,#51,ED,9.0,54.0,39.0,72.2,61.8,0 (0),5.0,1.0,1.0,3.0,7.7,7.7,0.0,20.0,15.0,75.0,63.8,3.0,0.0,0.0,3.0,10.0,20.0,0.0
Christian Rozeboom,#56,LB,18.0,375.0,36.0,9.6,61.5,0 (0),4.0,0.0,2.0,2.0,6.1,9.1,0.0,189.0,25.0,13.2,64.9,3.0,0.0,1.0,2.0,6.5,13.0,0.0
Russ Yeast,#02,S,18.0,534.0,15.0,2.8,60.4,3 (1),3.0,0.0,0.0,3.0,10.0,0.0,0.0,267.0,8.0,3.0,67.7,2.0,0.0,0.0,2.0,12.5,0.0,0.0
Byron Young,#00,ED,18.0,650.0,518.0,79.7,60.2,2 (1),51.0,8.0,13.0,30.0,6.1,8.7,0.0,318.0,285.0,89.6,68.2,37.0,6.0,9.0,22.0,8.1,12.4,0.0
Earnest Brown IV,#90,DI,7.0,31.0,31.0,100.0,59.6,0 (0),2.0,0.0,0.0,2.0,3.3,10.0,0.0,14.0,14.0,100.0,62.1,2.0,0.0,0.0,2.0,7.1,14.3,0.0
Jake Hummel,#35,LB,4.0,37.0,2.0,5.4,57.7,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,4.5,58.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cory Durden,#98,DI,4.0,23.0,23.0,100.0,57.4,0 (0),1.0,0.0,0.0,1.0,2.2,4.3,0.0,4.0,4.0,100.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquise Copeland,#93,DI,1.0,3.0,3.0,100.0,56.7,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahkello Witherspoon,#44,CB,18.0,693.0,1.0,0.1,56.2,4 (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Desjuan Johnson,#94,DI,11.0,63.0,63.0,100.0,55.2,0 (0),5.0,2.0,0.0,3.0,5.8,6.7,0.0,38.0,38.0,100.0,56.7,5.0,2.0,0.0,3.0,9.7,8.3,0.0
