Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Puka Nacua,#17,WR,18.0,"1,048",650.0,9.0,13.0,376.0,90.2,89.3,72.0,71.0,78.1,5 (0)
Matthew Stafford,#09,QB,16.0,"1,057",644.0,0.0,7.0,406.0,88.2,86.0,-,61.3,60.1,7 (0)
Kevin Dotson,#69,G,15.0,939,0.0,561.0,0.0,378.0,84.4,-,66.8,-,88.4,2 (0)
Carson Wentz,#11,QB,2.0,70,35.0,0.0,13.0,22.0,80.7,80.2,-,68.1,60.0,0 (0)
Kyren Williams,#23,HB,13.0,715,355.0,98.0,244.0,18.0,80.4,39.1,57.7,90.5,59.1,2 (0)
Rob Havenstein,#79,T,15.0,914,0.0,557.0,0.0,357.0,79.8,-,66.9,-,85.6,4 (1)
Ronnie Rivers,#20,HB,8.0,111,49.0,16.0,38.0,8.0,75.0,66.0,46.0,77.6,59.1,0 (0)
Royce Freeman,#24,HB,10.0,209,91.0,30.0,76.0,12.0,74.2,46.0,67.6,78.1,78.9,0 (0)
Cooper Kupp,#10,WR,13.0,767,461.0,3.0,1.0,302.0,71.5,71.1,69.5,56.6,67.5,2 (0)
Demarcus Robinson,#15,WR,14.0,446,271.0,0.0,1.0,174.0,70.0,69.2,-,63.1,71.8,2 (0)
Brian Allen,#55,C,3.0,34,0.0,14.0,0.0,20.0,69.2,-,79.8,-,66.5,0 (0)
Tutu Atwell,#05,WR,17.0,695,441.0,0.0,6.0,248.0,68.3,66.6,-,72.3,64.6,0 (0)
Brycen Hopkins,#88,TE,16.0,96,54.0,4.0,0.0,38.0,68.0,70.5,56.7,-,54.5,1 (0)
Alaric Jackson,#77,T,16.0,"1,026",0.0,611.0,0.0,415.0,66.6,-,68.3,-,59.5,3 (0)
Coleman Shelton,#65,C,18.0,"1,171",0.0,712.0,0.0,459.0,66.1,-,49.2,-,74.6,6 (1)
Davis Allen,#87,TE,16.0,211,92.0,17.0,0.0,102.0,64.7,72.8,75.5,-,51.3,2 (0)
Cam Akers,#03,HB,1.0,28,3.0,2.0,22.0,1.0,64.3,56.4,68.5,63.7,60.0,0 (0)
Tyler Johnson,#16,WR,1.0,36,16.0,0.0,0.0,20.0,63.0,68.8,-,-,34.9,0 (0)
Steve Avila,#73,G,18.0,"1,205",0.0,726.0,0.0,479.0,60.5,-,65.0,-,56.0,2 (0)
Hunter Long,#84,TE,3.0,55,19.0,4.0,0.0,32.0,58.1,46.5,65.2,-,67.3,1 (1)
Tyler Higbee,#89,TE,16.0,903,505.0,50.0,0.0,348.0,57.6,58.7,67.6,-,54.2,4 (0)
Austin Trammell,#81,WR,13.0,73,39.0,2.0,0.0,32.0,57.4,60.9,69.6,-,39.0,0 (0)
Ben Skowronek,#18,WR,18.0,225,94.0,2.0,2.0,127.0,55.9,56.7,73.7,58.4,55.2,1 (0)
Darrell Henderson,#27,HB,4.0,126,57.0,21.0,46.0,2.0,55.2,58.4,69.0,53.4,60.0,0 (0)
Warren McClendon Jr.,#71,T,2.0,32,0.0,16.0,0.0,16.0,54.6,-,45.0,-,57.0,0 (0)
Joe Noteboom,#70,T,10.0,573,0.0,346.0,0.0,227.0,52.3,-,51.6,-,48.9,1 (0)
Van Jefferson,#12,WR,5.0,265,171.0,0.0,1.0,93.0,51.8,54.1,-,56.6,36.1,1 (0)
Brett Rypien,#11,QB,2.0,78,47.0,0.0,0.0,31.0,48.1,48.0,-,70.7,60.0,3 (1)
Tremayne Anchrum Jr.,#72,G,5.0,96,0.0,58.0,0.0,38.0,46.8,-,53.4,-,43.3,1 (0)
Zach Evans,#21,HB,4.0,16,4.0,0.0,9.0,3.0,42.7,56.2,-,45.4,60.0,0 (0)
Zach Thomas,#57,T,1.0,35,0.0,29.0,0.0,6.0,22.8,-,8.6,-,55.9,1 (0)
,,,,,,,,,,,,,,
