Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
Aaron Donald,#99,DI,17.0,916,318.0,596.0,2.0,90.8,71.7,56.3,91.5,49.8,87.0,10.0,14.0,63.0,2.0,34.0,13.0,4.0,7.8,34.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3 (1),903.0,13.0,0.0,0.0,0.0,19.0,349.0,463.0,72.0,los-angeles-rams
Ahkello Witherspoon,#44,CB,18.0,"1,115",422.0,1.0,692.0,62.8,70.2,36.0,56.2,60.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,11.0,16.7,12.0,0.0,104.0,52.0,50.0,785.0,15.1,201.0,80.0,5.0,3.0,10.0,79.2,4 (3),4.0,160.0,0.0,0.0,950.0,0.0,0.0,0.0,4.0,los-angeles-rams
Marquise Copeland,#93,DI,1.0,11,8.0,3.0,0.0,62.0,62.6,66.8,56.7,-,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),11.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,los-angeles-rams
Troy Reeder,#59,LB,9.0,194,98.0,8.0,88.0,45.7,57.0,48.7,62.3,38.7,0.0,0.0,0.0,0.0,0.0,15.0,3.0,3.0,14.3,10.0,0.0,13.0,10.0,76.9,125.0,12.5,68.0,25.0,1.0,0.0,0.0,131.9,0 (0),2.0,180.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,los-angeles-rams
Duke Shelley,#26,CB,4.0,76,31.0,0.0,45.0,42.5,71.6,79.7,-,36.9,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,12.0,8.0,66.7,103.0,12.9,18.0,22.0,1.0,0.0,2.0,121.2,0 (0),0.0,5.0,0.0,10.0,61.0,0.0,0.0,0.0,0.0,los-angeles-rams
Michael Hoecht,#97,ED,18.0,"1,016",378.0,382.0,256.0,58.2,60.9,34.4,66.8,38.7,43.0,7.0,6.0,30.0,1.0,47.0,23.0,16.0,18.6,30.0,1.0,43.0,35.0,81.4,313.0,8.9,245.0,49.0,2.0,0.0,1.0,112.5,2 (0),950.0,5.0,0.0,61.0,0.0,0.0,0.0,39.0,911.0,los-angeles-rams
Christian Rozeboom,#56,LB,18.0,579,204.0,36.0,339.0,47.9,42.2,34.8,61.5,51.8,4.0,0.0,2.0,2.0,0.0,59.0,18.0,18.0,18.9,32.0,0.0,49.0,43.0,87.8,340.0,7.9,237.0,22.0,1.0,1.0,2.0,93.9,0 (0),0.0,515.0,0.0,61.0,1.0,0.0,0.0,0.0,0.0,los-angeles-rams
Jonah Williams,#92,DI,18.0,636,303.0,333.0,0.0,53.7,61.0,67.3,46.8,60.0,17.0,2.0,2.0,13.0,1.0,35.0,15.0,4.0,7.4,27.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),636.0,0.0,0.0,0.0,0.0,4.0,113.0,383.0,136.0,los-angeles-rams
Larrell Murchison,#52,DI,16.0,261,128.0,133.0,0.0,48.6,53.4,62.8,46.2,-,5.0,0.0,0.0,5.0,0.0,12.0,5.0,1.0,5.6,9.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),261.0,0.0,0.0,0.0,0.0,1.0,140.0,84.0,36.0,los-angeles-rams
Jordan Fuller,#04,S,17.0,"1,057",383.0,10.0,664.0,66.7,75.0,71.9,49.6,63.3,0.0,0.0,0.0,0.0,0.0,72.0,19.0,10.0,9.9,17.0,3.0,45.0,25.0,55.6,334.0,13.4,113.0,46.0,3.0,3.0,5.0,73.8,1 (0),7.0,226.0,692.0,131.0,1.0,0.0,0.0,0.0,7.0,los-angeles-rams
