Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1,@,New York Jets,09/11,8:15pm,L,16.0,22.0,59.6,57.6,52.3,73.1,61.7,56.9,44.9,59.6,43.1,45.0,69.0,68.8,62.4,Game Reports
2,,Las Vegas Raiders,09/17,1:00pm,W,38.0,10.0,81.6,80.9,78.5,73.6,71.6,78.4,73.1,66.8,87.3,74.4,52.0,63.4,70.7,Game Reports
3,@,Washington Commanders,09/24,1:00pm,W,37.0,3.0,83.8,72.5,76.5,83.0,65.4,75.2,57.5,86.4,60.7,44.0,66.8,90.6,62.1,Game Reports
4,,Miami Dolphins,10/01,1:00pm,W,48.0,20.0,84.2,88.1,91.3,62.9,83.0,78.6,64.9,66.7,56.6,32.9,68.7,68.5,69.6,Game Reports
5,,Jacksonville Jaguars,10/08,9:30am,L,20.0,25.0,72.0,74.2,89.7,58.7,67.9,68.9,55.6,66.7,67.9,32.9,81.9,54.2,58.6,Game Reports
6,,New York Giants,10/15,8:20pm,W,14.0,9.0,72.2,73.4,74.0,61.9,69.6,72.1,66.4,71.6,69.7,68.2,66.6,68.1,41.0,Game Reports
7,@,New England Patriots,10/22,1:00pm,L,25.0,29.0,62.2,68.0,67.0,74.7,69.4,55.4,58.7,54.0,48.1,45.6,65.3,52.2,58.7,Game Reports
8,,Tampa Bay Buccaneers,10/26,8:15pm,W,24.0,18.0,79.0,81.8,85.1,72.9,74.6,74.1,63.3,64.3,46.0,59.7,59.2,73.0,59.0,Game Reports
9,@,Cincinnati Bengals,11/05,8:20pm,L,18.0,24.0,79.8,77.3,73.7,61.6,73.3,82.1,58.7,71.7,73.6,63.2,72.1,63.7,80.3,Game Reports
10,,Denver Broncos,11/13,8:15pm,L,22.0,24.0,66.3,68.6,66.6,77.2,55.6,77.5,67.6,62.7,45.9,62.1,68.2,69.2,56.3,Game Reports
11,,New York Jets,11/19,4:25pm,W,32.0,6.0,76.4,62.4,63.8,60.6,56.8,66.0,66.5,88.0,75.8,65.3,67.7,89.9,71.0,Game Reports
12,@,Philadelphia Eagles,11/26,4:25pm,L,34.0,37.0,74.3,73.4,86.6,65.7,66.4,81.9,48.5,68.7,60.8,51.6,62.9,73.0,56.8,Game Reports
14,@,Kansas City Chiefs,12/10,4:25pm,W,20.0,17.0,59.9,60.4,63.1,63.1,57.9,70.7,50.7,55.4,40.5,56.4,70.8,53.0,71.2,Game Reports
15,,Dallas Cowboys,12/17,4:25pm,W,31.0,10.0,78.0,73.7,66.8,36.5,48.7,90.2,72.1,72.4,49.8,57.7,58.9,85.5,74.8,Game Reports
16,@,Los Angeles Chargers,12/23,8:00pm,W,24.0,22.0,73.1,75.5,74.0,65.4,83.1,51.1,68.9,66.8,59.3,57.9,61.9,70.0,63.1,Game Reports
17,,New England Patriots,12/31,1:00pm,W,27.0,21.0,65.6,61.7,56.6,76.7,58.3,75.8,49.1,68.5,55.7,50.6,67.5,71.9,55.6,Game Reports
18,@,Miami Dolphins,01/07,8:20pm,W,21.0,14.0,76.9,71.9,71.6,56.6,74.3,73.7,53.9,72.8,70.2,71.2,62.3,74.1,63.3,Game Reports
WC,,Pittsburgh Steelers,01/15,4:30pm,W,31.0,17.0,75.2,75.2,76.3,55.0,72.1,73.9,62.5,72.9,55.6,57.1,85.6,67.4,60.7,Game Reports
DP,,Kansas City Chiefs,01/21,6:30pm,L,24.0,27.0,55.9,68.2,80.9,84.9,56.2,71.9,57.1,35.6,33.3,51.1,62.4,34.5,70.0,Game Reports
,,,,,,,,,,,,,,,,,,,,,
