Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Tyler Scott,#13,WR,17.0,271.0,8.0,3.0,80.6,0 (0),8.0,3.0,0.0,0.0,0.0,0.0,100.0,150.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Darrynton Evans,#25,HB,5.0,45.0,9.0,20.0,73.9,0 (0),9.0,20.5,0.0,0.0,1.0,1.0,94.4,21.0,3.0,14.3,80.3,3.0,15.0,0.0,0.0,0.0,0.0,100.0
Equanimeous St. Brown,#19,WR,7.0,118.0,2.0,1.7,72.0,0 (0),2.0,1.8,0.0,0.0,0.0,0.0,100.0,62.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Braxton Jones,#70,T,11.0,421.0,421.0,100.0,70.8,3 (1),401.0,100.0,2.0,2.0,28.0,32.0,95.8,203.0,203.0,100.0,60.7,193.0,100.0,2.0,2.0,22.0,26.0,92.7
Teven Jenkins,#76,G,12.0,397.0,397.0,100.0,68.6,1 (0),378.0,100.0,3.0,3.0,11.0,17.0,97.4,187.0,187.0,100.0,63.7,177.0,100.0,3.0,2.0,8.0,13.0,95.5
Marcedes Lewis,#84,TE,16.0,106.0,64.0,60.4,68.4,1 (0),61.0,61.0,0.0,0.0,1.0,1.0,99.2,14.0,4.0,28.6,74.4,4.0,28.6,0.0,0.0,0.0,0.0,100.0
Ja'Tyre Carter,#69,G,4.0,100.0,100.0,100.0,67.2,0 (0),98.0,100.0,1.0,0.0,4.0,5.0,96.9,45.0,45.0,100.0,53.4,44.0,100.0,1.0,0.0,3.0,4.0,94.3
Roschon Johnson,#23,HB,15.0,270.0,68.0,25.2,64.8,1 (1),65.0,25.5,2.0,0.0,4.0,6.0,93.8,163.0,36.0,22.1,68.5,34.0,21.9,1.0,0.0,2.0,3.0,94.1
Cole Kmet,#85,TE,17.0,508.0,65.0,12.8,64.3,0 (0),61.0,12.6,0.0,0.0,1.0,1.0,99.2,239.0,15.0,6.3,75.9,15.0,6.6,0.0,0.0,0.0,0.0,100.0
Trent Taylor,#15,WR,13.0,65.0,1.0,1.5,62.4,0 (0),1.0,1.6,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Chase Claypool,#10,WR,3.0,94.0,1.0,1.1,61.6,1 (0),1.0,1.1,0.0,0.0,0.0,0.0,100.0,45.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Darnell Wright,#58,T,17.0,646.0,646.0,100.0,61.4,4 (1),618.0,100.0,7.0,3.0,41.0,51.0,95.3,303.0,303.0,100.0,62.9,291.0,100.0,3.0,0.0,29.0,32.0,94.0
