Player,JerseyNumber,Position,GamesPlayed,PuntingGrade,PuntingTotalPunts,PuntingTotalYards,PuntingYardsPerAttempt,PuntingNetYardsPerAttempt,PuntingLongestPunt,PuntingInsideThe20,PuntingBlocked,PuntingReturnPercentage,PuntingReturned,PuntingYardsAllowed,PuntingYardsPerReturnAllowed,PuntingTouchbacks,PuntingOutOfBounds,PuntingDowned,PuntingFairCatches,PuntingHangtimeAverage,PuntingHangtimeAverage.1
Logan Cooke,#09,P,17.0,77.8,61.0,"2,893",47.4,43.8,65.0,30.0,0.0,36.1,22.0,143.0,6.5,4.0,8.0,5.0,22.0,61.0,4.34
,,,,,,,,,,,,,,,,,,,,,
