Player,JerseyNumber,Position,GamesPlayed,KickReturnsTotal,KickReturnsTotalGrade,KickoffReturnsTotal,KickoffReturnsTotalYards,KickoffReturnsTotalYards.1,KickoffReturnsLongestReturn,KickoffReturnsYardsPerAttempt,KickoffReturnsTouchdowns,KickoffReturnsFairCatches,KickoffReturnsMuffed,PuntReturnsTotal,PuntReturnsTotalReturns,PuntReturnsTotalYards,PuntReturnsTotalFairCatches,PuntReturnsTotalLongestReturn,PuntReturnsTotalYardsPerAttempt,PuntReturnsTotalTouchdowns,PuntReturnsTotalMuffed
Jamal Agnew,#39,WR,11.0,76.1,29.0,71.5,15.0,391.0,53.0,26.1,0.0,0.0,0.0,71.3,14.0,144.0,9.0,48.0,10.3,0.0,0.0
Evan Engram,#17,TE,17.0,66.8,1.0,66.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Parker Washington,#11,WR,9.0,66.1,14.0,61.3,2.0,51.0,33.0,25.5,0.0,0.0,0.0,67.7,12.0,126.0,5.0,26.0,10.5,0.0,1.0
Christian Kirk,#13,WR,12.0,62.3,2.0,-,0.0,0.0,0.0,,0.0,0.0,0.0,63.0,2.0,27.0,3.0,15.0,13.5,0.0,0.0
Daniel Thomas,#20,S,15.0,59.9,1.0,59.9,1.0,21.0,21.0,21.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Tank Bigsby,#04,HB,17.0,58.8,4.0,58.9,4.0,99.0,31.0,24.8,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Tevaughn Campbell,#29,CB,2.0,57.2,1.0,-,0.0,0.0,0.0,,0.0,0.0,0.0,58.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0
D'Ernest Johnson,#25,HB,17.0,55.1,7.0,55.6,7.0,126.0,22.0,18.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,
