Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Evan Engram,#17,TE,17.0,140.0,114.0,81.4,963,8.4,4.0,71.6,73.2,81.0,27.2,61.8,678.0,617.0,91.0,22.0,3.2,367.0,54.1,134.0,19.8,174.0,25.7,528.0,4.6,1.56,5.0,34.0,6.0,5.0,12.0,8.0,66.7,3.0,3.0,16.0,47.0,95.9,3 (0)
Christian Kirk,#13,WR,12.0,80.0,57.0,71.3,788,13.8,3.0,71.1,72.7,68.2,26.7,75.7,408.0,380.0,93.1,1.0,0.2,291.0,71.3,114.0,27.9,0.0,0.0,252.0,4.4,2.07,10.7,57.0,4.0,6.6,7.0,2.0,28.6,2.0,2.0,6.0,34.0,104.6,1 (1)
Calvin Ridley,#00,WR,17.0,132.0,76.0,57.6,"1,016",13.4,8.0,71.4,72.2,62.1,54.8,-,688.0,647.0,94.0,0.0,0.0,128.0,18.6,560.0,81.4,0.0,0.0,202.0,2.7,1.57,13.9,59.0,7.0,8.4,22.0,8.0,36.4,4.0,1.0,4.0,49.0,89.7,3 (0)
Travis Etienne Jr.,#01,HB,17.0,67.0,58.0,86.6,476,8.2,1.0,77.0,69.3,63.6,91.3,52.2,549.0,404.0,73.6,120.0,21.9,27.0,4.9,44.0,8.0,0.0,0.0,541.0,9.3,1.18,-0.9,56.0,5.0,7.9,1.0,0.0,0.0,0.0,0.0,24.0,23.0,101.2,1 (0)
Luke Farrell,#89,TE,17.0,15.0,13.0,86.7,155,11.9,0.0,58.1,68.4,80.6,72.7,67.6,168.0,114.0,67.9,50.0,29.8,32.0,19.0,3.0,1.8,129.0,76.8,97.0,7.5,1.36,4.8,42.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,109.7,2 (0)
D'Ernest Johnson,#25,HB,14.0,11.0,10.0,90.9,140,14.0,0.0,57.5,65.7,78.0,83.6,43.7,143.0,108.0,75.5,31.0,21.7,9.0,6.3,16.0,11.2,0.0,0.0,138.0,13.8,1.3,0.7,42.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,6.0,118.8,0 (0)
Jamal Agnew,#39,WR,10.0,20.0,14.0,70.0,225,16.1,1.0,59.9,62.5,80.6,51.9,-,156.0,150.0,96.2,0.0,0.0,78.0,50.0,78.0,50.0,0.0,0.0,81.0,5.8,1.5,11.6,65.0,0.0,0.0,3.0,2.0,66.7,1.0,1.0,0.0,8.0,103.1,3 (0)
Zay Jones,#07,WR,9.0,62.0,34.0,54.8,321,9.4,2.0,61.2,61.5,79.4,77.1,66.2,325.0,307.0,94.5,1.0,0.3,94.0,28.9,231.0,71.1,0.0,0.0,61.0,1.8,1.05,14.1,36.0,1.0,2.9,14.0,5.0,35.7,2.0,0.0,0.0,13.0,66.7,0 (0)
JaMycal Hasty,#22,HB,2.0,2.0,0.0,0.0,0,,0.0,58.9,57.6,-,-,-,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,,0.0,14.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,39.6,0 (0)
Elijah Cooks,#14,WR,9.0,4.0,3.0,75.0,38,12.7,0.0,53.0,54.0,36.2,65.8,-,56.0,55.0,98.2,0.0,0.0,10.0,17.9,46.0,82.1,0.0,0.0,9.0,3.0,0.69,8.0,23.0,1.0,25.0,0.0,0.0,,0.0,0.0,0.0,2.0,104.2,1 (0)
Parker Washington,#11,WR,7.0,19.0,16.0,84.2,132,8.3,2.0,51.1,53.4,66.7,34.4,-,186.0,177.0,95.2,0.0,0.0,141.0,75.8,45.0,24.2,0.0,0.0,38.0,2.4,0.75,7.9,19.0,1.0,5.9,3.0,3.0,100.0,0.0,1.0,2.0,5.0,130.7,0 (0)
Tim Jones,#15,WR,16.0,17.0,11.0,64.7,83,7.5,0.0,52.0,51.8,78.7,71.5,81.0,199.0,184.0,92.5,5.0,2.5,67.0,33.7,126.0,63.3,4.0,2.0,32.0,2.9,0.45,7.6,15.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,1.0,4.0,76.3,0 (0)
Brenton Strange,#85,TE,14.0,9.0,5.0,55.6,35,7.0,1.0,48.6,50.7,73.4,68.0,55.8,124.0,85.0,68.5,34.0,27.4,49.0,39.5,14.0,11.3,55.0,44.4,30.0,6.0,0.41,6.3,17.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,101.6,5 (1)
Tank Bigsby,#04,HB,11.0,4.0,1.0,25.0,6,6.0,0.0,52.3,24.7,25.9,26.9,32.1,60.0,39.0,65.0,18.0,30.0,2.0,3.3,7.0,11.7,0.0,0.0,5.0,5.0,0.15,-1.3,6.0,3.0,75.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,1 (1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
