Rank,PLAYER,#,POS,#G,TOT,RDEF,PRSH,COV,DEF,RDEF,TACK,PRSH,COV,TOT,SK,HIT,HUR,BAT,TKL,AST,MIS,MIS%,STOP,FFM,TGT,REC,REC%,YDS,Y/REC,YAC,LNG,TD,INT,PBU,NFL,PEN,DL,Box,FS,Slot,Cnr,AGP,BGP,OVT,OUT
11,Lorenzo Carter,#00,ED,17,431,192,226,13,67.0,69.6,47.4,60.2,48.9,21,3,6,12,0,26,8,6,15.0,23,1,1,1,100.0,4,4.0,2,4,0,0,0,83.3,0 (0),429,0,0,2,0,0,1,1,427
12,LaCale London,#72,DI,7,204,108,94,2,65.9,72.5,59.1,56.9,55.5,5,0,0,5,0,9,5,1,6.7,9,0,0,0,,0,,0,,0,0,0,0.0,1 (0),204,0,0,0,0,83,120,1,0
13,DeMarcco Hellams,#37,S,11,370,117,4,249,65.2,75.3,72.7,69.3,61.3,2,0,1,1,0,24,6,3,9.1,10,0,12,8,66.7,36,4.5,30,12,0,0,0,70.1,2 (0),11,68,255,27,8,0,0,0,11
14,Zach Harrison,#96,ED,16,343,177,164,2,63.0,68.2,56.2,51.2,60.6,13,3,2,8,0,21,10,5,13.9,21,0,0,0,,0,,0,,0,0,0,0.0,0 (0),340,0,0,2,0,0,20,65,255
15,Joe Gaziano,#99,ED,2,48,29,19,0,62.0,62.3,72.8,57.3,-,1,0,0,1,0,1,3,0,0.0,1,0,0,0,,0,,0,,0,0,0,0.0,0 (0),48,0,0,0,0,0,3,5,40
16,Tae Davis,#33,LB,1,1,0,0,1,61.6,-,-,-,60.0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0.0,0 (0),0,1,0,0,0,0,0,0,0
16,Keith Smith,#40,FB,1,1,1,0,0,61.6,60.0,-,-,-,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0.0,0 (0),0,0,0,0,0,0,0,0,0
18,Arnold Ebiketie,#17,ED,17,385,138,175,72,61.4,54.8,63.0,70.1,44.4,28,7,4,17,1,12,7,4,17.4,12,2,13,10,76.9,77,7.7,48,25,1,0,0,116.5,0 (0),365,4,0,16,0,0,0,3,362
19,DeAngelo Malone,#51,ED,3,3,2,1,0,61.2,60.0,70.6,58.3,-,1,0,0,1,0,1,0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.0,0 (0),2,0,0,0,0,0,0,0,2
20,KhaDarel Hodge,#12,WR,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0.0,0 (0),0,0,0,0,0,0,0,0,0
20,Mack Hollins,#18,WR,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0.0,0 (0),0,0,0,0,0,0,0,0,0
22,Ta'Quon Graham,#95,DI,15,364,188,174,2,59.1,59.8,55.0,58.7,58.4,10,1,1,8,0,11,10,2,8.7,8,1,0,0,,0,,0,,0,0,0,0.0,1 (0),364,0,0,0,0,2,322,40,0
23,Clark Phillips III,#34,CB,7,414,181,2,231,59.0,65.0,46.6,55.0,58.5,1,0,0,1,0,23,4,6,18.2,9,0,29,15,51.7,175,11.7,49,29,2,0,3,93.3,6 (0),3,39,2,33,337,0,0,0,3
24,Kentavius Street,#75,DI,5,180,76,102,2,58.0,61.7,48.0,58.4,45.5,5,1,0,4,1,8,5,2,13.3,8,0,0,0,,0,,0,,0,0,0,0.0,0 (0),178,2,0,0,0,17,147,14,0
25,Micah Abernathy,#29,S,3,24,4,2,18,57.5,60.0,79.0,57.2,58.0,1,0,0,1,0,2,1,0,0.0,1,0,1,1,100.0,6,6.0,0,6,0,0,0,91.7,0 (0),1,4,17,0,1,0,0,0,1
26,Jaylinn Hawkins,#32,S,4,30,2,0,28,56.2,60.0,79.5,-,55.7,0,0,0,0,0,2,0,0,0.0,1,0,2,2,100.0,22,11.0,3,14,0,0,0,112.5,0 (0),0,0,29,1,0,0,0,0,0
27,Bud Dupree,#48,ED,16,725,273,433,19,56.0,65.4,35.8,51.3,48.6,38,8,2,28,1,17,14,10,24.4,16,2,1,1,100.0,11,11.0,17,11,0,0,0,112.5,1 (1),722,0,0,3,0,0,1,2,719
28,Tre Flowers,#33,CB,9,200,88,3,109,53.9,91.2,75.2,52.3,41.9,0,0,0,0,0,15,3,1,5.3,2,0,14,10,71.4,177,17.7,71,45,3,0,1,153.3,2 (0),4,12,1,8,174,0,0,0,4
29,Timmy Horne,#98,DI,3,57,28,29,0,52.5,56.9,70.2,60.2,-,1,0,0,1,1,1,2,0,0.0,1,0,0,0,,0,,0,,0,0,0,0.0,1 (1),57,0,0,0,0,9,47,1,0
30,Travis Bell,#74,DI,2,30,22,8,0,51.9,53.6,69.5,54.4,-,0,0,0,0,0,2,1,0,0.0,1,0,0,0,,0,,0,,0,0,0,0.0,0 (0),30,0,0,0,0,12,16,2,0
31,Mike Hughes,#21,CB,14,333,127,5,201,51.8,54.3,37.6,82.7,49.1,1,0,0,1,0,17,2,5,20.8,8,0,21,13,61.9,125,9.6,59,16,1,0,0,94.3,0 (0),7,28,2,235,60,0,0,0,7
32,Richie Grant,#27,S,17,945,380,39,526,51.5,62.5,57.7,76.6,42.4,11,3,3,5,0,71,26,16,14.2,21,2,51,36,70.6,532,14.8,176,61,5,1,4,128.9,2 (2),80,291,418,133,22,0,0,0,80
33,Troy Andersen,#44,LB,2,139,56,10,73,50.6,48.2,43.3,56.6,56.0,3,1,0,2,0,8,6,4,22.2,6,0,10,8,80.0,64,8.0,41,15,0,0,0,93.3,1 (0),2,118,0,16,3,0,0,0,2
34,Jeff Okudah,#01,CB,13,596,226,0,370,50.5,68.8,66.9,-,46.0,0,0,0,0,0,34,9,4,8.5,11,0,52,32,61.5,494,15.4,199,51,0,0,3,92.9,5 (1),3,66,1,18,508,0,0,0,3
35,Albert Huggins,#94,DI,13,317,160,156,1,47.8,47.0,75.8,52.3,59.4,4,0,2,2,0,12,11,0,0.0,7,0,0,0,,0,,0,,0,0,0,0.0,0 (0),317,0,0,0,0,99,216,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
