Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Tre Flowers,#33,CB,7.0,88.0,91.2,7.0,2.0,0.0,0.0,2.0,2.4,0.0,9.6,2 (0)
Jessie Bates III,#03,S,17.0,476.0,89.8,44.0,23.0,6.0,8.2,17.0,3.6,2.0,6.2,1 (0)
Nate Landman,#53,LB,16.0,371.0,85.4,60.0,22.0,6.0,6.8,46.0,12.6,2.0,2.7,1 (0)
Calais Campbell,#93,ED,17.0,289.0,80.2,30.0,11.0,8.0,16.3,26.0,9.2,0.0,1.6,1 (0)
Kaden Elliss,#55,LB,17.0,448.0,79.0,52.0,18.0,3.0,4.1,30.0,6.8,0.0,4.2,2 (0)
David Onyemata,#90,DI,14.0,243.0,77.1,29.0,9.0,3.0,7.3,23.0,9.7,0.0,2.1,4 (1)
DeMarcco Hellams,#37,S,10.0,117.0,75.3,9.0,6.0,1.0,6.3,4.0,3.4,0.0,8.2,2 (0)
Andre Smith,#59,LB,4.0,65.0,75.2,9.0,2.0,2.0,15.4,4.0,6.2,1.0,4.0,0 (0)
LaCale London,#72,DI,7.0,108.0,72.5,9.0,5.0,1.0,6.7,9.0,8.5,0.0,0.3,1 (0)
A.J. Terrell,#24,CB,17.0,454.0,70.0,9.0,3.0,1.0,7.7,5.0,1.1,0.0,6.0,7 (0)
Lorenzo Carter,#00,ED,17.0,192.0,69.6,24.0,7.0,5.0,13.9,18.0,9.6,0.0,2.0,0 (0)
Jeff Okudah,#01,CB,13.0,226.0,68.8,9.0,6.0,1.0,6.3,6.0,2.7,0.0,6.6,5 (1)
Zach Harrison,#96,ED,16.0,177.0,68.2,21.0,10.0,2.0,6.1,18.0,10.5,0.0,2.4,0 (0)
Eli Ankou,#75,DI,1.0,4.0,68.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0 (0)
Grady Jarrett,#97,DI,8.0,121.0,66.9,10.0,6.0,2.0,11.1,10.0,8.4,0.0,1.9,1 (1)
Bud Dupree,#48,ED,16.0,273.0,65.4,14.0,13.0,6.0,18.2,8.0,3.0,0.0,1.4,1 (1)
Clark Phillips III,#34,CB,7.0,181.0,65.0,7.0,3.0,1.0,9.1,4.0,2.2,0.0,11.3,6 (0)
Dee Alford,#20,CB,13.0,220.0,62.8,7.0,5.0,1.0,7.7,4.0,1.9,0.0,4.6,3 (0)
Richie Grant,#27,S,16.0,380.0,62.5,28.0,17.0,4.0,8.2,10.0,2.7,0.0,7.1,2 (2)
Joe Gaziano,#99,ED,2.0,29.0,62.3,1.0,3.0,0.0,0.0,1.0,3.4,0.0,3.0,0 (0)
Kentavius Street,#75,DI,5.0,76.0,61.7,8.0,4.0,1.0,7.7,7.0,9.5,0.0,1.5,0 (0)
DeAngelo Malone,#51,ED,2.0,2.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0 (0)
Jaylinn Hawkins,#32,S,2.0,2.0,60.0,1.0,0.0,0.0,0.0,1.0,50.0,0.0,13.0,0 (0)
Micah Abernathy,#29,S,3.0,4.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
KhaDarel Hodge,#12,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Mack Hollins,#18,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Keith Smith,#40,FB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Ta'Quon Graham,#95,DI,15.0,188.0,59.8,11.0,9.0,2.0,9.1,7.0,3.8,0.0,2.7,1 (0)
Timmy Horne,#98,DI,3.0,28.0,56.9,1.0,2.0,0.0,0.0,1.0,3.8,0.0,2.0,1 (1)
Arnold Ebiketie,#17,ED,17.0,138.0,54.8,5.0,6.0,0.0,0.0,2.0,1.5,0.0,4.6,0 (0)
Mike Hughes,#21,CB,12.0,127.0,54.3,9.0,2.0,4.0,26.7,6.0,4.7,0.0,3.6,0 (0)
Travis Bell,#74,DI,2.0,22.0,53.6,2.0,1.0,0.0,0.0,1.0,4.5,0.0,3.0,0 (0)
Troy Andersen,#44,LB,2.0,56.0,48.2,2.0,5.0,3.0,30.0,2.0,3.8,0.0,0.5,1 (0)
Albert Huggins,#94,DI,13.0,160.0,47.0,11.0,10.0,0.0,0.0,6.0,3.8,0.0,3.7,0 (0)
,,,,,,,,,,,,,,
