Player,JerseyNumber,Position,GamesPlayed,KickReturnsTotal,KickReturnsTotalGrade,KickoffReturnsTotal,KickoffReturnsTotalYards,KickoffReturnsTotalYards.1,KickoffReturnsLongestReturn,KickoffReturnsYardsPerAttempt,KickoffReturnsTouchdowns,KickoffReturnsFairCatches,KickoffReturnsMuffed,PuntReturnsTotal,PuntReturnsTotalReturns,PuntReturnsTotalYards,PuntReturnsTotalFairCatches,PuntReturnsTotalLongestReturn,PuntReturnsTotalYardsPerAttempt,PuntReturnsTotalTouchdowns,PuntReturnsTotalMuffed
Dee Alford,#20,CB,16.0,63.7,22.0,59.7,2.0,13.0,8.0,6.5,0.0,0.0,0.0,65.3,20.0,162.0,7.0,23.0,8.1,0.0,2.0
Mike Hughes,#21,CB,15.0,62.8,14.0,56.8,3.0,46.0,19.0,15.3,0.0,0.0,0.0,66.6,11.0,67.0,10.0,16.0,6.1,0.0,0.0
Scott Miller,#16,WR,17.0,60.6,2.0,59.5,1.0,14.0,14.0,14.0,0.0,0.0,0.0,61.5,1.0,4.0,1.0,4.0,4.0,0.0,0.0
Bijan Robinson,#07,HB,17.0,60.2,1.0,-,0.0,0.0,0.0,,0.0,0.0,0.0,60.1,1.0,8.0,0.0,8.0,8.0,0.0,0.0
Keith Smith,#40,FB,13.0,59.9,1.0,59.9,1.0,10.0,10.0,10.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Cordarrelle Patterson,#84,HB,14.0,49.1,7.0,50.2,7.0,153.0,29.0,21.9,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,
