Rank,PLAYER,#,POS,#G,RDEF,RDEF,TKL,AST,MIS,MIS%,STOP,STOP%,FFM,AVDT,PEN
1,Tre Flowers,#33,CB,7,88,91.2,7,2,0,0.0,2,2.4,0,9.6,2 (0)
2,Jessie Bates III,#03,S,17,476,89.8,44,23,6,8.2,17,3.6,2,6.2,1 (0)
3,Nate Landman,#53,LB,16,371,85.4,60,22,6,6.8,46,12.6,2,2.7,1 (0)
4,Calais Campbell,#93,ED,17,289,80.2,30,11,8,16.3,26,9.2,0,1.6,1 (0)
5,Kaden Elliss,#55,LB,17,448,79.0,52,18,3,4.1,30,6.8,0,4.2,2 (0)
6,David Onyemata,#90,DI,14,243,77.1,29,9,3,7.3,23,9.7,0,2.1,4 (1)
7,DeMarcco Hellams,#37,S,10,117,75.3,9,6,1,6.3,4,3.4,0,8.2,2 (0)
8,Andre Smith,#59,LB,4,65,75.2,9,2,2,15.4,4,6.2,1,4.0,0 (0)
9,LaCale London,#72,DI,7,108,72.5,9,5,1,6.7,9,8.5,0,0.3,1 (0)
10,A.J. Terrell,#24,CB,17,454,70.0,9,3,1,7.7,5,1.1,0,6.0,7 (0)
11,Lorenzo Carter,#00,ED,17,192,69.6,24,7,5,13.9,18,9.6,0,2.0,0 (0)
12,Jeff Okudah,#01,CB,13,226,68.8,9,6,1,6.3,6,2.7,0,6.6,5 (1)
13,Zach Harrison,#96,ED,16,177,68.2,21,10,2,6.1,18,10.5,0,2.4,0 (0)
14,Eli Ankou,#75,DI,1,4,68.1,0,1,0,0.0,0,0.0,0,,0 (0)
15,Grady Jarrett,#97,DI,8,121,66.9,10,6,2,11.1,10,8.4,0,1.9,1 (1)
16,Bud Dupree,#48,ED,16,273,65.4,14,13,6,18.2,8,3.0,0,1.4,1 (1)
17,Clark Phillips III,#34,CB,7,181,65.0,7,3,1,9.1,4,2.2,0,11.3,6 (0)
18,Dee Alford,#20,CB,13,220,62.8,7,5,1,7.7,4,1.9,0,4.6,3 (0)
19,Richie Grant,#27,S,16,380,62.5,28,17,4,8.2,10,2.7,0,7.1,2 (2)
20,Joe Gaziano,#99,ED,2,29,62.3,1,3,0,0.0,1,3.4,0,3.0,0 (0)
21,Kentavius Street,#75,DI,5,76,61.7,8,4,1,7.7,7,9.5,0,1.5,0 (0)
22,DeAngelo Malone,#51,ED,2,2,60.0,1,0,0,0.0,0,0.0,0,2.0,0 (0)
22,Jaylinn Hawkins,#32,S,2,2,60.0,1,0,0,0.0,1,50.0,0,13.0,0 (0)
22,Micah Abernathy,#29,S,3,4,60.0,0,0,0,,0,0.0,0,,0 (0)
22,KhaDarel Hodge,#12,WR,1,1,60.0,0,0,0,,0,0.0,0,,0 (0)
22,Mack Hollins,#18,WR,1,1,60.0,0,0,0,,0,0.0,0,,0 (0)
22,Keith Smith,#40,FB,1,1,60.0,0,0,0,,0,0.0,0,,0 (0)
28,Ta'Quon Graham,#95,DI,15,188,59.8,11,9,2,9.1,7,3.8,0,2.7,1 (0)
29,Timmy Horne,#98,DI,3,28,56.9,1,2,0,0.0,1,3.8,0,2.0,1 (1)
30,Arnold Ebiketie,#17,ED,17,138,54.8,5,6,0,0.0,2,1.5,0,4.6,0 (0)
31,Mike Hughes,#21,CB,12,127,54.3,9,2,4,26.7,6,4.7,0,3.6,0 (0)
32,Travis Bell,#74,DI,2,22,53.6,2,1,0,0.0,1,4.5,0,3.0,0 (0)
33,Troy Andersen,#44,LB,2,56,48.2,2,5,3,30.0,2,3.8,0,0.5,1 (0)
34,Albert Huggins,#94,DI,13,160,47.0,11,10,0,0.0,6,3.8,0,3.7,0 (0)
,,,,,,,,,,,,,,,
